math score,reading score,writing score,gender,race/ethnicity,parental level of education,lunch,test preparation course
77,70,69,male,group E,some high school,standard,completed
63,71,66,female,group D,some high school,free/reduced,completed
67,63,60,male,group B,some college,standard,none
66,65,65,male,group C,master's degree,free/reduced,none
62,72,62,male,group D,associate's degree,standard,none
60,78,77,female,group A,master's degree,free/reduced,completed
49,54,61,female,group A,some college,free/reduced,none
44,39,44,female,group D,associate's degree,free/reduced,none
94,86,88,female,group D,bachelor's degree,standard,completed
65,75,80,female,group A,some high school,standard,completed
63,75,71,male,group A,some high school,standard,completed
57,55,62,female,group B,associate's degree,standard,none
44,43,50,female,group D,associate's degree,free/reduced,completed
65,73,74,female,group E,some high school,free/reduced,completed
48,55,48,male,group B,bachelor's degree,free/reduced,none
72,80,77,female,group E,some high school,free/reduced,none
93,82,80,male,group D,high school,standard,none
75,87,85,female,group B,high school,standard,completed
69,72,68,male,group A,some college,free/reduced,completed
86,89,83,female,group D,some high school,standard,completed
43,52,41,male,group C,bachelor's degree,standard,none
74,70,75,male,group E,bachelor's degree,standard,completed
44,27,22,male,group C,bachelor's degree,standard,none
68,76,78,female,group A,associate's degree,standard,completed
70,87,91,male,group E,bachelor's degree,standard,none
49,68,61,female,group D,high school,free/reduced,none
64,75,79,female,group E,some high school,standard,completed
36,47,47,male,group D,high school,free/reduced,none
74,71,71,male,group A,master's degree,standard,completed
60,65,63,male,group A,associate's degree,free/reduced,none
86,88,87,male,group D,some high school,standard,none
80,85,84,male,group D,some high school,free/reduced,none
64,64,65,female,group A,some high school,free/reduced,none
70,71,65,male,group D,some college,standard,completed
76,83,80,female,group B,associate's degree,standard,completed
81,83,77,male,group C,master's degree,standard,none
47,49,50,male,group C,associate's degree,free/reduced,none
99,93,94,female,group B,some high school,free/reduced,completed
99,89,94,female,group E,some college,standard,completed
86,89,87,female,group A,associate's degree,free/reduced,none
61,67,65,female,group D,master's degree,standard,none
84,85,81,male,group A,master's degree,standard,none
100,83,90,male,group E,associate's degree,free/reduced,completed
78,78,70,male,group B,bachelor's degree,free/reduced,none
53,75,79,female,group A,some high school,free/reduced,none
72,96,95,male,group C,some college,free/reduced,completed
73,78,82,female,group A,bachelor's degree,standard,completed
62,67,60,male,group A,associate's degree,standard,none
44,53,53,male,group B,some high school,free/reduced,none
67,78,75,male,group D,bachelor's degree,free/reduced,none
94,76,75,male,group E,high school,free/reduced,none
52,40,38,male,group A,high school,standard,none
85,82,83,male,group B,bachelor's degree,free/reduced,completed
41,60,53,female,group C,some high school,free/reduced,none
85,78,87,male,group C,high school,standard,completed
69,71,65,male,group D,high school,free/reduced,none
69,54,59,male,group E,master's degree,standard,none
55,56,66,male,group D,master's degree,standard,none
48,50,51,male,group B,high school,free/reduced,completed
79,85,81,female,group D,associate's degree,standard,completed
74,92,92,female,group B,associate's degree,standard,completed
57,66,64,female,group D,high school,free/reduced,none
74,81,85,male,group E,associate's degree,standard,completed
56,66,63,female,group B,high school,free/reduced,none
81,64,63,male,group B,bachelor's degree,free/reduced,none
75,76,72,male,group E,associate's degree,free/reduced,completed
82,90,94,male,group D,some high school,standard,none
55,58,59,female,group C,high school,free/reduced,completed
44,68,63,female,group A,some college,free/reduced,none
82,89,80,female,group C,associate's degree,free/reduced,none
96,83,78,male,group B,some high school,standard,none
82,91,97,female,group D,some college,standard,none
91,91,85,male,group C,associate's degree,standard,completed
73,84,81,female,group A,some high school,free/reduced,completed
82,78,81,female,group A,associate's degree,standard,completed
62,64,61,female,group B,associate's degree,free/reduced,none
64,78,80,female,group A,some high school,free/reduced,completed
51,63,64,female,group E,master's degree,free/reduced,none
80,75,78,male,group C,high school,standard,completed
66,53,51,male,group C,high school,free/reduced,none
63,60,60,male,group B,some high school,free/reduced,completed
86,84,83,female,group E,associate's degree,free/reduced,completed
76,67,68,male,group B,some high school,free/reduced,completed
71,60,59,male,group B,associate's degree,standard,none
74,85,84,female,group D,some college,standard,completed
87,82,81,female,group D,some college,standard,completed
65,76,70,female,group C,high school,free/reduced,completed
78,90,94,female,group D,high school,free/reduced,completed
80,89,82,female,group A,high school,free/reduced,none
70,66,60,male,group D,some high school,free/reduced,none
40,38,41,male,group C,bachelor's degree,free/reduced,none
83,76,72,male,group A,some college,standard,none
67,74,75,female,group E,associate's degree,free/reduced,none
84,83,82,male,group E,master's degree,standard,none
68,70,68,male,group C,some college,standard,completed
85,69,65,male,group E,master's degree,standard,none
74,68,66,female,group C,bachelor's degree,free/reduced,none
68,74,73,female,group C,associate's degree,free/reduced,completed
66,64,59,male,group E,some high school,standard,none
67,75,67,male,group E,master's degree,free/reduced,none
100,93,92,male,group D,some college,standard,completed
70,74,73,female,group A,bachelor's degree,free/reduced,completed
83,90,89,male,group C,high school,standard,completed
59,77,70,female,group E,master's degree,standard,none
59,69,65,female,group A,high school,free/reduced,none
55,59,51,male,group D,some college,free/reduced,none
88,84,83,male,group A,some high school,free/reduced,completed
56,65,73,female,group C,master's degree,free/reduced,none
67,70,63,male,group D,associate's degree,free/reduced,none
82,86,83,male,group A,some high school,standard,none
78,75,71,male,group A,master's degree,standard,none
69,74,71,male,group E,high school,standard,none
55,59,60,female,group A,some college,free/reduced,none
67,48,46,male,group E,some high school,standard,completed
69,73,75,female,group E,bachelor's degree,free/reduced,none
100,95,97,male,group E,some college,standard,none
66,79,81,female,group E,master's degree,standard,completed
76,83,91,female,group A,bachelor's degree,free/reduced,completed
61,68,69,female,group A,some college,free/reduced,none
51,50,38,male,group C,bachelor's degree,free/reduced,none
57,63,64,female,group C,some high school,standard,none
86,86,86,female,group D,associate's degree,free/reduced,completed
65,83,86,female,group A,high school,free/reduced,none
59,70,65,female,group A,high school,standard,completed
63,80,80,female,group B,associate's degree,standard,completed
71,87,85,female,group D,some high school,standard,none
72,93,91,female,group E,some high school,standard,completed
77,77,78,male,group C,bachelor's degree,free/reduced,completed
48,62,61,female,group B,some high school,standard,none
77,77,73,female,group E,master's degree,standard,completed
58,61,54,male,group B,some college,free/reduced,completed
60,71,77,female,group E,some college,free/reduced,completed
84,81,80,male,group D,bachelor's degree,free/reduced,completed
87,72,85,male,group A,associate's degree,standard,none
82,71,70,male,group C,associate's degree,standard,completed
56,54,51,male,group C,some high school,free/reduced,none
53,48,48,male,group A,some college,free/reduced,none
57,56,64,female,group A,some high school,free/reduced,none
81,70,61,male,group B,some high school,free/reduced,none
53,60,57,female,group D,master's degree,free/reduced,none
65,73,71,female,group E,some college,free/reduced,completed
56,65,64,female,group B,high school,standard,completed
76,79,81,female,group A,high school,free/reduced,none
42,54,45,male,group A,high school,free/reduced,none
56,57,52,male,group A,master's degree,free/reduced,none
70,66,66,male,group E,associate's degree,free/reduced,completed
83,73,76,male,group E,master's degree,standard,completed
89,95,99,female,group E,associate's degree,standard,completed
71,63,71,male,group D,high school,free/reduced,none
71,67,69,male,group A,some high school,standard,none
37,45,44,male,group A,some high school,free/reduced,none
64,83,79,female,group D,associate's degree,free/reduced,none
60,66,67,female,group B,master's degree,free/reduced,none
71,69,66,male,group E,some high school,free/reduced,completed
78,76,73,male,group B,some college,free/reduced,none
78,89,92,female,group A,some high school,free/reduced,completed
80,93,96,female,group C,some high school,standard,none
56,54,52,female,group B,bachelor's degree,free/reduced,none
65,95,93,female,group E,master's degree,standard,completed
57,69,71,female,group C,some high school,free/reduced,completed
68,46,47,male,group A,high school,free/reduced,none
64,66,64,male,group D,associate's degree,standard,completed
68,77,78,female,group A,associate's degree,free/reduced,completed
69,87,89,male,group D,some college,standard,completed
79,73,69,male,group C,high school,free/reduced,none
62,61,57,male,group E,associate's degree,free/reduced,none
45,69,73,male,group A,high school,free/reduced,none
60,67,64,female,group B,some high school,free/reduced,none
61,61,57,female,group A,associate's degree,standard,none
55,67,62,female,group A,associate's degree,free/reduced,none
85,90,88,female,group E,some college,standard,completed
81,74,76,male,group B,associate's degree,standard,none
71,77,77,male,group B,some high school,free/reduced,completed
77,75,78,female,group E,bachelor's degree,standard,completed
61,67,70,female,group D,associate's degree,free/reduced,none
51,53,52,male,group B,bachelor's degree,standard,none
95,93,94,female,group E,bachelor's degree,free/reduced,completed
66,66,70,female,group B,master's degree,free/reduced,completed
57,71,57,female,group E,some high school,standard,none
73,75,69,male,group C,bachelor's degree,standard,completed
56,63,57,male,group A,some college,free/reduced,none
66,72,77,female,group C,associate's degree,free/reduced,completed
64,57,58,male,group C,some high school,standard,none
62,76,78,female,group C,master's degree,standard,none
75,83,74,male,group D,master's degree,standard,none
68,74,73,female,group E,some college,free/reduced,completed
64,62,63,male,group C,associate's degree,free/reduced,none
75,65,68,male,group C,some college,standard,none
60,54,48,male,group B,master's degree,free/reduced,completed
78,79,80,female,group D,some high school,standard,completed
56,65,62,female,group C,high school,free/reduced,completed
50,62,63,female,group B,high school,free/reduced,none
51,50,47,male,group A,high school,free/reduced,none
48,52,51,male,group B,some college,free/reduced,none
54,55,54,male,group A,high school,standard,completed
81,61,54,female,group A,high school,standard,none
82,88,90,female,group A,master's degree,standard,completed
76,78,81,male,group D,associate's degree,standard,none
85,100,93,female,group E,associate's degree,standard,completed
62,74,74,female,group B,high school,standard,none
55,71,64,female,group D,associate's degree,free/reduced,completed
86,84,88,male,group D,high school,standard,completed
86,85,87,female,group E,some high school,standard,none
61,81,80,male,group C,some college,free/reduced,completed
58,62,62,female,group A,high school,free/reduced,none
71,62,64,male,group A,bachelor's degree,free/reduced,none
68,71,72,female,group E,master's degree,free/reduced,completed
64,75,74,female,group E,some high school,free/reduced,none
57,68,64,male,group B,some college,free/reduced,none
73,81,82,male,group C,master's degree,standard,none
55,55,54,male,group C,master's degree,standard,none
66,54,51,female,group E,bachelor's degree,free/reduced,completed
55,43,42,male,group B,high school,free/reduced,none
97,92,89,female,group B,master's degree,free/reduced,completed
50,42,49,male,group C,master's degree,standard,none
87,87,84,female,group B,some high school,standard,completed
68,77,77,female,group E,high school,free/reduced,completed
59,68,69,female,group C,some college,free/reduced,none
56,61,59,male,group C,some college,standard,none
83,74,83,male,group D,some college,free/reduced,completed
82,75,71,male,group C,master's degree,standard,completed
69,73,66,male,group E,master's degree,free/reduced,none
77,49,48,female,group C,high school,standard,completed
66,56,60,female,group A,associate's degree,standard,none
75,87,83,female,group E,master's degree,free/reduced,none
67,81,80,female,group D,high school,free/reduced,completed
62,80,70,female,group E,high school,free/reduced,none
69,86,81,male,group D,some high school,free/reduced,completed
50,70,75,female,group B,bachelor's degree,free/reduced,completed
91,75,79,female,group E,high school,free/reduced,none
42,56,52,female,group D,some high school,standard,none
81,84,87,female,group A,some college,standard,completed
75,74,77,male,group A,associate's degree,free/reduced,completed
65,60,59,female,group B,some college,free/reduced,none
93,78,83,male,group D,associate's degree,standard,completed
49,63,57,male,group A,high school,free/reduced,completed
76,78,79,male,group E,master's degree,standard,none
40,67,72,female,group C,master's degree,free/reduced,none
62,57,54,male,group C,high school,free/reduced,completed
73,76,74,male,group C,bachelor's degree,standard,completed
54,61,57,female,group C,some high school,standard,none
71,78,80,male,group E,some college,standard,completed
58,82,79,female,group E,some college,free/reduced,completed
60,47,52,male,group C,high school,free/reduced,none
48,68,53,female,group E,high school,free/reduced,none
58,80,82,male,group E,high school,free/reduced,completed
66,61,65,female,group C,associate's degree,free/reduced,none
55,77,79,female,group E,associate's degree,free/reduced,none
66,72,72,female,group C,some high school,standard,none
88,78,75,male,group D,some college,free/reduced,completed
65,76,81,female,group D,master's degree,free/reduced,completed
68,72,73,female,group D,bachelor's degree,standard,completed
46,63,63,female,group B,some college,free/reduced,none
69,76,75,male,group C,some college,free/reduced,none
68,79,74,female,group E,high school,standard,completed
82,87,90,female,group E,some college,free/reduced,completed
43,44,39,female,group E,high school,free/reduced,completed
68,61,54,male,group C,high school,free/reduced,none
99,96,89,male,group D,master's degree,standard,none
52,73,75,male,group D,associate's degree,standard,completed
63,65,61,male,group E,some college,free/reduced,none
88,85,83,male,group C,high school,standard,completed
57,74,73,male,group E,associate's degree,free/reduced,none
88,91,88,female,group C,associate's degree,standard,completed
68,63,58,male,group C,some college,free/reduced,none
45,48,43,male,group E,master's degree,free/reduced,completed
54,52,44,male,group E,some high school,free/reduced,none
79,78,69,female,group E,bachelor's degree,standard,none
79,90,84,female,group D,master's degree,standard,completed
75,77,80,female,group E,master's degree,standard,completed
75,79,80,male,group C,high school,free/reduced,completed
50,57,56,male,group C,high school,free/reduced,completed
74,69,67,male,group B,some college,free/reduced,none
99,89,92,male,group A,bachelor's degree,standard,completed
63,70,63,male,group B,some high school,free/reduced,none
74,78,77,female,group B,some high school,free/reduced,completed
48,72,78,female,group A,associate's degree,free/reduced,none
80,77,77,female,group E,high school,standard,completed
57,64,67,female,group A,high school,standard,none
57,61,55,male,group C,some college,free/reduced,completed
68,65,65,male,group B,high school,standard,none
31,44,45,female,group B,master's degree,standard,none
62,65,58,male,group B,bachelor's degree,free/reduced,none
74,86,88,female,group C,some college,standard,completed
85,89,86,male,group C,bachelor's degree,free/reduced,completed
56,76,76,female,group A,some high school,free/reduced,completed
49,54,52,male,group C,high school,free/reduced,none
69,70,73,female,group D,master's degree,free/reduced,none
64,65,66,female,group B,some high school,standard,none
100,91,90,male,group C,some college,standard,completed
52,48,44,male,group A,some high school,free/reduced,none
61,67,62,female,group A,some college,free/reduced,none
68,78,81,female,group E,associate's degree,standard,completed
54,51,50,male,group B,some college,free/reduced,none
56,64,60,male,group D,some college,free/reduced,completed
53,61,52,male,group A,master's degree,free/reduced,none
31,46,42,male,group B,high school,free/reduced,none
66,66,68,male,group B,associate's degree,standard,none
76,77,80,male,group E,high school,standard,completed
38,43,44,male,group E,associate's degree,free/reduced,none
54,82,85,female,group A,master's degree,standard,completed
35,46,50,female,group C,bachelor's degree,standard,completed
81,79,84,male,group E,associate's degree,standard,none
72,61,56,male,group C,some high school,free/reduced,completed
77,78,85,female,group B,some college,free/reduced,completed
56,66,53,male,group B,associate's degree,standard,completed
59,54,53,female,group C,master's degree,free/reduced,none
88,89,85,female,group D,high school,standard,completed
83,83,75,male,group B,associate's degree,free/reduced,none
71,52,51,male,group C,some high school,free/reduced,none
86,89,90,female,group C,some college,standard,none
48,71,75,female,group B,bachelor's degree,free/reduced,completed
57,78,80,female,group B,master's degree,standard,completed
50,55,58,female,group D,master's degree,free/reduced,completed
69,75,73,male,group E,some high school,free/reduced,none
61,62,61,male,group C,high school,free/reduced,none
84,75,79,male,group E,associate's degree,standard,completed
65,73,65,female,group E,some high school,free/reduced,completed
64,86,87,male,group B,associate's degree,free/reduced,none
67,62,66,female,group D,some high school,free/reduced,none
68,63,64,male,group C,associate's degree,standard,none
49,51,54,male,group B,some college,standard,none
72,79,72,female,group C,some college,standard,none
55,62,62,female,group B,bachelor's degree,standard,none
85,98,95,female,group E,high school,standard,completed
90,94,97,female,group B,master's degree,standard,completed
87,82,91,female,group E,associate's degree,standard,none
82,81,82,male,group E,associate's degree,standard,none
91,80,76,male,group B,master's degree,standard,completed
79,89,86,female,group C,high school,free/reduced,completed
51,59,57,male,group B,associate's degree,free/reduced,none
89,90,86,female,group B,high school,standard,completed
54,71,64,female,group B,master's degree,free/reduced,completed
82,75,73,male,group D,master's degree,free/reduced,completed
50,51,46,male,group C,associate's degree,free/reduced,none
58,65,58,male,group C,high school,free/reduced,none
51,56,51,female,group D,high school,free/reduced,none
63,69,64,female,group A,some high school,free/reduced,none
78,69,72,male,group E,associate's degree,free/reduced,none
62,48,42,female,group A,some college,free/reduced,none
54,63,68,female,group E,master's degree,standard,none
62,72,74,female,group E,master's degree,standard,completed
75,75,78,male,group D,high school,free/reduced,completed
50,70,70,male,group B,associate's degree,free/reduced,none
67,80,77,male,group E,high school,free/reduced,completed
91,100,98,male,group C,associate's degree,standard,completed
62,83,85,male,group E,some high school,free/reduced,completed
65,74,72,female,group B,associate's degree,free/reduced,none
59,53,61,male,group C,bachelor's degree,free/reduced,none
71,73,66,male,group D,some college,free/reduced,completed
54,67,74,female,group D,some college,free/reduced,none
81,92,92,female,group A,bachelor's degree,free/reduced,completed
80,90,94,female,group E,master's degree,free/reduced,completed
72,84,82,male,group C,associate's degree,standard,completed
67,71,61,male,group C,high school,standard,none
80,63,61,male,group C,some high school,standard,none
75,78,78,female,group D,bachelor's degree,standard,none
82,77,72,male,group D,some high school,standard,none
81,83,84,male,group C,bachelor's degree,standard,completed
86,89,92,female,group E,associate's degree,free/reduced,none
87,82,83,male,group E,associate's degree,standard,completed
69,79,73,female,group E,bachelor's degree,standard,completed
68,64,62,male,group D,high school,standard,none
83,93,95,female,group D,some college,standard,completed
69,72,76,female,group D,some college,standard,completed
65,71,66,female,group D,high school,free/reduced,none
53,59,54,male,group B,master's degree,free/reduced,none
71,87,76,female,group D,some college,standard,completed
40,45,40,female,group C,high school,free/reduced,none
64,52,44,male,group A,some college,free/reduced,completed
72,79,76,female,group E,high school,free/reduced,completed
63,63,67,female,group C,high school,free/reduced,none
50,70,74,female,group C,high school,free/reduced,none
66,67,68,female,group D,bachelor's degree,free/reduced,none
89,94,91,male,group E,high school,standard,none
61,76,76,female,group D,associate's degree,free/reduced,completed
25,35,29,male,group B,high school,free/reduced,completed
84,77,73,male,group E,bachelor's degree,free/reduced,completed
55,75,69,female,group B,master's degree,free/reduced,none
92,98,97,female,group C,master's degree,standard,completed
51,57,59,female,group C,some college,free/reduced,completed
43,62,68,female,group A,master's degree,standard,none
57,61,59,male,group D,associate's degree,standard,completed
74,74,77,female,group E,some college,standard,completed
62,60,55,male,group C,high school,standard,completed
73,83,82,male,group C,high school,standard,completed
48,46,51,male,group A,master's degree,free/reduced,none
60,64,65,female,group C,some college,standard,completed
64,70,64,female,group D,associate's degree,free/reduced,none
87,90,84,male,group E,some college,standard,completed
72,73,73,female,group C,associate's degree,free/reduced,completed
51,51,59,female,group E,some high school,free/reduced,completed
76,79,79,female,group D,bachelor's degree,standard,none
64,76,73,male,group C,some college,free/reduced,none
58,66,66,female,group A,some high school,free/reduced,none
76,73,73,male,group A,master's degree,free/reduced,none
62,62,59,male,group B,some college,free/reduced,none
48,54,52,male,group A,bachelor's degree,standard,none
66,83,80,female,group D,some high school,free/reduced,completed
72,84,83,male,group C,bachelor's degree,free/reduced,none
51,50,48,male,group A,associate's degree,standard,none
55,76,72,female,group A,master's degree,standard,completed
47,67,70,female,group E,some high school,free/reduced,none
70,83,81,female,group D,bachelor's degree,standard,completed
98,93,97,male,group D,some college,standard,completed
76,78,84,female,group C,bachelor's degree,free/reduced,completed
53,53,52,female,group E,some high school,free/reduced,none
52,69,63,female,group A,master's degree,free/reduced,none
85,83,80,male,group A,high school,free/reduced,completed
79,71,66,female,group A,bachelor's degree,standard,none
82,76,76,male,group E,some college,standard,completed
50,46,48,female,group E,some high school,free/reduced,none
72,80,69,male,group E,associate's degree,free/reduced,completed
65,73,68,female,group D,some college,free/reduced,completed
81,77,80,male,group B,associate's degree,standard,none
39,51,52,female,group D,some college,free/reduced,none
68,78,76,female,group C,some college,standard,completed
49,73,65,male,group B,some high school,free/reduced,none
61,76,79,female,group C,master's degree,standard,completed
52,71,72,female,group B,master's degree,standard,completed
71,86,83,female,group C,master's degree,free/reduced,none
59,79,73,female,group D,master's degree,standard,completed
65,75,73,male,group E,high school,standard,completed
78,74,78,male,group E,master's degree,standard,none
63,50,46,female,group B,some college,standard,none
63,68,72,female,group B,bachelor's degree,free/reduced,completed
54,48,44,male,group A,high school,free/reduced,none
26,44,42,female,group A,some college,free/reduced,none
30,42,36,male,group A,some high school,free/reduced,none
62,65,56,male,group E,master's degree,standard,none
63,67,65,female,group A,high school,free/reduced,none
54,62,60,male,group E,associate's degree,standard,completed
71,85,82,female,group A,some college,standard,completed
52,67,64,female,group E,some high school,free/reduced,none
41,42,37,male,group D,high school,free/reduced,completed
95,81,80,female,group D,high school,free/reduced,none
55,64,59,male,group A,associate's degree,free/reduced,none
75,93,94,female,group C,some college,free/reduced,completed
85,85,86,male,group B,master's degree,free/reduced,none
88,89,89,male,group C,some college,standard,completed
33,32,33,male,group C,master's degree,free/reduced,completed
81,75,81,male,group B,bachelor's degree,standard,completed
47,56,51,female,group D,high school,free/reduced,completed
73,61,63,female,group E,bachelor's degree,standard,none
61,48,45,male,group C,associate's degree,free/reduced,none
62,54,47,male,group E,high school,standard,completed
56,83,84,male,group B,associate's degree,standard,completed
100,91,95,female,group B,master's degree,standard,completed
73,72,74,male,group A,some college,standard,none
72,68,68,male,group E,some college,free/reduced,none
65,53,53,male,group B,high school,free/reduced,none
89,81,84,male,group C,associate's degree,standard,completed
91,75,68,male,group A,high school,free/reduced,none
64,52,54,female,group C,high school,free/reduced,completed
69,68,65,male,group B,some high school,free/reduced,completed
45,77,79,female,group C,high school,free/reduced,none
43,58,58,female,group D,some college,standard,completed
70,82,76,female,group A,some college,standard,completed
77,87,80,female,group D,some college,standard,none
84,88,87,male,group E,some high school,free/reduced,completed
47,42,33,male,group A,master's degree,standard,none
79,76,70,female,group E,some high school,standard,completed
81,82,76,male,group D,high school,standard,none
80,80,70,male,group D,master's degree,standard,none
55,57,46,female,group B,some college,standard,none
48,55,55,female,group D,bachelor's degree,free/reduced,completed
66,64,63,male,group E,high school,free/reduced,none
86,90,86,male,group B,master's degree,standard,completed
60,64,60,female,group E,bachelor's degree,standard,completed
99,95,87,male,group D,associate's degree,standard,completed
60,59,53,male,group C,associate's degree,free/reduced,completed
100,95,97,male,group E,associate's degree,standard,completed
51,56,58,male,group B,master's degree,free/reduced,none
93,99,98,male,group D,bachelor's degree,standard,completed
70,76,76,female,group C,bachelor's degree,standard,completed
65,68,59,male,group B,associate's degree,free/reduced,none
78,93,91,female,group D,associate's degree,free/reduced,completed
59,70,71,female,group A,master's degree,standard,none
78,90,84,female,group D,bachelor's degree,free/reduced,completed
85,94,93,female,group E,some high school,standard,completed
54,62,71,female,group E,some high school,free/reduced,completed
