checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
no checking,8,critical/other existing credit,radio/tv,2263,<100,>=7,4,male single,none,4,real estate,44,none,own,2,skilled,1,none,yes,good
<0,20,existing paid,furniture/equipment,2195,<100,1<=X<4,4,female div/dep/mar,none,4,car,24,none,own,1,skilled,1,none,yes,bad
0<=X<200,39,existing paid,furniture/equipment,2663,<100,1<=X<4,2,male single,none,4,life insurance,25,none,own,1,skilled,1,none,yes,good
no checking,20,existing paid,radio/tv,974,<100,1<=X<4,4,male single,none,2,car,31,none,own,1,skilled,1,yes,yes,good
<0,52,existing paid,new car,10651,<100,unemployed,4,male single,none,4,no known property,43,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,22,existing paid,radio/tv,3394,no known savings,1<=X<4,2,male single,none,2,car,25,none,own,1,skilled,1,yes,yes,good
no checking,12,critical/other existing credit,radio/tv,706,<100,1<=X<4,4,male single,none,2,real estate,37,none,own,2,skilled,1,none,yes,good
no checking,14,existing paid,radio/tv,1358,<100,1<=X<4,4,male single,none,2,real estate,36,none,own,1,skilled,1,none,yes,good
0<=X<200,56,existing paid,furniture/equipment,3949,<100,1<=X<4,4,female div/dep/mar,none,2,car,27,none,own,1,skilled,1,yes,yes,bad
no checking,9,existing paid,radio/tv,1466,<100,1<=X<4,2,male single,none,2,real estate,32,none,own,1,skilled,1,none,yes,good
no checking,13,existing paid,radio/tv,3180,<100,1<=X<4,4,male single,none,4,car,27,none,own,1,skilled,1,yes,yes,good
no checking,24,existing paid,used car,3142,<100,>=7,4,male single,none,4,car,28,none,own,1,skilled,1,yes,yes,good
no checking,17,critical/other existing credit,business,3248,<100,1<=X<4,2,male single,none,2,life insurance,34,none,own,2,skilled,1,yes,yes,good
no checking,23,existing paid,radio/tv,4488,<100,1<=X<4,2,male single,none,2,car,44,none,own,1,skilled,1,yes,yes,good
no checking,15,existing paid,furniture/equipment,4147,<100,1<=X<4,2,male single,none,4,life insurance,35,none,own,1,skilled,1,none,yes,good
no checking,10,critical/other existing credit,radio/tv,1342,<100,>=7,4,male single,none,4,car,40,none,own,2,skilled,1,none,yes,good
no checking,14,existing paid,radio/tv,859,<100,1<=X<4,4,male single,none,2,car,30,none,own,2,skilled,1,yes,yes,good
no checking,12,existing paid,radio/tv,1277,<100,1<=X<4,4,male single,none,2,real estate,33,none,own,1,skilled,1,none,yes,good
no checking,14,critical/other existing credit,radio/tv,1014,<100,1<=X<4,4,male single,none,2,car,42,none,own,2,skilled,1,none,yes,good
<0,24,existing paid,furniture/equipment,3973,<100,<1,4,female div/dep/mar,none,4,life insurance,22,none,rent,1,skilled,1,none,yes,bad
no checking,19,critical/other existing credit,radio/tv,1584,<100,1<=X<4,4,male single,none,2,car,24,none,own,2,skilled,1,none,yes,good
0<=X<200,19,existing paid,new car,1968,<100,1<=X<4,4,male single,none,2,car,24,none,own,1,skilled,1,none,yes,bad
0<=X<200,39,existing paid,business,2309,<100,1<=X<4,2,male single,none,2,car,24,none,own,1,skilled,1,yes,yes,good
no checking,10,existing paid,radio/tv,624,<100,>=7,4,male single,none,4,real estate,54,none,own,1,skilled,1,none,yes,good
no checking,9,existing paid,radio/tv,2352,<100,1<=X<4,2,male single,none,2,real estate,21,none,own,1,skilled,1,none,yes,good
no checking,14,existing paid,radio/tv,1076,<100,1<=X<4,4,female div/dep/mar,none,4,car,25,none,own,1,skilled,1,none,yes,good
no checking,24,existing paid,used car,2235,<100,>=7,4,male single,none,4,car,28,none,own,1,skilled,1,yes,yes,good
no checking,17,critical/other existing credit,radio/tv,791,<100,>=7,4,male single,none,4,real estate,67,none,own,2,skilled,1,none,yes,good
<0,24,existing paid,new car,1652,<100,1<=X<4,4,female div/dep/mar,none,4,real estate,25,none,own,1,skilled,1,none,yes,good
<0,14,existing paid,radio/tv,1433,<100,1<=X<4,4,female div/dep/mar,none,4,car,23,none,own,1,skilled,1,none,yes,bad
no checking,8,existing paid,radio/tv,1523,<100,1<=X<4,2,male single,none,4,real estate,28,none,own,1,skilled,1,none,yes,good
no checking,11,existing paid,radio/tv,1474,<100,1<=X<4,4,male single,none,2,real estate,30,none,own,1,skilled,1,none,yes,good
0<=X<200,24,existing paid,business,4358,<100,1<=X<4,2,male single,none,2,car,21,none,own,1,skilled,1,none,yes,good
no checking,10,critical/other existing credit,radio/tv,963,<100,1<=X<4,4,male single,none,4,car,34,none,own,2,skilled,1,yes,yes,good
no checking,24,existing paid,radio/tv,2220,<100,>=7,4,male single,none,4,car,62,none,own,1,skilled,1,yes,yes,good
no checking,19,critical/other existing credit,radio/tv,1772,<100,>=7,4,male single,none,4,car,45,none,own,1,skilled,1,yes,yes,good
<0,14,existing paid,new car,916,<100,>=7,4,male single,none,4,no known property,56,none,own,1,skilled,1,yes,yes,good
no checking,13,existing paid,furniture/equipment,3181,<100,1<=X<4,4,female div/dep/mar,none,4,car,26,none,own,1,skilled,1,none,yes,good
<0,13,existing paid,new car,3240,<100,<1,1,female div/dep/mar,none,4,life insurance,55,none,own,1,skilled,1,none,yes,good
no checking,24,existing paid,radio/tv,3092,<100,>=7,4,male single,none,4,car,29,none,own,1,skilled,1,yes,yes,good
<0,15,existing paid,radio/tv,1290,<100,1<=X<4,4,female div/dep/mar,none,4,car,27,none,own,1,skilled,1,none,yes,good
no checking,13,critical/other existing credit,radio/tv,2261,<100,1<=X<4,4,male single,none,4,real estate,33,none,own,2,skilled,1,none,yes,good
no checking,25,existing paid,radio/tv,2983,<100,>=7,4,male single,none,4,car,27,none,own,1,skilled,1,yes,yes,good
no checking,10,existing paid,radio/tv,2383,<100,1<=X<4,4,male single,none,4,car,29,none,own,1,skilled,1,yes,yes,good
no checking,22,critical/other existing credit,new car,3226,<100,>=7,4,male single,none,4,car,28,none,own,2,skilled,1,yes,yes,good
<0,11,existing paid,new car,1470,<100,>=7,4,male single,none,4,life insurance,50,none,own,1,skilled,1,none,yes,good
no checking,7,existing paid,radio/tv,965,<100,>=7,4,female div/dep/mar,none,4,car,22,none,own,1,skilled,1,none,yes,good
0<=X<200,9,existing paid,business,3347,<100,1<=X<4,1,male single,none,2,real estate,26,none,own,1,skilled,1,none,yes,good
no checking,15,critical/other existing credit,new car,1620,<100,>=7,4,male single,none,4,real estate,45,none,own,2,skilled,1,none,yes,good
no checking,7,critical/other existing credit,new car,1697,<100,>=7,4,male single,none,4,life insurance,48,none,own,2,skilled,1,none,yes,good
no checking,17,existing paid,radio/tv,4255,<100,1<=X<4,4,male single,none,4,car,37,none,own,1,skilled,1,yes,yes,good
no checking,11,critical/other existing credit,new car,1980,<100,1<=X<4,4,male single,none,2,real estate,37,none,own,2,unskilled resident,1,none,yes,good
<0,11,existing paid,furniture/equipment,2024,<100,1<=X<4,4,female div/dep/mar,none,4,life insurance,49,none,rent,1,skilled,1,none,yes,good
<0,9,critical/other existing credit,new car,1497,<100,>=7,4,male single,none,4,real estate,57,none,own,2,skilled,1,none,yes,good
0<=X<200,14,existing paid,new car,3068,<100,1<=X<4,2,male single,none,4,no known property,29,none,own,1,skilled,1,none,yes,bad
no checking,8,existing paid,furniture/equipment,3759,<100,1<=X<4,2,male single,none,4,life insurance,22,none,own,1,skilled,1,none,yes,good
no checking,16,existing paid,new car,1568,<100,1<=X<4,4,male single,none,3,real estate,60,none,own,1,skilled,1,none,yes,good
no checking,18,existing paid,new car,4343,<100,1<=X<4,4,male single,none,2,car,31,none,own,1,skilled,1,yes,yes,good
no checking,17,existing paid,new car,1530,<100,>=7,4,male single,none,4,no known property,33,none,for free,1,skilled,1,none,yes,good
no checking,16,critical/other existing credit,radio/tv,1314,<100,1<=X<4,4,male single,none,4,car,41,none,own,2,skilled,1,yes,yes,good
no checking,10,existing paid,radio/tv,1787,<100,>=7,4,male single,none,2,car,30,none,own,1,skilled,1,none,yes,good
0<=X<200,24,existing paid,radio/tv,1806,<100,1<=X<4,4,male single,none,2,car,25,none,own,1,skilled,1,none,yes,bad
<0,16,existing paid,radio/tv,1059,<100,1<=X<4,4,female div/dep/mar,none,4,real estate,27,none,own,1,skilled,1,none,yes,good
no checking,8,existing paid,radio/tv,1248,<100,1<=X<4,4,male single,none,2,real estate,26,none,own,1,skilled,1,none,yes,good
0<=X<200,10,critical/other existing credit,new car,2038,<100,1<=X<4,4,male single,none,4,real estate,39,none,own,2,skilled,1,none,yes,good
no checking,17,critical/other existing credit,radio/tv,3272,<100,1<=X<4,4,male single,none,2,car,41,none,own,2,skilled,1,yes,yes,good
no checking,13,existing paid,radio/tv,1466,<100,1<=X<4,4,male single,none,2,car,27,none,own,1,skilled,1,yes,yes,good
no checking,11,existing paid,radio/tv,1226,<100,1<=X<4,4,male single,none,2,car,27,none,own,1,skilled,1,none,yes,good
no checking,16,critical/other existing credit,new car,1438,<100,>=7,4,male single,none,4,real estate,56,none,own,2,skilled,1,none,yes,good
no checking,12,existing paid,furniture/equipment,1548,<100,1<=X<4,4,female div/dep/mar,none,4,car,22,none,own,1,skilled,1,none,yes,good
<0,18,existing paid,new car,2069,<100,>=7,4,male single,none,4,no known property,50,none,for free,1,skilled,1,yes,yes,good
<0,15,existing paid,new car,1654,<100,>=7,4,male single,none,4,no known property,56,none,for free,1,skilled,1,none,yes,bad
no checking,47,existing paid,used car,7511,<100,1<=X<4,2,male single,none,2,car,38,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,13,existing paid,new car,7216,<100,1<=X<4,2,male single,none,4,no known property,41,none,own,1,skilled,1,none,yes,good
no checking,6,existing paid,new car,1327,<100,>=7,4,male single,none,4,car,62,none,own,1,skilled,1,none,yes,good
<0,8,existing paid,new car,585,<100,>=7,4,male single,none,4,real estate,49,none,own,1,skilled,1,none,yes,good
no checking,13,critical/other existing credit,new car,1004,<100,>=7,4,male single,none,4,car,49,none,own,1,skilled,1,none,yes,good
<0,16,critical/other existing credit,new car,1251,<100,>=7,4,male single,none,4,life insurance,59,none,own,1,skilled,1,yes,yes,good
no checking,23,existing paid,used car,2586,<100,1<=X<4,4,male single,none,4,car,29,none,own,1,skilled,1,yes,yes,good
0<=X<200,44,existing paid,furniture/equipment,3572,<100,<1,1,female div/dep/mar,none,4,car,27,none,own,1,skilled,1,yes,yes,bad
no checking,13,existing paid,radio/tv,1603,<100,>=7,4,male single,none,4,car,29,none,own,1,skilled,1,yes,yes,good
no checking,52,existing paid,used car,3412,<100,1<=X<4,4,male single,none,2,car,28,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
0<=X<200,46,existing paid,business,1359,<100,1<=X<4,2,male single,none,2,car,23,none,own,2,skilled,1,yes,yes,good
<0,4,existing paid,new car,1844,<100,>=7,4,male single,none,4,no known property,65,none,own,1,skilled,1,none,yes,good
0<=X<200,42,existing paid,business,4280,<100,1<=X<4,2,male single,none,2,car,38,none,own,2,skilled,1,yes,yes,good
no checking,9,critical/other existing credit,new car,1258,<100,>=7,4,male single,none,4,no known property,54,none,for free,1,skilled,1,yes,yes,good
0<=X<200,16,existing paid,radio/tv,1775,<100,1<=X<4,2,male single,none,2,real estate,30,none,own,1,skilled,1,none,yes,good
no checking,24,existing paid,used car,3023,no known savings,>=7,4,male single,none,4,car,48,none,own,1,skilled,1,yes,yes,good
no checking,43,existing paid,used car,3777,<100,1<=X<4,4,male single,none,4,car,34,none,own,1,skilled,1,yes,yes,good
0<=X<200,14,existing paid,new car,5647,<100,1<=X<4,4,male single,none,4,no known property,39,none,for free,1,skilled,1,yes,yes,bad
no checking,17,existing paid,radio/tv,4316,<100,1<=X<4,2,male single,none,2,car,37,none,own,1,skilled,1,yes,yes,good
0<=X<200,9,existing paid,new car,3314,<100,1<=X<4,2,male single,none,2,life insurance,26,none,own,1,skilled,1,none,yes,good
<0,17,existing paid,radio/tv,1435,<100,1<=X<4,4,male single,none,2,car,26,none,own,1,skilled,1,none,yes,good
0<=X<200,29,critical/other existing credit,new car,3350,<100,1<=X<4,1,male single,none,2,life insurance,44,none,own,2,skilled,2,none,yes,good
no checking,8,existing paid,furniture/equipment,3495,<100,1<=X<4,4,male single,none,4,life insurance,35,none,own,1,skilled,1,none,yes,good
<0,15,existing paid,new car,3540,<100,>=7,1,male single,none,4,no known property,66,none,own,2,unskilled resident,2,none,yes,bad
no checking,10,existing paid,furniture/equipment,1922,<100,1<=X<4,4,female div/dep/mar,none,4,real estate,34,none,own,1,skilled,1,none,yes,good
<0,14,existing paid,furniture/equipment,1902,<100,<1,4,female div/dep/mar,none,4,car,32,none,rent,1,skilled,1,none,yes,bad
<0,13,existing paid,radio/tv,1555,<100,1<=X<4,4,male single,none,4,real estate,37,none,own,1,skilled,1,none,yes,good
0<=X<200,15,existing paid,radio/tv,1436,<100,1<=X<4,4,male single,none,2,car,23,none,own,1,skilled,1,none,yes,good
no checking,6,existing paid,new car,3691,<100,>=7,4,male single,none,4,life insurance,29,none,own,1,skilled,1,none,yes,good
no checking,20,existing paid,radio/tv,1528,<100,1<=X<4,4,male single,none,2,car,21,none,own,1,skilled,1,yes,yes,good
<0,10,existing paid,new car,970,<100,1<=X<4,4,male single,none,4,car,23,none,own,1,skilled,1,none,yes,bad
0<=X<200,8,existing paid,radio/tv,1708,<100,1<=X<4,4,male single,none,2,car,31,none,own,1,skilled,1,none,yes,good
0<=X<200,17,existing paid,business,3360,<100,1<=X<4,4,male single,none,2,car,23,none,own,1,skilled,1,yes,yes,good
no checking,16,existing paid,radio/tv,1832,<100,1<=X<4,4,female div/dep/mar,none,4,car,19,none,own,1,skilled,1,none,yes,good
0<=X<200,11,existing paid,new car,1386,<100,1<=X<4,4,male single,none,4,real estate,24,none,own,1,skilled,1,none,yes,good
no checking,6,existing paid,new car,1119,<100,1<=X<4,4,female div/dep/mar,none,4,life insurance,48,none,own,1,skilled,1,none,yes,good
<0,14,existing paid,new car,1038,<100,>=7,4,male single,none,4,life insurance,41,none,own,1,skilled,1,none,yes,good
<0,12,existing paid,furniture/equipment,4586,<100,1<=X<4,4,female div/dep/mar,none,4,car,19,none,own,1,skilled,1,yes,yes,good
no checking,7,existing paid,radio/tv,1184,<100,1<=X<4,4,female div/dep/mar,none,2,car,26,none,own,1,skilled,1,none,yes,good
<0,17,existing paid,new car,684,<100,1<=X<4,4,male single,none,4,life insurance,27,none,own,1,skilled,1,none,yes,bad
no checking,11,existing paid,new car,661,<100,>=7,4,male single,none,4,no known property,48,none,own,1,skilled,1,none,yes,good
no checking,18,existing paid,radio/tv,694,<100,>=7,4,male single,none,4,car,49,none,own,1,skilled,1,none,yes,good
<0,15,existing paid,radio/tv,593,<100,1<=X<4,4,female div/dep/mar,none,4,car,25,none,own,1,skilled,1,none,yes,good
0<=X<200,16,existing paid,new car,1837,<100,1<=X<4,4,male single,none,2,real estate,26,none,own,1,skilled,1,none,yes,good
0<=X<200,37,existing paid,used car,3289,<100,1<=X<4,4,female div/dep/mar,none,4,car,25,none,own,1,skilled,1,yes,yes,bad
no checking,24,existing paid,radio/tv,2801,<100,1<=X<4,4,male single,none,4,car,34,none,own,1,skilled,1,yes,yes,good
no checking,60,existing paid,used car,4185,<100,1<=X<4,4,male single,none,4,car,27,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
