age,balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,deposit
45,-1584,27,186,1,98,4,management,single,tertiary,no,no,yes,cellular,oct,success,no
89,-3058,5,1176,1,23,2,retired,single,primary,no,no,no,cellular,aug,success,yes
43,-3056,19,1089,1,47,2,admin.,divorced,tertiary,yes,yes,yes,cellular,jul,failure,yes
60,-1009,3,601,1,-1,1,retired,divorced,unknown,no,no,no,cellular,aug,unknown,yes
56,-152,8,719,2,95,5,management,married,unknown,no,no,no,cellular,jun,success,yes
51,-3051,4,1400,1,1,1,management,divorced,tertiary,no,yes,no,cellular,aug,unknown,yes
47,-2602,9,125,1,-1,1,self-employed,divorced,unknown,no,no,yes,telephone,jan,unknown,no
29,-3058,15,274,1,69,4,blue-collar,married,tertiary,yes,yes,yes,cellular,aug,success,yes
36,-3058,10,271,1,44,2,self-employed,single,tertiary,no,yes,no,cellular,may,success,no
42,-3058,27,89,3,0,1,unknown,divorced,secondary,yes,yes,yes,unknown,apr,unknown,no
58,-3058,7,136,1,89,2,entrepreneur,single,tertiary,no,no,yes,cellular,may,failure,no
26,-3053,28,400,1,43,2,unknown,single,secondary,no,no,no,cellular,may,other,yes
50,-3058,11,220,1,10,1,management,married,secondary,no,yes,yes,cellular,may,unknown,no
37,-3058,17,93,2,3,1,management,married,secondary,yes,yes,no,cellular,jul,unknown,no
35,-2939,18,215,1,82,2,management,single,secondary,no,yes,yes,cellular,may,success,no
28,5561,11,49,1,89,4,management,single,secondary,no,yes,no,cellular,sep,failure,no
29,-3058,13,28,1,-1,1,entrepreneur,married,secondary,yes,yes,no,cellular,may,unknown,no
50,-3057,3,222,1,-1,1,admin.,divorced,secondary,yes,yes,yes,cellular,may,unknown,no
46,3845,6,4,2,6,1,blue-collar,divorced,secondary,no,no,no,unknown,feb,success,no
38,-3058,13,504,1,-1,1,technician,single,secondary,yes,yes,yes,unknown,sep,unknown,no
31,-3004,28,343,1,-1,1,technician,single,tertiary,no,no,no,cellular,jan,unknown,no
41,7665,30,666,1,159,5,management,married,secondary,no,no,no,cellular,sep,other,no
38,-2249,26,487,1,-1,1,management,single,tertiary,yes,yes,no,unknown,nov,unknown,no
30,-3058,4,432,1,15,1,admin.,divorced,secondary,no,yes,yes,cellular,may,unknown,yes
50,-3058,5,558,1,189,10,blue-collar,married,unknown,no,yes,yes,telephone,feb,failure,yes
58,-1467,11,148,1,1,1,housemaid,divorced,secondary,no,no,no,cellular,aug,unknown,no
51,21001,28,633,1,2,1,admin.,married,unknown,no,no,no,cellular,may,unknown,yes
40,-3058,11,851,1,0,1,services,divorced,secondary,no,yes,yes,cellular,may,unknown,yes
25,-3058,4,804,1,0,1,technician,married,primary,yes,yes,no,cellular,jun,unknown,yes
29,-3058,4,430,1,11,1,services,married,secondary,yes,yes,yes,cellular,jul,unknown,yes
32,-3058,8,160,1,176,12,management,single,primary,no,yes,no,cellular,may,success,no
44,70771,8,103,1,7,2,services,single,tertiary,no,no,no,cellular,oct,unknown,yes
52,-3058,10,263,1,9,1,entrepreneur,divorced,unknown,no,yes,no,cellular,jul,unknown,no
37,-3058,3,764,1,10,1,self-employed,divorced,unknown,yes,yes,yes,cellular,jul,unknown,yes
47,-3058,19,108,2,-1,1,management,single,secondary,yes,yes,yes,cellular,nov,unknown,no
41,-3057,20,461,1,20,1,housemaid,divorced,primary,no,yes,yes,cellular,aug,failure,yes
37,1598,29,205,1,2,1,technician,divorced,unknown,no,no,no,cellular,jan,success,yes
47,-3058,28,86,1,-1,1,housemaid,divorced,primary,yes,yes,no,cellular,may,unknown,no
29,-1669,26,61,2,0,1,self-employed,married,secondary,no,no,yes,cellular,jul,unknown,no
35,-2863,22,315,1,24,2,management,single,primary,no,yes,no,cellular,may,success,no
26,-3052,5,278,1,2,1,blue-collar,single,secondary,no,yes,yes,cellular,may,unknown,no
42,-3058,14,836,3,10,1,blue-collar,married,unknown,no,no,no,cellular,may,unknown,yes
34,2612,29,394,1,79,4,management,married,tertiary,no,no,no,cellular,oct,success,yes
43,-2612,11,181,1,9,1,services,married,unknown,yes,no,yes,cellular,may,success,no
36,-3058,19,479,1,-1,1,technician,divorced,secondary,yes,no,yes,cellular,jul,unknown,yes
19,-3058,2,174,1,14,1,technician,single,primary,no,yes,yes,cellular,may,unknown,no
48,-2742,27,375,1,24,2,management,divorced,secondary,yes,yes,yes,cellular,aug,success,no
25,-3057,2,87,1,-1,1,technician,single,secondary,no,yes,no,unknown,may,unknown,no
54,13704,16,134,1,5,1,management,divorced,tertiary,no,no,no,cellular,nov,unknown,no
55,3106,16,100,1,47,3,admin.,married,primary,no,no,no,cellular,sep,failure,yes
48,-894,20,665,1,15,1,technician,married,unknown,no,no,yes,cellular,jul,failure,yes
39,-758,20,266,1,0,1,blue-collar,married,secondary,yes,no,no,cellular,may,failure,no
33,-3058,6,109,1,154,3,management,married,tertiary,no,yes,yes,cellular,feb,failure,no
48,-2829,17,443,1,81,4,blue-collar,divorced,secondary,yes,no,yes,cellular,aug,success,yes
39,-3058,3,1068,1,114,6,management,married,tertiary,no,yes,yes,cellular,feb,failure,yes
23,-3052,5,760,1,22,2,technician,single,secondary,yes,yes,no,cellular,jul,success,yes
34,-3058,30,952,1,-1,1,blue-collar,married,unknown,yes,no,no,telephone,may,unknown,yes
28,-3033,10,685,1,-1,1,blue-collar,divorced,secondary,yes,yes,no,unknown,may,unknown,yes
28,-3058,22,62,1,28,2,entrepreneur,single,tertiary,yes,yes,yes,cellular,may,other,no
22,-3058,25,844,1,2,1,unknown,single,primary,yes,no,no,cellular,jul,unknown,yes
23,-3058,3,136,3,54,4,services,single,tertiary,no,yes,yes,cellular,feb,success,no
39,-3058,3,167,1,-1,1,management,married,primary,yes,no,no,unknown,apr,other,no
80,-3058,23,171,2,-1,1,retired,divorced,primary,no,no,yes,telephone,oct,unknown,yes
28,-841,2,200,1,-1,1,technician,single,tertiary,no,yes,no,cellular,feb,success,no
33,-3050,12,292,1,-1,1,technician,single,unknown,no,yes,no,unknown,may,unknown,yes
59,-2014,30,360,1,10,1,technician,divorced,tertiary,yes,no,no,telephone,jan,success,yes
53,-3058,9,361,1,12,2,technician,divorced,primary,yes,yes,yes,cellular,may,other,no
42,9459,10,357,4,7,1,management,divorced,secondary,no,no,no,cellular,jun,unknown,yes
50,-3058,10,86,3,2,1,services,married,secondary,no,yes,yes,cellular,aug,unknown,no
63,-3058,15,307,2,0,1,retired,married,unknown,yes,yes,yes,cellular,may,unknown,yes
32,-3057,22,701,1,1,1,management,divorced,unknown,yes,yes,yes,cellular,aug,unknown,yes
60,-2640,18,387,5,-1,1,entrepreneur,married,tertiary,yes,no,yes,telephone,may,unknown,no
40,20157,6,94,1,1,1,blue-collar,married,tertiary,no,no,no,cellular,aug,unknown,no
48,-1646,30,491,1,-1,1,technician,married,secondary,no,no,no,unknown,jan,unknown,yes
29,-3058,7,800,1,20,1,blue-collar,divorced,secondary,yes,yes,no,cellular,may,unknown,yes
29,-2748,4,94,1,-1,1,management,married,secondary,yes,yes,no,cellular,may,success,no
44,-3058,4,60,1,50,2,technician,married,secondary,yes,no,yes,cellular,may,success,no
33,-3046,8,13,2,-1,1,housemaid,married,secondary,no,yes,yes,unknown,may,unknown,no
42,-2803,25,589,1,2,1,management,divorced,tertiary,yes,no,yes,unknown,jan,unknown,yes
50,-2111,19,521,2,73,2,admin.,single,secondary,no,yes,no,cellular,oct,failure,yes
44,17548,9,19,1,-1,1,blue-collar,divorced,secondary,no,no,yes,cellular,feb,unknown,no
30,-2996,13,316,1,-1,1,entrepreneur,single,primary,no,yes,no,cellular,jul,unknown,yes
35,-3057,18,515,1,9,1,blue-collar,married,secondary,yes,yes,yes,cellular,may,unknown,no
42,13788,12,536,1,3,1,management,married,unknown,no,no,no,cellular,may,unknown,yes
35,-3058,12,701,1,54,2,technician,married,secondary,yes,yes,yes,cellular,may,failure,no
39,-3047,27,921,1,13,1,unknown,divorced,tertiary,no,yes,no,unknown,may,unknown,no
47,-2210,5,315,1,65,4,technician,married,primary,no,yes,yes,cellular,sep,failure,yes
47,-3058,20,23,1,1,1,technician,single,primary,no,yes,yes,cellular,jul,unknown,no
39,17504,4,10,1,35,2,services,married,tertiary,no,yes,no,cellular,jun,failure,no
51,460,16,281,3,7,1,housemaid,married,secondary,no,yes,no,cellular,aug,unknown,no
35,-3058,5,153,1,-1,1,blue-collar,divorced,secondary,no,yes,yes,cellular,jul,unknown,no
54,3860,3,785,1,3,1,entrepreneur,married,primary,no,no,no,telephone,jul,unknown,no
46,-1849,21,156,1,54,3,housemaid,single,tertiary,no,yes,yes,cellular,nov,failure,yes
52,81204,30,26,1,2,1,management,married,tertiary,no,no,yes,cellular,jun,unknown,no
28,-2077,14,1053,1,35,1,housemaid,married,secondary,yes,yes,yes,cellular,may,unknown,yes
33,-3058,18,897,3,-1,1,services,divorced,secondary,no,yes,no,cellular,aug,unknown,yes
42,-2888,4,376,1,155,9,blue-collar,married,tertiary,no,yes,no,cellular,mar,success,yes
41,-1772,26,477,2,113,4,services,married,secondary,no,yes,yes,cellular,jan,other,yes
68,-2790,12,646,1,-1,1,retired,divorced,secondary,no,no,yes,cellular,may,unknown,no
33,-3058,8,52,1,-1,1,admin.,married,secondary,yes,yes,no,unknown,may,unknown,no
35,-1251,16,101,1,-1,1,blue-collar,married,secondary,no,yes,yes,unknown,may,other,no
34,-3058,25,326,1,5,1,admin.,divorced,primary,no,yes,yes,unknown,jul,unknown,no
45,-3058,13,331,5,-1,1,management,divorced,secondary,yes,yes,yes,telephone,jul,unknown,no
26,-3045,24,153,1,26,2,management,single,secondary,yes,no,yes,cellular,may,success,no
29,-2751,16,1396,1,-1,1,services,married,secondary,yes,yes,yes,cellular,aug,unknown,yes
51,-2985,13,109,2,68,4,management,married,secondary,no,no,no,cellular,nov,other,no
31,-3058,10,44,1,56,2,technician,single,tertiary,no,yes,no,cellular,may,success,no
34,-3023,4,315,1,10,1,management,single,secondary,no,yes,yes,unknown,jan,unknown,no
40,-3058,30,116,1,399,13,blue-collar,married,primary,no,yes,yes,cellular,jan,success,no
50,43118,30,309,1,2,1,self-employed,married,secondary,no,no,no,cellular,may,unknown,no
52,3602,14,70,1,2,1,technician,married,secondary,no,no,no,cellular,mar,unknown,no
39,-3058,31,591,1,9,1,blue-collar,single,secondary,yes,no,yes,cellular,jan,other,yes
39,-3001,19,165,1,104,2,entrepreneur,single,tertiary,no,no,no,cellular,jul,failure,no
39,-3058,10,312,1,15,2,technician,married,secondary,yes,yes,no,cellular,jun,success,yes
48,-2912,19,273,1,10,1,housemaid,divorced,tertiary,no,yes,yes,cellular,aug,other,yes
35,-3058,16,653,1,7,2,blue-collar,married,secondary,no,no,yes,cellular,may,other,yes
65,-3004,30,90,1,2,1,services,married,secondary,no,yes,yes,cellular,jul,unknown,no
31,-2350,6,302,3,51,5,blue-collar,single,tertiary,no,yes,no,cellular,jul,success,yes
58,-3058,22,454,1,11,1,housemaid,divorced,secondary,yes,yes,yes,cellular,jun,unknown,no
41,12742,2,641,1,3,1,blue-collar,single,secondary,no,no,no,cellular,jun,unknown,yes
49,-3058,12,46,1,19,1,unknown,married,primary,no,yes,yes,cellular,may,unknown,no
40,-3027,22,469,1,5,1,unemployed,divorced,primary,no,yes,yes,cellular,jul,unknown,no
27,-3057,9,242,1,11,1,blue-collar,married,primary,no,yes,yes,cellular,may,unknown,no
27,-3024,23,311,2,22,1,technician,single,primary,yes,yes,yes,unknown,jul,unknown,no
44,-2840,14,582,1,5,1,admin.,married,secondary,yes,no,no,cellular,may,unknown,yes
26,-2943,9,231,1,13,1,admin.,single,primary,no,yes,no,unknown,may,unknown,no
64,-3028,29,824,9,-1,1,housemaid,divorced,secondary,yes,no,no,cellular,jul,unknown,no
26,-2633,21,54,1,98,3,technician,single,tertiary,no,no,yes,cellular,may,other,no
41,-3058,23,384,1,0,1,technician,divorced,primary,no,yes,yes,cellular,may,unknown,no
39,-2606,2,270,1,413,20,management,divorced,secondary,no,yes,no,telephone,may,other,no
44,-3058,10,650,1,46,2,technician,married,secondary,yes,no,yes,cellular,may,success,no
33,-3058,16,412,1,102,8,management,married,secondary,no,yes,no,cellular,nov,other,yes
36,-3058,29,211,1,6,1,technician,married,secondary,no,no,yes,cellular,may,failure,no
55,-3058,25,61,2,3,1,management,married,tertiary,no,no,no,cellular,jul,unknown,no
49,-3058,5,605,1,6,2,admin.,married,secondary,no,no,yes,cellular,may,success,no
41,-3058,3,62,1,7,1,retired,divorced,secondary,yes,yes,yes,unknown,may,unknown,no
46,-3056,6,562,1,-1,1,admin.,married,secondary,no,yes,no,cellular,may,unknown,no
38,-3058,12,258,1,152,11,admin.,married,secondary,no,no,no,cellular,jul,success,yes
41,-2990,13,1443,1,-1,1,blue-collar,married,secondary,no,yes,yes,cellular,may,unknown,yes
34,-3058,30,377,1,4,1,unemployed,single,secondary,yes,yes,no,unknown,jan,unknown,yes
74,-3058,14,41,1,24,3,retired,divorced,primary,no,yes,no,cellular,jan,failure,no
34,-2936,10,406,2,30,1,self-employed,married,secondary,no,yes,yes,unknown,aug,unknown,yes
26,-3058,22,518,2,4,1,admin.,single,primary,no,yes,yes,cellular,may,unknown,no
33,-3017,6,351,1,4,1,unemployed,married,primary,no,yes,yes,cellular,may,unknown,no
29,-2745,5,99,1,-1,1,management,divorced,primary,yes,yes,no,telephone,jun,unknown,no
43,-3058,20,156,2,8,1,blue-collar,married,secondary,no,no,no,unknown,nov,unknown,no
34,-3011,4,631,2,85,4,services,single,primary,no,yes,yes,cellular,may,failure,yes
40,-3058,26,90,1,-1,1,technician,married,secondary,no,yes,yes,telephone,may,unknown,no
34,-3058,24,82,1,7,2,admin.,married,secondary,no,yes,no,cellular,jun,failure,no
26,-3058,6,78,1,35,1,blue-collar,married,secondary,yes,yes,yes,unknown,may,failure,no
22,-3058,15,216,1,9,1,blue-collar,single,secondary,yes,no,no,cellular,aug,unknown,no
26,-3058,27,104,1,-1,1,blue-collar,married,primary,yes,yes,yes,unknown,may,unknown,no
58,4144,2,109,1,4,1,technician,married,secondary,no,no,no,cellular,mar,unknown,yes
29,-3049,4,317,1,50,2,blue-collar,single,secondary,no,no,yes,cellular,may,other,yes
37,-3055,25,60,1,1,1,services,divorced,secondary,yes,yes,no,cellular,sep,unknown,no
38,8378,19,143,1,105,4,management,married,tertiary,no,yes,no,cellular,nov,failure,no
28,-3058,18,150,1,12,2,services,married,tertiary,no,yes,yes,unknown,may,success,no
29,-1927,2,1276,1,24,2,blue-collar,single,secondary,no,yes,yes,cellular,feb,success,yes
35,-3049,5,224,3,1,1,management,married,tertiary,no,yes,no,cellular,may,unknown,yes
51,-3058,6,337,1,1,1,self-employed,married,tertiary,no,yes,no,cellular,may,unknown,yes
33,-3058,13,115,1,16,2,management,divorced,secondary,yes,yes,no,telephone,may,other,no
42,-1870,5,207,1,-1,1,unknown,divorced,secondary,no,yes,yes,cellular,jul,unknown,no
29,-3056,4,579,1,-1,1,blue-collar,single,tertiary,no,yes,yes,cellular,aug,unknown,no
23,-3058,15,324,1,29,1,services,single,secondary,yes,no,no,cellular,nov,unknown,no
27,-3058,29,96,1,3,2,admin.,single,secondary,yes,no,yes,unknown,apr,failure,no
30,-3057,8,195,1,150,12,management,single,secondary,no,no,no,telephone,dec,success,no
49,-3033,11,948,1,2,1,blue-collar,married,secondary,yes,no,yes,cellular,jul,unknown,yes
32,-3058,16,595,4,0,1,admin.,single,secondary,yes,yes,no,cellular,jul,unknown,yes
95,-3058,16,149,1,-1,1,blue-collar,divorced,unknown,no,no,no,cellular,mar,unknown,yes
39,-3058,6,439,1,0,1,blue-collar,divorced,secondary,no,yes,yes,cellular,aug,unknown,yes
24,-2761,3,572,1,84,2,student,married,secondary,no,yes,yes,cellular,feb,other,yes
30,1168,24,120,1,0,1,management,single,secondary,no,yes,no,cellular,oct,success,yes
49,-1778,20,251,1,25,1,unemployed,married,secondary,no,yes,no,cellular,nov,other,no
40,-3057,27,176,1,14,1,management,divorced,primary,no,no,no,cellular,may,unknown,no
41,-3058,31,124,1,-1,1,self-employed,married,tertiary,no,no,yes,unknown,jul,other,no
35,-3058,3,224,1,9,1,unemployed,married,primary,yes,yes,yes,cellular,aug,failure,no
46,-3058,17,810,2,-1,1,self-employed,divorced,tertiary,yes,yes,yes,cellular,aug,unknown,yes
55,-3058,31,116,1,-1,1,admin.,married,secondary,no,no,yes,unknown,jul,unknown,no
39,-3058,20,202,1,6,1,services,married,tertiary,no,no,yes,cellular,may,success,no
27,-3053,4,608,1,32,2,management,married,secondary,yes,yes,no,unknown,may,other,yes
30,-3058,29,589,1,-1,1,admin.,married,primary,yes,yes,no,cellular,nov,unknown,yes
31,23683,31,190,1,4,1,admin.,single,tertiary,no,no,no,cellular,may,unknown,yes
38,-3058,8,263,3,-1,1,technician,single,primary,yes,yes,no,telephone,jul,unknown,no
30,-3058,8,230,2,123,6,management,single,tertiary,no,no,yes,cellular,jun,failure,yes
33,-3058,3,213,1,3,2,services,single,tertiary,no,no,no,cellular,sep,failure,yes
43,-3058,28,346,1,-1,1,services,divorced,secondary,yes,yes,no,telephone,may,unknown,no
25,-3058,22,261,1,164,4,management,single,secondary,yes,no,no,cellular,oct,success,yes
43,-3058,2,420,1,35,2,technician,married,secondary,no,no,no,cellular,jul,failure,yes
48,-3058,9,363,2,86,6,management,divorced,unknown,no,no,no,cellular,nov,other,yes
39,1329,2,619,1,72,3,blue-collar,married,tertiary,no,no,no,cellular,aug,success,yes
42,-3058,9,301,1,-1,1,technician,married,secondary,no,yes,yes,cellular,jul,unknown,yes
43,-3058,5,156,3,0,1,unemployed,divorced,secondary,yes,yes,yes,unknown,aug,unknown,no
41,9708,30,962,1,14,2,technician,single,unknown,no,yes,no,unknown,jul,success,yes
39,-3058,9,86,1,5,1,management,married,unknown,yes,yes,yes,cellular,may,unknown,no
33,18593,7,711,1,28,1,self-employed,single,tertiary,no,no,no,unknown,may,unknown,yes
38,-3058,10,423,1,94,3,blue-collar,married,tertiary,no,yes,yes,cellular,may,failure,yes
40,-2731,25,76,1,0,1,unemployed,divorced,secondary,yes,yes,no,cellular,jul,unknown,no
66,20265,29,73,1,23,1,admin.,married,unknown,no,no,no,telephone,oct,unknown,yes
28,-3058,15,345,1,8,1,management,married,primary,yes,yes,no,cellular,mar,unknown,yes
21,-2979,14,409,1,48,4,student,single,tertiary,yes,no,yes,cellular,mar,failure,yes
33,-3058,16,296,2,1,1,unemployed,single,primary,no,yes,no,cellular,may,unknown,no
23,-3058,8,10,1,-1,1,services,single,secondary,yes,yes,yes,telephone,jul,unknown,no
41,-3057,21,418,1,0,1,housemaid,divorced,secondary,yes,no,no,cellular,jul,unknown,yes
34,-3058,3,671,1,-1,1,unemployed,married,primary,yes,yes,no,cellular,jul,unknown,yes
46,-3057,7,89,1,24,2,technician,single,primary,no,yes,yes,unknown,may,failure,no
42,-3058,16,54,1,4,1,admin.,single,secondary,no,yes,no,cellular,may,unknown,no
33,-3058,7,124,1,26,1,blue-collar,married,secondary,yes,yes,no,unknown,jul,unknown,no
65,7348,26,576,2,132,5,retired,married,primary,no,no,no,cellular,nov,other,yes
54,-2476,31,312,1,6,1,management,single,primary,no,yes,yes,cellular,may,unknown,no
63,4692,5,105,1,94,2,unknown,married,unknown,no,no,no,cellular,sep,success,yes
50,-3058,6,52,1,4,2,unknown,married,secondary,no,no,yes,cellular,may,other,no
56,-3058,30,314,1,15,1,admin.,divorced,secondary,yes,yes,no,cellular,mar,other,yes
42,-3058,25,175,1,4,2,entrepreneur,single,primary,yes,no,yes,cellular,may,failure,no
56,-428,26,33,3,17,2,retired,divorced,secondary,no,yes,yes,telephone,jan,success,no
33,-3058,26,385,1,-1,1,technician,married,secondary,no,no,no,cellular,may,unknown,yes
39,-3057,9,169,2,2,1,unemployed,married,primary,yes,yes,no,unknown,jul,unknown,no
33,-3058,18,1215,1,15,1,technician,married,primary,yes,no,no,cellular,may,unknown,yes
49,-3058,23,976,1,8,1,blue-collar,single,primary,no,yes,no,cellular,may,unknown,yes
35,3746,29,296,3,1,1,services,single,secondary,no,no,no,cellular,jan,success,yes
53,-3058,14,118,1,28,2,management,divorced,secondary,yes,no,no,cellular,may,other,no
24,-2824,18,141,2,-1,1,blue-collar,single,secondary,yes,yes,no,unknown,aug,unknown,no
35,2195,5,82,1,12,1,entrepreneur,married,secondary,no,no,no,cellular,jun,success,no
30,-3058,14,1444,1,0,1,student,single,secondary,no,yes,no,cellular,jul,unknown,yes
45,-3058,3,804,1,0,1,admin.,single,secondary,yes,yes,no,cellular,jan,unknown,yes
30,-3058,23,60,2,1,1,management,married,secondary,no,yes,yes,cellular,dec,unknown,no
28,-3058,20,430,4,-1,1,admin.,married,primary,no,yes,no,cellular,may,unknown,no
36,-2714,21,503,1,6,1,retired,married,secondary,no,yes,no,cellular,may,failure,yes
30,-3058,22,397,1,-1,1,services,married,tertiary,no,no,no,unknown,jul,unknown,no
44,-3057,4,436,3,-1,1,management,single,secondary,no,yes,no,unknown,aug,unknown,no
51,7472,5,312,2,-1,1,blue-collar,married,primary,no,no,no,cellular,jun,unknown,no
34,-3058,24,268,1,-1,1,admin.,married,secondary,yes,yes,yes,unknown,jun,unknown,no
28,-3058,26,147,1,-1,1,unemployed,married,secondary,yes,yes,yes,unknown,may,unknown,no
41,-3058,14,410,1,-1,1,entrepreneur,married,secondary,no,yes,no,cellular,feb,unknown,no
44,-3056,3,256,1,111,5,self-employed,married,unknown,yes,yes,yes,cellular,aug,other,no
39,3629,11,411,1,15,1,blue-collar,married,secondary,no,no,no,cellular,oct,success,yes
51,-3056,29,43,1,11,2,management,married,primary,no,no,no,cellular,jan,success,no
36,6158,16,657,1,1,1,management,married,secondary,no,no,no,cellular,may,unknown,yes
50,-3058,31,431,1,-1,1,technician,married,tertiary,yes,yes,no,unknown,nov,unknown,yes
30,-3058,6,113,1,28,1,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
51,-3015,30,291,1,8,1,housemaid,divorced,secondary,yes,no,yes,cellular,jan,failure,no
31,-3058,13,27,4,-1,1,blue-collar,married,secondary,no,yes,yes,cellular,aug,unknown,no
44,-3058,22,671,1,24,3,entrepreneur,married,secondary,no,no,yes,cellular,apr,failure,yes
40,-3058,12,675,2,-1,1,technician,married,secondary,no,yes,yes,unknown,may,unknown,yes
38,-3049,29,258,1,8,1,admin.,single,tertiary,yes,no,yes,cellular,jan,success,no
52,-3058,24,610,1,-1,1,management,divorced,secondary,yes,yes,no,cellular,jan,unknown,yes
66,-3056,3,337,1,107,6,management,married,primary,no,yes,yes,cellular,sep,failure,yes
55,-2990,18,460,2,25,4,management,married,primary,yes,no,no,cellular,nov,success,no
72,-3055,29,493,1,32,2,retired,married,secondary,no,no,no,cellular,jul,failure,yes
62,3677,15,370,1,34,1,unknown,married,unknown,no,no,no,cellular,aug,success,yes
58,-3058,3,192,1,6,2,retired,married,secondary,yes,yes,no,telephone,aug,other,no
61,-819,31,238,1,6,1,admin.,divorced,secondary,no,no,no,cellular,oct,unknown,yes
41,44419,16,151,1,3,1,management,single,tertiary,no,no,no,cellular,mar,unknown,yes
32,-3058,3,100,1,0,1,unknown,divorced,primary,no,yes,no,unknown,jul,unknown,no
28,-3058,29,374,1,-1,1,management,single,secondary,yes,no,yes,unknown,may,unknown,no
37,-3058,11,54,1,4,1,management,married,secondary,yes,yes,no,cellular,may,unknown,no
38,-3058,21,334,2,30,5,technician,divorced,tertiary,no,yes,yes,cellular,oct,success,yes
45,-3058,23,202,1,40,2,blue-collar,married,secondary,yes,no,no,unknown,may,failure,no
38,-3018,15,84,1,60,1,unemployed,married,secondary,no,yes,yes,cellular,jun,failure,no
42,-3058,12,202,1,2,1,admin.,married,secondary,yes,yes,no,cellular,may,unknown,no
63,-3058,5,861,1,81,2,self-employed,married,tertiary,no,yes,no,cellular,may,success,yes
27,-3005,3,36,1,13,2,blue-collar,divorced,tertiary,no,no,no,cellular,jun,success,no
26,-3058,14,450,1,99,13,admin.,single,secondary,no,yes,no,cellular,jul,other,yes
29,24518,17,788,1,2,1,management,single,secondary,no,no,yes,cellular,feb,unknown,yes
34,-3058,10,686,1,1,1,blue-collar,married,primary,yes,no,no,cellular,may,failure,yes
26,-3058,15,315,1,44,1,blue-collar,single,secondary,no,yes,yes,cellular,aug,unknown,yes
36,-3058,22,199,1,-1,1,entrepreneur,married,primary,yes,yes,yes,cellular,may,unknown,no
74,-3002,2,632,1,-1,1,retired,married,primary,no,yes,yes,cellular,may,unknown,yes
48,-3058,30,179,1,78,5,blue-collar,married,tertiary,no,no,no,cellular,jan,success,no
36,-2954,17,72,1,9,2,management,married,secondary,yes,yes,yes,cellular,may,success,no
43,-2681,16,616,1,127,15,services,single,secondary,no,yes,no,telephone,sep,other,yes
34,-2740,9,362,1,61,6,management,single,secondary,no,no,no,cellular,sep,other,yes
47,-3058,13,246,1,148,9,technician,divorced,secondary,no,yes,yes,cellular,may,failure,yes
41,-3009,18,530,1,68,2,services,single,secondary,yes,yes,no,cellular,may,failure,yes
26,2716,9,153,1,-1,1,technician,single,primary,no,no,no,cellular,feb,success,yes
39,-3058,14,311,2,-1,1,unknown,divorced,secondary,yes,yes,yes,unknown,may,unknown,no
