checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
no checking,24.0,critical/other existing credit,new car,1547.0,500<=X<1000,<1,3.0,female div/dep/mar,none,4.0,car,54.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
no checking,36.0,delayed previously,furniture/equipment,858.0,<100,unemployed,2.0,male div/sep,none,9.0,car,39.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
0<=X<200,15.0,existing_credits,furniture/equipment,1344.0,<100,4<=X<7,3.0,male single,none,2.0,no known property,29.0,none,own,2.0,skilled,1.0,yes,yes,bad
0<=X<200,24.0,existing paid,furniture/equipment,1452.0,500<=X<1000,1<=X<4,3.0,male single,none,4.0,real estate,29.0,none,own,2.0,high qualif/self emp/mgmt,1.0,none,yes,good
0<=X<200,36.0,existing paid,new car,4583.0,<100,1<=X<4,2.0,male single,guarantor,4.0,real estate,20.0,none,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,good
0<=X<200,12.0,existing paid,radio/tv,685.0,<100,4<=X<7,1.0,female div/dep/mar,none,4.0,car,39.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
<0,18.0,critical/other existing credit,radio/tv,2390.0,<100,unemployed,4.0,male mar/wid,none,2.0,real estate,57.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
0<=X<200,24.0,existing paid,education,717.0,100<=X<500,1<=X<4,2.0,female div/dep/mar,none,1.0,no known property,25.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,none,yes,good
0<=X<200,12.0,existing paid,new car,5458.0,<100,unemployed,3.0,female div/dep/mar,none,4.0,life insurance,35.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,12.0,existing paid,business,1409.0,<100,>=7,2.0,male single,none,4.0,no known property,26.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
0<=X<200,15.0,existing paid,used car,1039.0,<100,4<=X<7,3.0,female div/dep/mar,none,4.0,no known property,49.0,none,rent,2.0,high qualif/self emp/mgmt,1.0,none,yes,good
0<=X<200,27.0,delayed previously,education,959.0,no known savings,1<=X<4,2.0,female div/dep/mar,none,4.0,life insurance,27.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
0<=X<200,15.0,critical/other existing credit,used car,1282.0,100<=X<500,1<=X<4,2.0,male mar/wid,none,2.0,no known property,35.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,12.0,all paid,furniture/equipment,1237.0,100<=X<500,>=7,4.0,male single,none,3.0,car,49.0,none,own,1.0,skilled,1.0,yes,yes,bad
0<=X<200,36.0,all paid,radio/tv,3973.0,<100,4<=X<7,4.0,female div/dep/mar,none,4.0,real estate,42.0,none,own,2.0,unskilled resident,1.0,none,yes,bad
no checking,12.0,critical/other existing credit,business,2288.0,100<=X<500,1<=X<4,4.0,male single,none,4.0,life insurance,27.0,none,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,10.0,existing paid,radio/tv,1051.0,<100,1<=X<4,4.0,male single,none,3.0,life insurance,31.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,24.0,existing paid,radio/tv,664.0,500<=X<1000,1<=X<4,4.0,male single,none,4.0,life insurance,36.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
0<=X<200,30.0,existing paid,business,6190.0,100<=X<500,4<=X<7,4.0,male mar/wid,none,2.0,life insurance,25.0,bank,own,1.0,skilled,1.0,none,yes,bad
no checking,12.0,critical/other existing credit,furniture/equipment,1471.0,<100,1<=X<4,4.0,female div/dep/mar,none,2.0,real estate,51.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
0<=X<200,24.0,critical/other existing credit,furniture/equipment,1422.0,<100,1<=X<4,2.0,female div/dep/mar,none,2.0,real estate,27.0,none,own,2.0,unskilled resident,1.0,none,yes,bad
<0,9.0,existing paid,radio/tv,6954.0,<100,1<=X<4,4.0,female div/dep/mar,none,2.0,real estate,23.0,bank,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
<0,18.0,critical/other existing credit,furniture/equipment,2210.0,<100,4<=X<7,4.0,male mar/wid,none,4.0,no known property,32.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
0<=X<200,9.0,existing paid,education,4181.0,<100,<1,4.0,female div/dep/mar,none,2.0,real estate,41.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,24.0,critical/other existing credit,radio/tv,1413.0,100<=X<500,1<=X<4,4.0,female div/dep/mar,none,4.0,car,30.0,none,own,2.0,skilled,1.0,yes,yes,good
0<=X<200,45.0,existing paid,radio/tv,2597.0,no known savings,1<=X<4,1.0,male single,guarantor,2.0,life insurance,24.0,none,own,2.0,high qualif/self emp/mgmt,2.0,yes,yes,bad
<0,12.0,existing paid,new car,1297.0,<100,<1,2.0,female div/dep/mar,none,1.0,no known property,40.0,none,own,1.0,unskilled resident,1.0,none,yes,good
0<=X<200,6.0,existing paid,radio/tv,7057.0,<100,1<=X<4,2.0,female div/dep/mar,none,1.0,car,35.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,24.0,critical/other existing credit,radio/tv,7487.0,100<=X<500,>=7,4.0,female div/dep/mar,co applicant,4.0,real estate,26.0,none,own,2.0,skilled,2.0,yes,yes,bad
0<=X<200,9.0,existing paid,new car,1415.0,100<=X<500,1<=X<4,3.0,female div/dep/mar,none,4.0,car,24.0,none,rent,2.0,skilled,1.0,yes,yes,bad
0<=X<200,24.0,existing paid,new car,1597.0,500<=X<1000,>=7,4.0,male mar/wid,none,4.0,no known property,39.0,stores,for free,1.0,skilled,1.0,yes,yes,good
0<=X<200,24.0,all paid,new car,930.0,<100,4<=X<7,4.0,male single,none,4.0,no known property,25.0,none,for free,1.0,skilled,1.0,none,yes,bad
no checking,18.0,delayed previously,business,10386.0,no known savings,>=7,1.0,male single,none,2.0,no known property,57.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,18.0,critical/other existing credit,radio/tv,1224.0,<100,unemployed,2.0,male single,none,2.0,car,42.0,none,own,1.0,unemp/unskilled non res,1.0,yes,yes,bad
0<=X<200,18.0,critical/other existing credit,business,6869.0,<100,4<=X<7,2.0,female div/dep/mar,none,3.0,no known property,34.0,none,for free,2.0,unskilled resident,1.0,none,yes,good
no checking,36.0,existing paid,new car,1380.0,<100,1<=X<4,2.0,female div/dep/mar,none,2.0,no known property,41.0,none,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,bad
0<=X<200,12.0,existing paid,radio/tv,2468.0,100<=X<500,4<=X<7,3.0,female div/dep/mar,none,2.0,car,43.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,27.0,existing paid,radio/tv,1408.0,no known savings,1,3.0,male single,none,3.0,real estate,22.0,none,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,good
0<=X<200,12.0,existing paid,new car,3357.0,<100,<1,4.0,female div/dep/mar,none,2.0,life insurance,54.0,none,own,1.0,skilled,1.0,none,yes,good
0<=X<200,12.0,critical/other existing credit,radio/tv,3148.0,<100,unemployed,4.0,female div/dep/mar,none,2.0,life insurance,24.0,none,own,2.0,high qualif/self emp/mgmt,1.0,none,yes,good
0<=X<200,10.0,critical/other existing credit,furniture/equipment,10685.0,<100,4<=X<7,4.0,female div/dep/mar,none,1.0,car,23.0,none,own,1.0,skilled,1.0,none,yes,good
0<=X<200,30.0,critical/other existing credit,radio/tv,1528.0,<100,1<=X<4,4.0,male mar/wid,none,2.0,car,31.0,none,own,2.0,unskilled resident,1.0,none,yes,good
0<=X<200,6.0,critical/other existing credit,new car,3238.0,<100,1<=X<4,4.0,male single,none,2.0,real estate,35.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
no checking,36.0,critical/other existing credit,used car,3553.0,no known savings,unemployed,1.0,female div/dep/mar,none,4.0,no known property,26.0,bank,rent,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,12.0,critical/other existing credit,radio/tv,7179.0,100<=X<500,1<=X<4,1.0,female div/dep/mar,none,2.0,real estate,25.0,none,own,2.0,skilled,1.0,none,yes,bad
0<=X<200,12.0,existing paid,business,953.0,no known savings,>=7,4.0,female div/dep/mar,none,4.0,car,41.0,bank,rent,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
0<=X<200,12.0,critical/other existing credit,used car,1355.0,<100,1<=X<4,2.0,female div/dep/mar,none,3.0,real estate,36.0,none,own,2.0,unskilled resident,1.0,none,yes,good
0<=X<200,12.0,existing paid,new car,1123.0,<100,>=7,4.0,male single,none,2.0,real estate,24.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
no checking,12.0,critical/other existing credit,new car,809.0,<100,1<=X<4,1.0,female div/dep/mar,none,2.0,no known property,43.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
0<=X<200,36.0,critical/other existing credit,furniture/equipment,1315.0,<100,1<=X<4,4.0,male div/sep,none,4.0,real estate,36.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,none,yes,good
0<=X<200,18.0,existing paid,new car,1369.0,no known savings,unemployed,4.0,female div/dep/mar,none,4.0,car,38.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
no checking,36.0,critical/other existing credit,radio/tv,10961.0,no known savings,4<=X<7,4.0,male single,none,4.0,real estate,37.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
no checking,24.0,existing paid,new car,1778.0,<100,4<=X<7,2.0,male single,guarantor,4.0,real estate,37.0,bank,own,2.0,high qualif/self emp/mgmt,2.0,yes,yes,bad
0<=X<200,18.0,existing paid,education,1867.0,500<=X<1000,1<=X<4,4.0,male single,none,4.0,car,29.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
0<=X<200,12.0,existing paid,new car,906.0,<100,1<=X<4,2.0,male single,none,2.0,no known property,25.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,18.0,existing paid,furniture/equipment,6308.0,500<=X<1000,4<=X<7,1.0,female div/dep/mar,none,2.0,car,27.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
0<=X<200,24.0,existing paid,education,3990.0,100<=X<500,1<=X<4,4.0,female div/dep/mar,none,4.0,car,40.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
0<=X<200,9.0,critical/other existing credit,radio/tv,1238.0,<100,4<=X<7,4.0,male mar/wid,none,3.0,real estate,29.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
0<=X<200,24.0,critical/other existing credit,new car,3620.0,<100,1<=X<4,1.0,male mar/wid,none,2.0,car,37.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,18.0,delayed previously,new car,973.0,<100,1<=X<4,2.0,female div/dep/mar,none,3.0,no known property,30.0,none,for free,1.0,unskilled resident,1.0,none,yes,bad
0<=X<200,36.0,existing paid,radio/tv,3148.0,<100,1<=X<4,4.0,male single,none,2.0,life insurance,25.0,none,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,12.0,critical/other existing credit,radio/tv,2101.0,<100,1<=X<4,4.0,male single,none,2.0,life insurance,44.0,none,rent,1.0,skilled,1.0,none,yes,good
>=200,12.0,existing paid,new car,6861.0,no known savings,unemployed,4.0,male single,guarantor,4.0,no known property,25.0,bank,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
no checking,36.0,existing paid,used car,1216.0,100<=X<500,4<=X<7,2.0,female div/dep/mar,none,4.0,life insurance,39.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,12.0,critical/other existing credit,radio/tv,2275.0,100<=X<500,1<=X<4,3.0,male single,none,4.0,car,25.0,none,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,bad
0<=X<200,18.0,existing paid,used car,3777.0,500<=X<1000,1<=X<4,4.0,female div/dep/mar,none,2.0,car,32.0,none,own,2.0,skilled,1.0,yes,yes,good
0<=X<200,7.0,delayed previously,furniture/equipment,703.0,500<=X<1000,unemployed,4.0,male single,none,2.0,life insurance,47.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,18.0,critical/other existing credit,new car,1094.0,<100,>=7,4.0,male single,none,4.0,real estate,35.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,52.0,critical/other existing credit,education,7127.0,100<=X<500,>=7,1.0,male single,none,2.0,no known property,28.0,none,own,2.0,high qualif/self emp/mgmt,1.0,none,yes,good
0<=X<200,12.0,critical/other existing credit,radio/tv,3990.0,500<=X<1000,1<=X<4,2.0,female div/dep/mar,none,4.0,car,29.0,none,own,1.0,skilled,1.0,yes,yes,good
<0,12.0,existing paid,radio/tv,2766.0,<100,1<=X<4,1.0,female div/dep/mar,none,2.0,car,46.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
<0,36.0,existing paid,furniture/equipment,1288.0,<100,1<=X<4,3.0,female div/dep/mar,none,4.0,life insurance,32.0,none,rent,1.0,unskilled resident,1.0,yes,yes,bad
<0,36.0,existing paid,new car,1355.0,<100,1<=X<4,4.0,female div/dep/mar,none,2.0,car,29.0,none,own,2.0,unemp/unskilled non res,1.0,none,yes,bad
0<=X<200,24.0,existing paid,furniture/equipment,1520.0,<100,1<=X<4,2.0,male single,none,2.0,real estate,32.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
>=200,12.0,critical/other existing credit,radio/tv,876.0,<100,4<=X<7,2.0,male single,none,3.0,no known property,41.0,none,own,2.0,high qualif/self emp/mgmt,1.0,none,yes,good
0<=X<200,36.0,critical/other existing credit,radio/tv,1055.0,100<=X<500,1<=X<4,4.0,male single,none,2.0,car,26.0,none,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,good
0<=X<200,12.0,all paid,new car,2848.0,<100,4<=X<7,2.0,female div/dep/mar,none,3.0,real estate,28.0,none,own,1.0,unemp/unskilled non res,1.0,none,yes,bad
0<=X<200,12.0,critical/other existing credit,furniture/equipment,1123.0,no known savings,4<=X<7,4.0,male single,none,2.0,life insurance,26.0,none,own,2.0,skilled,1.0,none,yes,bad
0<=X<200,12.0,critical/other existing credit,radio/tv,3913.0,<100,1<=X<4,4.0,female div/dep/mar,none,2.0,life insurance,28.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,15.0,critical/other existing credit,furniture/equipment,1887.0,<100,unemployed,4.0,male mar/wid,none,3.0,no known property,36.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
no checking,48.0,critical/other existing credit,furniture/equipment,1355.0,<100,4<=X<7,1.0,male mar/wid,none,4.0,life insurance,25.0,none,rent,1.0,unskilled resident,1.0,yes,yes,bad
0<=X<200,6.0,existing paid,business,1366.0,<100,unemployed,1.0,male single,none,1.0,no known property,40.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
no checking,12.0,critical/other existing credit,new car,1068.0,no known savings,4<=X<7,4.0,female div/dep/mar,co applicant,4.0,car,47.0,none,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,bad
0<=X<200,24.0,existing paid,education,1243.0,<100,4<=X<7,2.0,female div/dep/mar,none,1.0,car,25.0,bank,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,good
0<=X<200,12.0,critical/other existing credit,used car,1209.0,100<=X<500,4<=X<7,4.0,female div/dep/mar,none,4.0,real estate,27.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
no checking,12.0,critical/other existing credit,new car,2578.0,100<=X<500,4<=X<7,1.0,male single,none,2.0,car,41.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,24.0,existing paid,radio/tv,1495.0,<100,1<=X<4,1.0,male mar/wid,none,1.0,car,47.0,bank,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,15.0,delayed previously,radio/tv,2427.0,<100,1<=X<4,4.0,male single,none,1.0,no known property,57.0,none,own,1.0,skilled,1.0,none,yes,bad
0<=X<200,36.0,existing paid,furniture/equipment,1420.0,<100,>=7,2.0,female div/dep/mar,none,4.0,life insurance,31.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
0<=X<200,24.0,existing paid,education,1274.0,500<=X<1000,<1,2.0,female div/dep/mar,none,1.0,life insurance,32.0,none,rent,1.0,high qualif/self emp/mgmt,1.0,none,yes,bad
0<=X<200,6.0,existing paid,radio/tv,5117.0,<100,unemployed,4.0,female div/dep/mar,none,4.0,no known property,28.0,none,own,2.0,high qualif/self emp/mgmt,1.0,none,yes,good
no checking,24.0,existing paid,new car,1793.0,<100,4<=X<7,3.0,female div/dep/mar,none,4.0,no known property,27.0,none,own,1.0,unskilled resident,1.0,none,yes,good
0<=X<200,24.0,critical/other existing credit,new car,12204.0,<100,>=7,2.0,male single,none,4.0,life insurance,41.0,bank,rent,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
0<=X<200,18.0,critical/other existing credit,radio/tv,2329.0,no known savings,4<=X<7,3.0,female div/dep/mar,none,1.0,real estate,36.0,none,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,18.0,critical/other existing credit,radio/tv,3149.0,100<=X<500,4<=X<7,2.0,female div/dep/mar,none,4.0,car,27.0,none,own,2.0,skilled,1.0,none,yes,bad
0<=X<200,12.0,delayed previously,furniture/equipment,1237.0,no known savings,<1,4.0,female div/dep/mar,none,4.0,car,27.0,none,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,bad
0<=X<200,18.0,existing paid,furniture/equipment,5179.0,<100,unemployed,4.0,male single,none,4.0,no known property,34.0,none,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,48.0,critical/other existing credit,furniture/equipment,797.0,100<=X<500,1<=X<4,4.0,male single,none,1.0,car,33.0,bank,own,2.0,skilled,2.0,yes,yes,good
0<=X<200,12.0,existing paid,business,1343.0,100<=X<500,1<=X<4,1.0,male single,co applicant,3.0,real estate,51.0,none,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,good
0<=X<200,27.0,critical/other existing credit,new car,6954.0,>=1000,unemployed,1.0,male mar/wid,none,3.0,car,39.0,bank,own,1.0,high qualif/self emp/mgmt,2.0,none,yes,good
0<=X<200,18.0,existing paid,furniture/equipment,2333.0,<100,>=7,3.0,female div/dep/mar,none,4.0,car,52.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,12.0,existing paid,new car,1106.0,<100,1<=X<4,4.0,female div/dep/mar,co applicant,3.0,car,26.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
no checking,15.0,critical/other existing credit,furniture/equipment,3868.0,no known savings,unemployed,4.0,female div/dep/mar,none,4.0,real estate,35.0,none,own,2.0,high qualif/self emp/mgmt,1.0,none,yes,good
0<=X<200,12.0,no credits/all paid,furniture/equipment,1364.0,<100,1<=X<4,1.0,male single,none,2.0,car,49.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,9.0,delayed previously,used car,10961.0,no known savings,1<=X<4,1.0,female div/dep/mar,none,3.0,car,23.0,stores,rent,2.0,high qualif/self emp/mgmt,1.0,none,yes,good
0<=X<200,36.0,critical/other existing credit,furniture/equipment,1239.0,<100,1<=X<4,4.0,female div/dep/mar,none,3.0,car,46.0,none,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,good
0<=X<200,9.0,existing paid,furniture/equipment,2578.0,<100,1<=X<4,2.0,male single,guarantor,2.0,car,66.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
<0,15.0,critical/other existing credit,furniture/equipment,807.0,100<=X<500,>=7,4.0,male single,none,4.0,car,28.0,none,rent,2.0,high qualif/self emp/mgmt,2.0,yes,yes,bad
0<=X<200,10.0,critical/other existing credit,furniture/equipment,3160.0,<100,4<=X<7,3.0,male mar/wid,none,4.0,car,27.0,none,own,2.0,skilled,2.0,none,yes,good
<0,12.0,existing paid,radio/tv,1109.0,<100,1<=X<4,3.0,male single,none,4.0,no known property,40.0,none,own,2.0,skilled,1.0,yes,yes,bad
0<=X<200,18.0,existing paid,radio/tv,1387.0,500<=X<1000,>=7,4.0,male single,none,4.0,car,30.0,none,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,good
>=200,12.0,critical/other existing credit,furniture/equipment,1569.0,<100,>=7,2.0,female div/dep/mar,none,4.0,life insurance,46.0,none,own,1.0,high qualif/self emp/mgmt,2.0,yes,yes,bad
no checking,12.0,critical/other existing credit,used car,7293.0,500<=X<1000,1<=X<4,2.0,male single,none,3.0,no known property,43.0,stores,rent,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,12.0,critical/other existing credit,used car,1275.0,100<=X<500,1<=X<4,4.0,female div/dep/mar,none,4.0,car,35.0,none,own,2.0,unskilled resident,1.0,none,yes,bad
0<=X<200,6.0,existing paid,radio/tv,1285.0,<100,1<=X<4,1.0,male single,none,2.0,car,22.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,12.0,critical/other existing credit,radio/tv,1409.0,<100,<1,4.0,male single,none,4.0,car,23.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
no checking,24.0,existing paid,new car,1480.0,<100,1<=X<4,4.0,female div/dep/mar,none,1.0,real estate,32.0,none,own,1.0,skilled,1.0,none,yes,bad
0<=X<200,24.0,existing paid,new car,1207.0,<100,1<=X<4,2.0,female div/dep/mar,none,2.0,life insurance,22.0,none,own,1.0,skilled,1.0,none,yes,bad
0<=X<200,18.0,critical/other existing credit,radio/tv,4169.0,100<=X<500,4<=X<7,3.0,female div/dep/mar,none,4.0,real estate,34.0,none,own,2.0,skilled,1.0,yes,yes,good
0<=X<200,24.0,existing paid,furniture/equipment,1282.0,500<=X<1000,1<=X<4,4.0,female div/dep/mar,none,2.0,real estate,26.0,none,rent,1.0,unskilled resident,1.0,yes,yes,good
