age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
75,retired,married,secondary,no,4033,no,no,telephone,26,sep,304,1,-1,0,unknown,yes
55,unemployed,married,secondary,no,293,yes,yes,cellular,8,oct,48,1,-1,0,unknown,no
42,blue-collar,married,tertiary,no,3021,yes,no,cellular,8,may,1602,1,-2,7,unknown,no
59,self-employed,married,primary,no,17158,no,no,cellular,12,apr,72,1,-1,0,unknown,no
57,retired,married,unknown,no,1852,no,yes,telephone,8,jul,103,6,-2,0,unknown,no
28,services,single,secondary,no,22,yes,no,cellular,21,may,620,3,-1,2,unknown,yes
65,management,divorced,unknown,no,-22,no,no,cellular,19,sep,82,1,172,1,failure,yes
40,management,divorced,tertiary,no,2510,yes,no,cellular,20,may,428,2,-2,0,unknown,yes
44,services,married,secondary,no,2578,yes,no,cellular,21,may,849,1,-2,0,unknown,yes
29,self-employed,single,tertiary,no,323,no,no,cellular,9,sep,236,1,188,1,success,yes
55,entrepreneur,divorced,tertiary,no,4748,yes,no,cellular,15,aug,52,1,0,0,unknown,no
46,management,single,tertiary,no,178,yes,no,cellular,21,may,858,1,-2,0,unknown,no
40,blue-collar,married,secondary,no,-203,yes,yes,unknown,13,jul,39,3,-1,0,unknown,no
45,retired,single,secondary,no,257,no,no,cellular,23,nov,1130,1,-1,0,unknown,yes
45,entrepreneur,single,secondary,no,-53,no,no,cellular,17,feb,124,1,183,0,unknown,no
29,management,married,tertiary,no,107,yes,no,cellular,9,sep,438,1,309,2,failure,yes
43,management,married,tertiary,no,15,yes,no,cellular,17,aug,430,3,-1,0,unknown,no
29,unknown,single,secondary,no,521,no,no,cellular,25,jul,2321,2,-1,0,unknown,no
50,admin.,married,secondary,no,1398,no,yes,cellular,7,may,209,2,318,2,other,no
62,services,married,tertiary,no,-15,yes,no,cellular,16,nov,234,1,290,1,failure,no
39,blue-collar,married,secondary,no,-196,yes,yes,cellular,12,may,180,1,-1,0,unknown,no
28,technician,single,secondary,no,-65,yes,no,unknown,20,may,354,3,0,0,unknown,yes
70,blue-collar,divorced,secondary,no,361,no,no,unknown,4,sep,171,2,182,3,failure,yes
33,technician,single,secondary,no,-43,yes,no,cellular,17,may,296,1,-1,0,unknown,no
32,services,single,secondary,no,167,no,no,telephone,23,oct,646,1,171,1,success,yes
36,blue-collar,divorced,secondary,yes,-272,yes,no,unknown,21,may,180,3,-1,0,unknown,no
57,blue-collar,married,secondary,no,51,yes,no,telephone,7,jul,179,1,0,3,unknown,no
78,retired,divorced,primary,no,1729,yes,no,telephone,13,may,257,1,-1,0,unknown,yes
29,services,single,secondary,no,438,no,no,cellular,19,may,518,3,-1,0,unknown,yes
34,admin.,single,tertiary,no,-13,yes,no,cellular,22,may,92,7,-2,0,unknown,no
50,management,married,tertiary,no,2975,no,no,cellular,8,oct,304,2,174,1,success,yes
39,blue-collar,divorced,secondary,no,99,yes,no,cellular,29,may,485,1,-3,0,unknown,yes
52,management,married,unknown,no,226,no,no,cellular,19,feb,233,3,-2,0,unknown,yes
44,management,divorced,tertiary,no,328,yes,no,unknown,8,jun,132,4,-1,0,unknown,no
46,blue-collar,married,secondary,no,-159,yes,no,cellular,30,may,748,2,0,0,unknown,no
70,retired,divorced,tertiary,no,6601,no,no,telephone,27,aug,174,2,177,0,unknown,no
33,services,single,secondary,no,122,no,no,cellular,22,jun,370,1,-1,0,unknown,no
33,management,married,secondary,no,-139,yes,no,cellular,18,oct,122,3,291,3,other,yes
38,management,married,tertiary,no,-28,yes,yes,cellular,7,may,98,3,-1,0,unknown,no
43,admin.,married,secondary,no,-228,yes,no,cellular,9,may,149,1,325,11,failure,no
41,blue-collar,married,secondary,no,-159,yes,yes,cellular,16,jul,180,1,-2,0,unknown,no
31,management,single,tertiary,no,228,yes,no,cellular,7,may,248,3,-2,0,unknown,no
32,technician,single,tertiary,no,74,no,no,cellular,23,jul,261,1,-2,0,unknown,yes
24,services,single,tertiary,no,-12,yes,no,cellular,27,jul,290,1,-1,0,unknown,yes
33,management,divorced,tertiary,no,-62,no,no,cellular,23,mar,306,5,109,2,failure,yes
33,technician,single,secondary,no,36,no,no,cellular,6,feb,866,1,99,4,success,yes
29,blue-collar,divorced,secondary,no,1370,no,no,cellular,22,may,160,2,-1,0,unknown,yes
51,blue-collar,married,primary,yes,-555,yes,yes,telephone,17,aug,96,2,0,0,unknown,no
45,unemployed,married,tertiary,no,2388,yes,no,cellular,20,nov,288,3,188,2,failure,yes
31,admin.,married,secondary,no,-77,yes,yes,cellular,17,jul,273,2,-2,0,unknown,yes
33,management,divorced,unknown,no,189,no,no,cellular,21,mar,201,1,95,4,success,yes
70,retired,divorced,primary,no,4674,no,no,telephone,7,aug,215,2,-1,0,unknown,yes
47,management,married,primary,no,108,no,no,cellular,18,apr,164,1,176,2,success,yes
57,admin.,married,secondary,no,-21,yes,yes,cellular,29,nov,58,11,-1,0,unknown,no
43,self-employed,married,secondary,no,182,no,no,unknown,8,jul,149,7,-2,0,unknown,no
48,services,married,secondary,no,352,no,yes,telephone,28,jul,188,2,-1,0,unknown,no
47,services,married,secondary,no,661,yes,no,telephone,19,may,176,1,-1,0,unknown,no
25,management,single,secondary,no,115,no,no,cellular,30,feb,173,1,-1,0,unknown,yes
32,management,married,tertiary,no,17,yes,no,cellular,14,may,123,1,241,1,failure,no
50,blue-collar,married,primary,no,-155,yes,no,unknown,19,may,86,1,-2,0,unknown,no
29,management,single,tertiary,no,232,yes,no,cellular,5,may,1822,1,-2,0,unknown,yes
31,management,married,secondary,no,-213,yes,no,cellular,7,feb,291,2,264,1,failure,no
28,admin.,single,secondary,no,2912,no,no,cellular,29,oct,1504,1,-1,0,unknown,yes
53,blue-collar,married,secondary,no,128,no,yes,cellular,8,may,733,1,-1,0,unknown,no
34,blue-collar,married,primary,no,55,yes,no,unknown,4,may,54,2,-2,0,unknown,no
48,management,married,secondary,no,190,no,no,cellular,30,jul,29,1,-2,0,unknown,no
38,management,married,tertiary,no,145,yes,no,cellular,21,jul,640,2,-1,2,failure,yes
60,blue-collar,married,primary,no,3224,yes,no,telephone,7,may,128,3,-2,0,unknown,no
57,retired,divorced,primary,no,9898,no,no,telephone,7,jan,153,1,-1,0,unknown,no
37,retired,married,secondary,no,896,no,no,telephone,30,nov,205,3,90,2,success,no
38,retired,married,unknown,no,15001,no,no,cellular,14,oct,415,1,-1,0,unknown,yes
40,unknown,married,primary,no,139,no,no,telephone,18,apr,203,1,-1,0,unknown,no
33,student,single,secondary,no,474,no,no,cellular,20,oct,93,1,187,1,success,yes
33,services,married,tertiary,no,112,yes,yes,cellular,4,feb,595,1,269,2,failure,yes
27,management,single,tertiary,no,214,yes,no,cellular,23,feb,309,2,-1,0,unknown,yes
22,student,single,tertiary,no,10056,no,no,cellular,14,mar,77,1,-2,0,unknown,yes
70,retired,married,primary,no,8827,no,no,telephone,16,jun,149,1,-1,0,unknown,no
22,student,single,tertiary,no,37,no,no,cellular,16,nov,187,1,-1,0,success,yes
74,retired,divorced,primary,no,3494,no,no,telephone,21,jun,182,1,-1,0,unknown,no
29,management,single,tertiary,no,586,no,no,cellular,22,nov,260,1,-2,0,unknown,yes
29,technician,married,secondary,no,-151,yes,no,cellular,29,apr,242,1,289,1,unknown,no
29,technician,single,secondary,no,42,yes,yes,unknown,18,jul,148,1,-2,0,unknown,yes
48,services,divorced,tertiary,no,-71,yes,no,unknown,18,may,431,1,-1,0,unknown,yes
31,unknown,married,secondary,no,108,no,no,telephone,19,jul,310,1,-1,0,unknown,no
59,entrepreneur,divorced,primary,no,2012,no,no,cellular,14,jun,392,1,-1,0,unknown,no
35,housemaid,married,secondary,no,269,no,no,cellular,4,feb,237,3,-2,0,unknown,no
48,admin.,single,secondary,no,158,yes,no,unknown,15,jan,167,2,-2,0,unknown,no
30,technician,divorced,secondary,no,40,yes,no,cellular,21,may,126,3,-2,0,unknown,yes
35,management,single,tertiary,no,826,yes,no,unknown,20,may,739,9,-2,0,unknown,no
35,services,divorced,secondary,no,216,no,yes,cellular,6,jun,167,1,-2,0,unknown,yes
29,student,single,tertiary,no,217,no,no,cellular,22,aug,182,1,-1,0,unknown,yes
34,blue-collar,divorced,primary,no,192,yes,no,unknown,3,may,444,3,-2,0,unknown,no
39,blue-collar,married,secondary,no,-175,yes,no,unknown,16,may,172,2,-3,0,unknown,no
50,housemaid,married,primary,no,349,yes,no,telephone,10,jan,580,1,-1,0,unknown,no
28,admin.,single,secondary,no,2783,no,no,cellular,19,mar,679,1,-1,0,unknown,yes
29,entrepreneur,married,secondary,no,380,yes,no,unknown,19,nov,219,2,-1,0,unknown,yes
33,management,single,tertiary,no,152,no,no,cellular,29,oct,213,1,285,1,failure,yes
38,student,single,unknown,no,2243,no,no,cellular,18,feb,190,2,-1,0,unknown,yes
29,technician,divorced,secondary,no,437,yes,no,telephone,7,dec,327,1,189,9,success,yes
28,admin.,single,tertiary,no,2,yes,no,cellular,19,apr,370,2,177,1,success,yes
33,blue-collar,married,tertiary,no,-98,yes,no,unknown,19,jun,78,1,-1,0,unknown,no
29,management,single,tertiary,no,138,no,no,cellular,20,feb,315,2,-1,0,unknown,yes
33,retired,single,secondary,no,119,no,no,cellular,29,feb,378,3,-3,0,unknown,yes
47,admin.,divorced,unknown,no,46,no,no,unknown,3,jun,184,1,-2,0,unknown,yes
49,services,married,secondary,no,-55,yes,no,unknown,9,may,704,1,-1,0,unknown,no
34,admin.,single,secondary,no,68,yes,no,cellular,20,feb,45,1,-3,0,unknown,yes
42,technician,married,secondary,no,3032,no,no,cellular,20,aug,82,4,75,4,other,no
27,management,single,tertiary,no,50,yes,no,cellular,26,aug,402,1,92,2,success,yes
51,retired,married,primary,no,1237,no,no,cellular,6,sep,609,3,173,10,other,no
23,admin.,married,secondary,no,-31,yes,yes,cellular,19,jul,188,1,-1,0,unknown,yes
34,management,single,tertiary,no,153,no,no,cellular,10,nov,244,1,75,1,success,no
29,management,single,tertiary,no,84,yes,no,cellular,20,apr,878,1,-2,0,unknown,yes
46,blue-collar,married,tertiary,no,571,yes,no,cellular,31,jul,207,15,-2,0,unknown,no
33,student,divorced,unknown,no,1750,no,no,cellular,19,feb,309,2,173,1,success,yes
62,retired,married,secondary,no,-57,no,yes,telephone,20,aug,922,1,-1,0,unknown,no
61,retired,divorced,secondary,no,2769,no,no,telephone,23,oct,432,4,-2,0,unknown,yes
36,services,single,secondary,no,-93,yes,no,cellular,22,may,441,1,-1,0,unknown,yes
38,admin.,married,secondary,no,23,yes,yes,cellular,30,nov,948,2,-1,0,unknown,yes
47,management,married,tertiary,no,225,no,no,cellular,21,sep,369,1,304,1,other,no
26,housemaid,single,secondary,yes,859,yes,yes,cellular,30,jul,187,1,-1,0,unknown,yes
30,admin.,married,secondary,no,130,no,no,cellular,9,jul,86,1,-2,0,unknown,no
49,blue-collar,married,primary,no,1752,yes,no,telephone,15,may,255,1,-1,0,unknown,no
34,services,single,secondary,no,52,yes,no,unknown,18,jul,118,4,-1,0,unknown,no
44,services,single,secondary,no,-75,yes,no,cellular,15,jun,93,2,309,7,failure,yes
33,entrepreneur,married,tertiary,no,229,no,no,cellular,27,jul,228,3,-3,0,unknown,yes
52,services,married,secondary,no,830,yes,no,cellular,21,nov,251,1,170,0,unknown,yes
54,blue-collar,married,primary,no,37,yes,yes,unknown,21,may,139,1,-1,0,unknown,no
33,self-employed,single,tertiary,no,381,no,no,cellular,26,jul,104,2,-1,0,unknown,no
79,retired,divorced,secondary,no,3632,no,no,telephone,12,sep,317,1,-1,0,unknown,yes
47,management,divorced,secondary,no,597,no,yes,cellular,17,may,84,4,105,3,other,yes
22,management,single,tertiary,no,214,no,no,cellular,25,jul,290,1,181,3,failure,yes
24,services,single,secondary,no,3931,yes,no,cellular,8,may,628,1,-1,0,unknown,yes
81,retired,single,secondary,no,3687,no,no,telephone,16,oct,328,1,173,3,success,yes
54,management,married,secondary,no,-8,yes,yes,cellular,17,may,786,2,302,0,failure,no
32,management,single,tertiary,no,175,no,no,telephone,7,mar,901,2,-2,0,unknown,yes
35,self-employed,single,secondary,no,1020,no,no,unknown,20,may,377,1,-1,0,unknown,no
45,blue-collar,divorced,secondary,no,589,yes,no,cellular,14,may,226,1,-2,0,unknown,no
49,services,married,primary,no,31,yes,no,unknown,12,may,196,1,-1,0,unknown,no
35,management,single,tertiary,no,6991,no,no,cellular,7,feb,90,1,-1,0,unknown,yes
27,blue-collar,single,secondary,no,112,no,no,cellular,18,apr,879,1,-2,0,unknown,yes
35,services,married,secondary,no,498,no,no,cellular,29,jul,17,2,-1,0,unknown,no
33,admin.,married,secondary,no,-165,yes,no,unknown,11,may,192,1,-2,0,unknown,no
50,services,single,tertiary,no,37,no,no,cellular,22,jul,107,3,299,1,other,yes
46,technician,married,secondary,no,65,yes,yes,cellular,8,jan,161,1,-1,0,unknown,no
39,technician,married,primary,no,10624,no,no,cellular,12,jul,207,2,0,0,unknown,no
28,services,divorced,secondary,no,162,yes,no,unknown,20,may,907,1,-2,0,unknown,yes
38,housemaid,married,primary,no,106,no,no,cellular,28,feb,54,6,176,2,success,no
42,technician,married,secondary,no,-274,yes,yes,cellular,13,nov,637,1,112,3,other,yes
47,services,married,secondary,no,147,yes,no,cellular,21,nov,87,1,310,1,failure,no
51,blue-collar,married,secondary,no,100,yes,no,cellular,20,nov,114,2,332,0,unknown,no
56,retired,married,secondary,no,3,no,no,telephone,3,oct,184,4,413,4,success,yes
45,admin.,divorced,secondary,no,-213,no,no,cellular,8,jul,207,1,58,0,failure,no
26,services,divorced,secondary,no,-100,no,yes,cellular,14,may,290,1,-2,0,unknown,yes
31,services,single,secondary,yes,-1285,no,no,unknown,24,jun,290,1,-1,0,unknown,yes
31,admin.,single,secondary,no,-128,yes,yes,cellular,21,jul,103,1,283,0,unknown,yes
34,management,single,tertiary,no,127,yes,no,unknown,4,jun,334,1,-2,0,unknown,no
44,services,married,secondary,no,42,no,no,cellular,14,nov,166,2,304,1,other,yes
48,housemaid,married,primary,no,247,no,no,cellular,3,aug,149,11,-2,0,unknown,no
29,blue-collar,married,primary,no,238,yes,no,unknown,5,may,248,3,-2,0,unknown,yes
49,retired,married,primary,no,3019,no,no,telephone,28,jan,168,2,91,0,unknown,yes
44,technician,married,secondary,no,111,no,yes,cellular,27,nov,329,3,-1,0,unknown,no
29,management,single,tertiary,no,105,no,no,unknown,20,feb,142,1,-2,0,unknown,yes
38,management,single,tertiary,no,-138,no,no,cellular,19,dec,448,3,168,3,other,yes
40,blue-collar,divorced,secondary,no,-180,yes,no,cellular,27,may,115,1,-2,0,unknown,no
29,management,single,tertiary,no,97,no,no,cellular,8,aug,438,1,0,0,unknown,yes
49,blue-collar,married,primary,no,143,yes,no,unknown,5,may,173,1,-1,0,unknown,no
45,services,single,secondary,no,223,yes,no,unknown,20,may,512,3,-2,0,unknown,yes
31,technician,single,tertiary,yes,1825,no,no,cellular,9,nov,820,1,-2,0,unknown,no
34,admin.,single,tertiary,no,831,yes,no,cellular,19,oct,664,2,178,0,unknown,no
53,services,married,primary,no,-145,yes,no,unknown,21,nov,240,3,-2,0,unknown,yes
66,management,married,secondary,no,823,no,no,unknown,27,jun,1042,2,-1,0,unknown,yes
31,self-employed,single,secondary,no,1090,no,no,cellular,3,aug,448,3,-1,0,unknown,no
49,entrepreneur,married,tertiary,yes,-209,no,no,unknown,23,jun,51,1,-2,0,unknown,no
55,retired,married,primary,no,1372,no,no,telephone,20,oct,181,4,176,6,success,yes
24,housemaid,single,secondary,no,871,no,no,cellular,30,mar,382,4,0,0,unknown,yes
35,services,single,tertiary,no,-87,yes,no,cellular,7,feb,1058,1,-1,0,unknown,yes
59,self-employed,married,secondary,no,821,no,no,cellular,21,aug,185,2,84,2,success,yes
61,management,married,tertiary,no,48,no,no,unknown,19,jul,180,12,-2,0,unknown,no
58,management,married,tertiary,no,998,yes,no,telephone,19,apr,183,2,171,2,failure,no
41,services,divorced,secondary,no,244,yes,no,cellular,20,nov,587,2,-2,0,unknown,yes
50,management,married,tertiary,no,2116,no,no,cellular,15,mar,372,3,183,1,success,yes
34,blue-collar,married,tertiary,no,-34,yes,no,cellular,7,may,216,1,538,3,failure,no
38,admin.,divorced,secondary,no,-50,yes,yes,unknown,28,may,74,1,-2,0,unknown,no
48,unemployed,married,tertiary,no,2358,no,no,cellular,20,oct,222,1,184,2,success,no
33,entrepreneur,married,secondary,no,-119,no,no,cellular,5,jul,51,2,-2,0,unknown,no
34,technician,divorced,tertiary,no,62,yes,no,unknown,4,may,1382,1,-1,0,unknown,yes
48,services,married,secondary,no,1465,yes,no,unknown,11,jun,119,3,-1,0,unknown,no
27,technician,single,secondary,no,-160,yes,no,telephone,5,dec,822,1,-2,0,unknown,yes
49,housemaid,divorced,primary,no,202,no,no,cellular,7,feb,170,7,-1,0,unknown,no
52,blue-collar,divorced,secondary,no,439,yes,no,unknown,10,may,889,1,-2,0,unknown,yes
52,management,married,secondary,no,303,no,no,cellular,29,may,183,1,-1,0,unknown,no
38,services,single,secondary,no,916,yes,yes,unknown,16,may,720,3,-2,0,unknown,no
29,admin.,divorced,secondary,no,143,no,no,cellular,1,oct,1003,1,-1,0,unknown,yes
33,blue-collar,divorced,primary,no,387,yes,no,unknown,19,aug,110,3,-1,0,unknown,yes
40,management,married,tertiary,no,575,yes,no,unknown,28,may,126,1,-3,0,unknown,no
36,technician,divorced,secondary,yes,168,yes,no,cellular,23,jul,142,1,-2,0,unknown,yes
31,blue-collar,married,secondary,no,44,yes,yes,telephone,29,jul,81,3,-2,0,unknown,no
58,management,married,unknown,no,353,yes,no,telephone,6,jul,161,9,-2,0,unknown,no
46,admin.,divorced,secondary,no,94,no,yes,cellular,20,may,100,2,0,0,unknown,no
49,technician,married,secondary,no,-216,yes,no,unknown,29,may,459,1,-1,0,unknown,no
34,services,single,secondary,no,35,no,no,cellular,19,jul,156,3,0,0,unknown,yes
40,technician,single,secondary,no,-107,no,yes,cellular,4,may,130,8,-1,0,unknown,no
46,management,married,secondary,no,1191,yes,no,cellular,17,nov,60,2,291,1,failure,yes
47,blue-collar,married,primary,no,1868,yes,no,unknown,27,jun,98,1,-2,0,unknown,yes
75,retired,divorced,tertiary,no,5539,no,no,telephone,20,oct,243,2,-2,0,unknown,no
30,admin.,single,secondary,no,141,yes,no,unknown,10,may,225,3,-1,0,unknown,no
38,admin.,married,secondary,no,2614,yes,yes,cellular,29,nov,374,1,-1,0,unknown,no
28,unknown,single,primary,no,10651,no,no,telephone,28,apr,193,1,-1,4,failure,yes
54,services,single,secondary,no,10,no,no,cellular,17,jul,220,2,-2,0,unknown,yes
52,self-employed,divorced,tertiary,no,5188,yes,no,cellular,4,aug,374,1,191,0,other,yes
41,blue-collar,married,secondary,no,-57,yes,no,cellular,17,jul,61,1,180,1,other,yes
55,self-employed,married,secondary,no,-211,no,no,cellular,30,aug,734,3,-2,0,unknown,no
32,services,married,secondary,no,15,yes,no,cellular,11,feb,205,1,-2,0,unknown,yes
73,retired,married,primary,no,2975,yes,no,telephone,14,may,266,1,-2,0,unknown,no
50,management,married,tertiary,no,245,no,no,cellular,27,sep,969,1,183,4,other,yes
33,student,single,tertiary,no,-8,no,no,cellular,21,apr,240,3,168,1,failure,yes
33,student,divorced,secondary,no,295,no,no,unknown,28,may,1003,1,-1,0,unknown,yes
35,services,single,tertiary,no,852,yes,no,unknown,20,apr,92,3,-2,0,unknown,no
47,retired,divorced,secondary,no,2181,no,no,cellular,21,mar,352,1,-3,0,unknown,yes
27,technician,single,secondary,no,-35,yes,no,cellular,10,apr,706,1,297,1,success,yes
35,management,married,secondary,yes,-7,yes,no,cellular,5,jul,-10,7,-1,0,unknown,no
59,self-employed,divorced,secondary,no,1759,no,no,cellular,17,aug,289,3,-1,0,unknown,no
28,technician,single,tertiary,no,2632,yes,no,unknown,3,may,316,2,-2,0,unknown,yes
28,student,single,tertiary,no,260,yes,no,cellular,26,jul,1221,1,-1,0,unknown,yes
33,student,single,secondary,no,1,no,no,cellular,19,apr,311,3,-1,0,unknown,yes
34,management,married,secondary,no,87,no,no,cellular,20,sep,747,3,181,11,success,yes
33,services,single,secondary,no,776,yes,no,unknown,7,jun,234,2,-1,0,unknown,no
38,housemaid,married,primary,no,271,no,no,cellular,6,jun,365,1,-1,0,unknown,no
35,services,married,secondary,no,-31,yes,no,unknown,7,may,111,2,-2,0,unknown,no
43,student,single,unknown,no,110,no,no,cellular,3,feb,546,1,174,1,success,yes
35,technician,single,tertiary,no,79,no,no,unknown,18,feb,32,10,-1,0,unknown,no
52,services,married,secondary,no,-63,yes,no,unknown,18,jun,221,1,-2,0,unknown,no
50,retired,married,secondary,no,1503,no,no,telephone,8,oct,264,1,-1,0,unknown,yes
36,technician,married,unknown,no,82,yes,yes,cellular,29,may,30,8,-2,0,unknown,no
24,blue-collar,single,primary,no,255,yes,no,unknown,1,may,146,1,-1,0,unknown,no
31,blue-collar,single,secondary,no,11215,no,no,cellular,6,aug,302,2,183,1,failure,no
49,services,divorced,secondary,no,107,no,yes,cellular,19,jul,105,3,-1,0,unknown,no
34,admin.,married,secondary,no,256,no,yes,cellular,2,jul,109,3,-2,0,failure,yes
40,management,married,tertiary,no,142,yes,no,cellular,31,nov,301,1,277,4,other,no
30,retired,married,secondary,no,6,no,no,cellular,14,jul,167,2,-1,0,unknown,no
43,services,divorced,secondary,no,-62,no,yes,cellular,24,jul,228,5,-2,0,unknown,no
73,retired,married,primary,no,1399,no,no,telephone,21,jun,548,1,-1,2,unknown,no
45,technician,married,secondary,no,-113,yes,no,cellular,19,nov,428,1,285,2,failure,yes
