gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group C,associate's degree,standard,none,67,66,62
female,group C,some college,standard,none,84,68,75
female,group C,high school,free/reduced,none,50,57,63
female,group C,some college,standard,none,58,60,68
male,group C,high school,standard,none,54,66,65
female,group C,some college,standard,none,81,83,72
male,group C,high school,free/reduced,none,50,41,50
female,group C,associate's degree,standard,completed,83,97,62
male,group C,high school,standard,none,58,74,50
female,group C,associate's degree,standard,completed,78,79,79
female,group C,some high school,standard,completed,95,63,85
female,group C,some college,standard,none,85,100,79
female,group C,associate's degree,standard,none,62,71,88
male,group C,high school,standard,none,66,46,56
male,group E,some college,standard,none,59,73,59
female,group C,some college,standard,none,74,65,79
female,group C,high school,standard,none,65,64,63
female,group C,some college,standard,none,92,80,69
female,group B,some high school,free/reduced,none,44,45,54
male,group C,some college,standard,none,70,73,85
male,group C,high school,free/reduced,none,50,42,39
male,group E,some college,standard,completed,82,84,74
male,group C,some high school,free/reduced,none,51,59,55
female,group C,some college,standard,completed,84,84,86
female,group D,associate's degree,standard,none,79,70,58
female,group C,associate's degree,standard,completed,100,99,94
female,group C,some high school,free/reduced,none,59,70,73
female,group C,high school,standard,none,50,60,58
male,group C,some college,standard,none,66,57,72
male,group C,high school,standard,none,56,62,51
male,group C,some college,standard,none,68,62,68
male,group D,some college,standard,none,70,75,64
female,group C,associate's degree,standard,completed,99,87,75
female,group C,some college,standard,none,75,76,71
female,group D,some college,standard,none,79,64,75
male,group D,associate's degree,standard,none,76,82,83
female,group C,associate's degree,standard,none,75,84,53
female,group C,high school,standard,none,61,58,55
female,group C,high school,standard,none,64,63,72
male,group D,some college,standard,none,81,70,88
female,group C,high school,free/reduced,none,78,73,73
female,group C,some college,standard,none,77,78,72
female,group C,high school,standard,none,69,76,75
female,group D,associate's degree,standard,none,69,83,95
male,group C,high school,standard,none,78,65,53
male,group B,some high school,free/reduced,none,43,54,47
male,group D,some college,standard,none,68,85,77
female,group C,bachelor's degree,standard,completed,100,100,100
male,group C,some college,standard,none,73,61,73
female,group C,some college,standard,none,69,67,75
female,group C,associate's degree,free/reduced,completed,94,92,96
male,group C,some college,standard,none,68,66,72
female,group C,some high school,free/reduced,completed,82,69,77
female,group C,high school,standard,none,53,73,55
female,group C,associate's degree,standard,none,68,67,69
female,group D,some college,standard,completed,80,83,91
female,group D,associate's degree,standard,none,46,70,72
female,group C,some college,standard,none,61,79,65
male,group C,high school,free/reduced,none,43,50,36
male,group D,some college,standard,none,60,61,52
male,group D,some college,standard,none,57,62,59
male,group C,some college,standard,none,52,68,67
female,group C,high school,free/reduced,none,62,64,57
female,group C,associate's degree,standard,none,70,92,89
female,group C,some college,standard,none,76,87,84
male,group D,some college,standard,none,64,85,72
male,group D,some college,standard,none,66,66,71
male,group E,associate's degree,standard,none,49,83,52
male,group E,some college,standard,none,79,90,82
female,group C,high school,standard,none,66,71,61
male,group D,some college,standard,none,73,74,59
male,group C,some college,standard,none,67,58,69
female,group C,high school,standard,none,54,75,72
male,group D,some college,standard,none,86,72,67
female,group C,high school,standard,none,60,59,69
female,group E,associate's degree,standard,completed,82,91,94
female,group C,some college,standard,completed,75,96,90
male,group D,some college,free/reduced,none,58,55,51
female,group C,some college,standard,none,66,77,86
female,group D,some college,standard,none,70,81,87
male,group D,some college,standard,none,81,80,75
female,group C,some college,standard,none,71,74,70
female,group C,high school,standard,none,66,73,48
female,group D,associate's degree,standard,none,71,78,77
female,group C,some college,standard,none,67,63,71
female,group C,associate's degree,standard,completed,82,93,79
male,group D,associate's degree,standard,none,44,63,65
male,group D,some college,standard,none,60,58,50
male,group D,some college,standard,none,56,53,53
female,group C,some college,standard,none,73,66,71
male,group D,some college,standard,none,59,59,69
female,group C,some college,standard,completed,83,80,81
female,group C,some college,standard,none,58,63,58
female,group C,high school,standard,none,62,54,63
male,group B,some high school,free/reduced,none,55,33,40
female,group C,associate's degree,standard,completed,67,94,100
female,group C,some college,standard,none,68,77,78
male,group C,some high school,standard,none,41,50,51
male,group D,some college,standard,none,67,71,59
female,group B,some high school,free/reduced,none,43,48,44
male,group C,some college,standard,none,86,92,85
female,group C,associate's degree,free/reduced,none,47,60,62
female,group C,some college,standard,none,83,83,77
female,group C,associate's degree,standard,none,71,71,71
female,group C,high school,standard,none,64,63,59
male,group C,some high school,free/reduced,none,39,47,52
female,group C,associate's degree,standard,none,53,74,70
male,group D,some college,standard,none,77,68,64
female,group C,associate's degree,standard,none,84,81,81
female,group C,some college,standard,none,84,83,100
female,group C,associate's degree,standard,none,79,79,71
female,group C,some college,standard,completed,87,86,68
male,group C,some college,standard,none,59,73,70
male,group C,high school,free/reduced,none,59,36,30
male,group C,some college,free/reduced,none,46,54,39
female,group C,associate's degree,standard,none,66,79,65
female,group E,associate's degree,standard,completed,89,85,72
male,group E,some college,standard,none,86,82,64
female,group C,associate's degree,standard,none,56,68,59
male,group C,high school,standard,none,70,75,72
female,group C,high school,standard,none,63,67,47
male,group C,high school,standard,none,59,65,25
female,group C,some college,standard,none,72,77,80
male,group D,some college,standard,none,73,55,66
male,group C,high school,standard,none,47,40,47
male,group E,some college,standard,none,99,72,82
male,group C,some college,standard,none,64,59,73
male,group E,bachelor's degree,standard,completed,100,93,87
male,group C,some college,standard,none,63,78,67
female,group C,bachelor's degree,standard,completed,90,91,88
male,group C,some college,standard,none,69,59,50
female,group C,some college,standard,completed,82,80,82
female,group C,high school,standard,none,61,61,61
female,group C,some college,standard,none,71,81,81
male,group C,high school,free/reduced,none,44,48,39
female,group C,high school,standard,none,57,50,46
female,group C,associate's degree,standard,completed,78,82,86
male,group D,high school,standard,none,56,60,55
female,group C,some college,standard,none,69,71,70
female,group D,associate's degree,standard,completed,87,91,92
female,group C,some college,standard,none,65,56,79
female,group D,associate's degree,standard,none,85,91,90
male,group C,high school,free/reduced,none,42,49,40
male,group D,some college,standard,none,73,74,67
female,group C,associate's degree,standard,none,64,72,77
female,group C,some college,standard,none,75,87,83
male,group C,high school,standard,none,42,57,39
male,group D,associate's degree,standard,none,54,70,81
female,group C,high school,free/reduced,none,50,58,46
female,group C,some college,standard,completed,90,93,88
male,group C,high school,standard,none,48,55,61
female,group C,associate's degree,standard,none,51,65,62
female,group C,some college,standard,completed,85,85,71
female,group C,some high school,free/reduced,completed,59,58,49
female,group C,bachelor's degree,standard,completed,78,94,91
male,group C,high school,standard,none,53,44,52
female,group C,some college,standard,none,79,81,65
male,group D,some college,standard,none,80,67,79
male,group E,some college,standard,completed,94,80,92
male,group C,some college,standard,none,59,86,70
male,group C,some college,standard,none,77,59,62
male,group C,some college,free/reduced,none,49,54,48
female,group C,high school,standard,none,48,66,63
male,group D,some college,standard,none,66,61,77
male,group D,some college,standard,none,82,64,62
male,group C,high school,standard,none,62,74,54
male,group C,high school,standard,none,66,63,73
male,group D,some college,standard,none,82,74,73
female,group C,high school,standard,none,62,59,73
male,group D,some college,standard,none,64,62,68
female,group C,high school,free/reduced,none,54,53,49
male,group C,some high school,free/reduced,none,52,53,50
male,group D,some college,standard,none,68,64,67
female,group C,some college,standard,none,78,80,76
male,group D,associate's degree,standard,none,75,81,59
male,group E,some college,standard,completed,90,79,90
male,group E,associate's degree,standard,completed,80,97,79
female,group C,associate's degree,free/reduced,none,48,49,64
female,group C,some high school,standard,none,69,60,53
male,group C,high school,standard,none,55,60,63
male,group C,some college,standard,none,67,61,76
female,group C,high school,standard,none,48,65,60
male,group C,some college,standard,none,74,85,72
female,group C,some high school,free/reduced,none,25,59,52
female,group C,associate's degree,standard,completed,70,83,82
male,group D,associate's degree,standard,none,75,76,77
female,group C,some college,standard,none,70,59,80
female,group C,some college,standard,none,61,73,71
female,group C,high school,standard,none,55,59,53
male,group D,some college,standard,none,66,85,92
male,group C,high school,standard,none,65,68,64
male,group C,associate's degree,standard,none,82,82,85
female,group D,some college,standard,none,67,82,60
female,group C,some high school,standard,none,66,72,67
male,group D,some college,standard,none,66,61,51
female,group C,high school,standard,none,67,57,71
female,group C,high school,standard,none,51,59,80
male,group C,high school,standard,none,60,62,49
male,group C,high school,standard,none,68,69,83
female,group C,high school,standard,none,56,52,52
female,group C,some college,standard,none,66,82,68
male,group C,some college,standard,none,68,65,56
female,group E,associate's degree,standard,completed,74,93,86
male,group C,associate's degree,standard,none,45,43,59
female,group C,some college,standard,none,63,61,58
female,group D,high school,standard,none,56,83,65
male,group C,some college,standard,none,85,65,78
male,group D,some college,standard,none,67,68,66
female,group B,high school,free/reduced,none,31,54,49
female,group C,high school,standard,none,61,62,64
female,group C,some college,standard,none,58,75,81
male,group C,some college,standard,none,68,76,59
female,group C,high school,standard,none,70,68,64
male,group C,high school,standard,none,62,47,55
female,group E,some college,standard,completed,88,93,84
female,group C,some college,standard,none,56,80,73
female,group C,associate's degree,standard,none,67,77,70
female,group C,some college,standard,none,95,71,76
female,group C,some college,standard,none,57,59,46
male,group D,some college,standard,none,71,87,84
male,group D,some college,standard,none,78,75,74
female,group C,some high school,standard,none,57,58,76
female,group D,associate's degree,standard,none,72,76,79
female,group C,high school,standard,none,60,64,65
male,group C,high school,standard,none,65,64,56
male,group D,some college,standard,none,65,79,69
female,group C,some high school,standard,none,58,75,73
female,group B,high school,free/reduced,none,50,60,64
male,group C,some college,standard,none,47,41,67
male,group C,some high school,free/reduced,none,46,39,43
male,group C,some college,standard,none,62,64,80
female,group C,some college,standard,none,71,70,72
female,group C,high school,free/reduced,none,45,49,53
male,group C,some college,free/reduced,none,62,57,57
female,group C,associate's degree,standard,completed,86,85,76
female,group C,some high school,standard,none,85,64,77
female,group C,some college,standard,none,65,65,52
female,group C,some college,standard,none,80,76,79
male,group C,some college,standard,none,57,58,73
female,group C,some college,standard,none,92,88,76
male,group C,associate's degree,standard,none,64,96,80
male,group C,some college,standard,none,50,56,50
female,group C,high school,free/reduced,none,56,70,61
female,group C,some college,standard,none,76,57,64
female,group C,some college,standard,none,70,65,88
female,group C,associate's degree,standard,completed,82,87,78
male,group C,high school,standard,none,50,47,55
male,group C,associate's degree,standard,none,57,62,49
female,group C,some high school,free/reduced,completed,79,83,82
male,group D,some college,standard,none,92,90,84
female,group C,associate's degree,standard,none,59,88,80
female,group C,some college,standard,completed,91,86,71
male,group E,some college,standard,none,73,75,70
female,group C,some college,free/reduced,completed,76,75,86
female,group C,associate's degree,standard,completed,85,72,89
male,group D,some college,standard,none,67,65,70
female,group C,high school,free/reduced,none,53,55,58
male,group C,some college,standard,none,64,66,55
female,group C,high school,free/reduced,none,53,61,51
male,group C,some high school,free/reduced,none,55,48,61
male,group D,some college,standard,none,71,83,70
female,group C,high school,standard,none,60,67,73
male,group C,high school,standard,none,53,50,50
male,group D,high school,standard,none,63,71,61
male,group C,high school,free/reduced,none,58,65,73
male,group E,associate's degree,standard,completed,94,93,78
female,group C,some college,standard,none,52,69,77
female,group C,some college,standard,none,86,82,91
female,group C,some college,standard,none,87,77,89
male,group D,associate's degree,standard,none,58,58,54
male,group C,some college,standard,none,62,48,62
female,group D,associate's degree,standard,none,83,88,81
female,group C,some college,standard,none,78,81,84
female,group C,associate's degree,standard,completed,91,77,78
female,group E,some college,standard,completed,86,81,82
female,group C,associate's degree,standard,none,62,74,70
male,group D,some college,standard,none,69,67,58
female,group C,some college,standard,none,57,77,63
female,group C,high school,free/reduced,none,47,69,46
male,group C,high school,free/reduced,none,37,52,51
female,group C,associate's degree,free/reduced,none,53,57,56
female,group C,associate's degree,free/reduced,completed,79,70,87
female,group C,some college,standard,none,60,63,74
male,group C,high school,standard,none,63,60,64
female,group C,some college,standard,none,65,70,57
female,group E,associate's degree,standard,completed,81,77,72
male,group D,associate's degree,standard,none,66,65,67
female,group D,some college,standard,none,92,86,84
male,group C,some college,standard,none,78,80,79
male,group E,associate's degree,standard,completed,87,90,86
female,group C,associate's degree,free/reduced,none,69,69,80
female,group C,high school,standard,none,72,67,60
female,group C,some college,standard,none,48,66,61
female,group C,high school,standard,none,53,69,63
male,group C,some high school,free/reduced,none,42,53,52
male,group D,some college,standard,none,73,72,68
female,group C,associate's degree,standard,none,61,73,70
female,group C,some college,standard,none,77,70,79
female,group C,high school,standard,none,74,65,76
female,group C,associate's degree,standard,none,81,80,71
female,group B,some high school,free/reduced,none,41,54,61
female,group C,some college,standard,none,84,79,89
male,group D,some college,standard,none,64,77,54
female,group C,some college,standard,none,61,65,74
female,group D,some college,standard,completed,97,97,94
male,group C,some college,standard,none,53,51,53
male,group C,high school,standard,none,64,46,40
female,group C,bachelor's degree,standard,completed,84,78,88
female,group C,high school,standard,none,47,66,54
male,group D,associate's degree,standard,completed,63,69,78
male,group C,some high school,standard,none,48,49,43
female,group C,some college,free/reduced,none,36,68,66
male,group C,high school,standard,none,53,63,59
female,group C,high school,free/reduced,none,45,61,62
female,group C,associate's degree,standard,none,87,79,89
male,group D,some college,standard,none,75,80,86
female,group C,associate's degree,standard,completed,100,87,86
female,group C,some college,standard,none,63,62,66
male,group C,some college,standard,none,67,52,64
male,group E,some college,free/reduced,none,49,59,51
female,group E,associate's degree,standard,completed,95,95,79
male,group C,high school,free/reduced,none,38,42,52
male,group D,some college,standard,none,71,75,70
female,group C,high school,free/reduced,none,50,35,58
female,group B,associate's degree,free/reduced,none,60,68,56
female,group C,some college,standard,none,71,85,65
male,group C,some college,standard,none,55,59,62
female,group C,high school,standard,none,65,70,58
male,group D,some college,standard,none,69,57,71
female,group C,associate's degree,standard,none,60,58,70
male,group D,some college,standard,none,53,53,66
male,group C,high school,standard,none,63,64,58
female,group B,some high school,free/reduced,none,51,64,49
male,group D,some college,standard,none,71,88,69
male,group D,some college,standard,none,60,69,61
female,group C,associate's degree,free/reduced,none,66,64,64
female,group E,associate's degree,standard,completed,75,95,77
female,group D,associate's degree,standard,none,79,95,86
male,group D,some college,standard,none,69,68,50
female,group C,associate's degree,standard,none,62,84,87
male,group D,some college,standard,none,71,71,67
female,group C,some college,standard,none,72,70,73
male,group D,some college,standard,none,69,58,69
male,group E,some college,standard,none,71,75,73
female,group C,high school,standard,none,56,79,73
female,group C,some high school,free/reduced,none,55,68,59
female,group C,some college,standard,none,58,76,75
female,group C,some college,standard,none,65,78,79
female,group C,high school,standard,none,56,54,49
female,group C,associate's degree,standard,completed,86,89,88
male,group C,some college,standard,none,56,62,70
female,group C,some college,standard,none,59,75,75
male,group C,some college,free/reduced,none,50,67,69
male,group C,high school,standard,none,52,57,54
female,group C,some college,standard,none,62,60,69
female,group C,high school,standard,none,69,61,78
male,group C,high school,standard,none,56,62,66
female,group C,some college,standard,none,69,54,63
male,group D,some college,standard,none,74,84,79
female,group B,high school,free/reduced,none,52,64,68
male,group D,associate's degree,free/reduced,none,38,45,60
male,group D,some college,standard,none,61,54,60
male,group C,high school,standard,none,57,82,55
female,group B,high school,free/reduced,none,35,42,47
female,group C,associate's degree,standard,none,51,59,63
female,group C,high school,standard,none,76,70,67
male,group C,high school,standard,none,58,59,63
female,group C,some college,standard,none,66,74,66
female,group C,some high school,free/reduced,none,54,77,71
male,group D,some college,standard,none,75,91,88
male,group C,some college,standard,none,72,60,57
female,group B,some high school,free/reduced,none,44,55,47
female,group C,some college,free/reduced,completed,47,80,70
male,group C,high school,standard,none,58,61,54
female,group C,some high school,free/reduced,none,48,59,58
male,group D,some college,standard,none,79,53,57
female,group C,some college,standard,none,56,60,74
male,group C,high school,standard,none,73,53,60
male,group C,some college,standard,none,70,80,74
male,group C,some college,standard,none,44,66,81
female,group C,high school,standard,none,53,65,67
male,group C,high school,standard,none,46,60,47
male,group C,some college,standard,none,65,68,71
female,group C,some high school,free/reduced,completed,77,79,83
male,group D,some college,standard,none,68,83,76
female,group C,high school,standard,none,60,62,58
female,group C,high school,standard,none,61,63,50
female,group C,high school,standard,none,51,81,69
male,group E,some college,standard,none,92,76,67
female,group C,some college,standard,none,79,77,79
female,group C,associate's degree,standard,completed,92,94,100
female,group C,high school,standard,none,62,68,66
male,group D,some college,standard,none,73,69,62
male,group D,some college,standard,none,63,58,60
female,group E,some college,standard,completed,93,79,70
female,group C,associate's degree,standard,none,76,83,72
male,group E,high school,free/reduced,none,44,56,55
female,group C,associate's degree,standard,completed,95,83,79
male,group C,some college,standard,none,52,50,47
male,group D,some college,standard,none,55,51,50
male,group C,some high school,free/reduced,none,50,47,56
male,group C,some high school,standard,none,54,60,85
female,group C,some college,standard,completed,80,88,92
male,group C,high school,standard,none,69,54,62
male,group C,some college,standard,none,60,67,74
female,group C,associate's degree,standard,none,58,61,73
female,group C,some college,free/reduced,none,59,69,77
female,group C,high school,standard,none,52,69,69
male,group D,some college,standard,none,68,80,67
female,group C,some college,standard,none,92,66,85
male,group C,some high school,free/reduced,none,42,61,61
male,group E,some college,standard,none,52,77,66
female,group C,some college,standard,completed,81,90,84
female,group C,some college,standard,none,56,72,64
male,group C,some college,standard,none,83,80,81
female,group C,high school,standard,none,72,67,76
female,group C,high school,standard,none,49,62,67
female,group C,associate's degree,standard,none,58,68,52
female,group C,high school,standard,none,76,65,93
male,group C,high school,standard,none,72,64,64
female,group C,some college,standard,none,71,65,82
male,group C,associate's degree,standard,none,64,75,71
female,group C,some college,free/reduced,none,62,62,62
male,group C,associate's degree,standard,none,67,60,51
female,group E,associate's degree,standard,completed,87,84,87
female,group B,associate's degree,free/reduced,none,84,67,48
female,group C,high school,standard,none,61,46,57
male,group E,some college,standard,none,74,85,73
female,group C,high school,standard,none,53,64,69
male,group C,some college,standard,none,69,81,71
female,group C,associate's degree,standard,completed,78,91,81
male,group C,some college,free/reduced,none,57,56,69
female,group C,high school,standard,none,63,60,65
female,group C,associate's degree,standard,none,57,68,64
female,group C,some college,standard,none,70,58,69
female,group C,high school,standard,none,56,52,54
female,group D,associate's degree,standard,none,75,79,62
male,group C,high school,free/reduced,none,53,44,41
male,group C,high school,free/reduced,none,49,59,36
female,group C,high school,standard,none,61,67,67
female,group C,some college,standard,none,75,72,67
female,group B,some high school,free/reduced,none,44,60,42
female,group C,some college,standard,none,65,78,73
male,group D,some college,standard,none,70,77,63
female,group D,associate's degree,standard,none,76,98,68
male,group E,some college,standard,completed,98,87,75
female,group C,some high school,free/reduced,none,45,61,50
female,group C,associate's degree,standard,none,56,70,63
female,group C,some college,standard,completed,85,91,82
male,group D,some college,standard,none,68,69,70
female,group C,associate's degree,standard,none,81,78,91
female,group C,high school,standard,none,57,72,56
female,group C,some college,standard,none,77,81,88
female,group C,associate's degree,standard,completed,87,89,85
female,group C,high school,standard,none,58,63,74
male,group C,high school,standard,none,39,56,57
female,group C,some college,standard,none,75,85,77
female,group D,associate's degree,standard,none,72,61,67
male,group D,some college,standard,none,74,90,75
female,group C,associate's degree,standard,none,55,78,68
female,group C,some high school,standard,none,56,63,58
male,group C,some high school,free/reduced,none,55,57,43
male,group C,high school,standard,none,62,59,58
female,group C,associate's degree,standard,none,61,67,69
female,group C,associate's degree,standard,none,72,68,76
female,group C,associate's degree,standard,completed,81,80,82
female,group C,some college,standard,none,87,80,74
male,group C,high school,free/reduced,none,54,50,61
female,group E,associate's degree,standard,completed,92,87,84
female,group B,high school,free/reduced,none,48,52,53
female,group C,associate's degree,standard,none,66,66,72
female,group C,high school,free/reduced,none,45,65,55
female,group C,bachelor's degree,standard,none,86,84,92
male,group D,some college,standard,none,73,66,73
female,group D,some college,standard,none,68,75,71
male,group C,high school,standard,none,46,56,46
male,group C,some college,standard,none,69,74,69
female,group D,some college,standard,none,67,78,79
male,group D,some college,standard,none,80,91,90
female,group D,associate's degree,standard,none,73,77,79
female,group E,some college,standard,none,85,78,88
female,group C,associate's degree,standard,completed,83,92,86
male,group D,some college,standard,none,63,63,59
female,group B,some high school,free/reduced,none,63,76,74
female,group C,some high school,free/reduced,none,69,63,70
male,group D,associate's degree,standard,none,76,88,87
male,group C,associate's degree,standard,none,62,67,63
male,group C,high school,free/reduced,none,38,55,54
female,group C,high school,free/reduced,none,48,47,38
male,group C,high school,standard,none,63,39,56
female,group D,some college,standard,none,59,78,74
female,group C,associate's degree,standard,none,72,75,67
female,group C,some college,standard,completed,86,97,72
female,group C,bachelor's degree,standard,completed,86,70,73
male,group E,some college,standard,none,64,67,62
male,group C,high school,standard,none,58,67,62
female,group C,high school,standard,none,54,61,41
male,group C,some high school,free/reduced,none,47,59,69
female,group C,associate's degree,standard,completed,73,80,83
male,group D,some college,standard,none,73,66,60
female,group C,associate's degree,standard,completed,86,74,81
male,group D,some college,standard,none,67,45,43
female,group C,some college,standard,none,65,71,79
male,group D,high school,standard,none,70,46,57
female,group C,associate's degree,standard,none,65,67,69
male,group E,some college,standard,none,73,83,77
female,group C,some college,standard,completed,76,91,75
female,group C,high school,free/reduced,completed,68,78,68
female,group C,associate's degree,standard,none,68,77,70
female,group C,some college,standard,none,62,77,77
male,group C,high school,free/reduced,none,32,45,52
female,group C,high school,standard,none,54,48,56
male,group D,some college,standard,none,73,74,73
female,group C,some high school,free/reduced,none,53,85,75
male,group D,some college,standard,none,79,78,72
female,group C,some college,free/reduced,completed,91,87,79
female,group C,associate's degree,standard,completed,91,77,91
female,group C,high school,standard,none,58,56,61
female,group C,some college,standard,none,65,59,69
female,group E,associate's degree,standard,completed,80,85,56
female,group C,high school,free/reduced,none,53,48,46
female,group C,high school,standard,none,64,70,63
male,group D,some college,standard,none,75,87,87
male,group C,some college,standard,none,57,51,67
male,group D,associate's degree,standard,none,73,66,71
female,group C,some college,standard,none,82,77,77
male,group C,some high school,free/reduced,none,52,63,45
male,group C,some college,standard,none,52,41,36
female,group C,high school,free/reduced,none,62,45,52
male,group C,high school,standard,none,63,62,68
female,group C,some high school,standard,none,62,59,77
male,group C,some college,standard,none,66,47,51
female,group C,associate's degree,standard,none,52,56,58
male,group D,associate's degree,standard,none,52,54,64
female,group C,some college,standard,none,68,91,73
female,group C,high school,standard,none,58,63,58
male,group D,associate's degree,standard,none,37,73,57
female,group C,some college,standard,none,72,77,63
female,group C,high school,standard,completed,85,80,87
female,group D,associate's degree,standard,completed,72,76,69
female,group C,some high school,free/reduced,none,35,57,51
female,group E,associate's degree,standard,completed,96,89,80
male,group C,high school,standard,none,65,67,53
male,group D,associate's degree,standard,none,47,64,58
male,group C,high school,standard,none,67,72,73
male,group C,some high school,free/reduced,none,47,71,41
male,group D,some college,standard,none,54,60,58
female,group C,some college,standard,none,80,81,76
female,group C,associate's degree,standard,none,89,83,62
female,group C,high school,standard,none,73,70,69
male,group C,some college,standard,completed,87,88,70
female,group C,high school,free/reduced,none,60,54,58
female,group E,bachelor's degree,standard,completed,85,80,91
female,group C,associate's degree,standard,none,65,58,66
female,group C,high school,free/reduced,none,62,58,54
male,group C,some college,standard,none,54,52,64
male,group C,some college,standard,none,62,65,71
male,group C,some college,standard,none,61,50,40
male,group D,some college,standard,none,54,67,53
male,group D,associate's degree,standard,none,65,63,57
female,group C,associate's degree,standard,none,78,83,77
female,group C,high school,standard,none,73,52,82
male,group D,some college,standard,none,73,73,63
male,group C,some high school,free/reduced,none,54,63,54
female,group C,associate's degree,standard,completed,93,92,97
male,group E,high school,standard,none,84,74,57
female,group C,associate's degree,standard,completed,83,87,71
female,group C,high school,free/reduced,none,77,75,68
female,group C,some college,standard,completed,81,74,94
female,group C,high school,free/reduced,none,31,50,46
female,group C,associate's degree,free/reduced,completed,54,76,81
female,group C,associate's degree,standard,completed,95,83,86
male,group C,high school,standard,none,56,48,55
female,group C,some high school,free/reduced,none,59,68,56
female,group C,high school,standard,none,58,58,63
female,group C,associate's degree,standard,completed,99,95,90
female,group C,some college,standard,none,73,85,79
male,group D,some college,standard,none,72,74,68
male,group C,high school,standard,none,54,50,62
female,group C,some high school,standard,none,56,70,64
male,group C,some college,standard,none,65,67,56
male,group D,associate's degree,standard,none,57,71,72
female,group C,associate's degree,free/reduced,none,55,61,56
male,group D,associate's degree,standard,none,59,70,62
male,group C,high school,standard,none,64,55,64
female,group C,high school,free/reduced,none,56,62,40
male,group C,some college,free/reduced,none,46,76,57
male,group D,some college,standard,none,66,64,75
male,group D,some college,standard,completed,99,100,88
male,group C,high school,standard,none,58,48,40
female,group D,associate's degree,standard,none,91,78,90
male,group D,some college,standard,none,51,76,68
male,group C,high school,standard,none,57,65,59
female,group C,high school,standard,none,89,79,74
