duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,class
19,1981,4,4,48,1,1,<0,existing paid,new car,<100,1<=X<4,male single,none,real estate,none,for free,high qualif/self emp/mgmt,none,yes,good
11,4536,2,4,49,2,1,no checking,critical/other existing credit,new car,500<=X<1000,<1,male single,none,no known property,none,for free,unskilled resident,none,yes,good
19,2858,4,4,28,1,1,<0,existing paid,furniture/equipment,>=1000,>=7,male single,none,car,none,rent,skilled,none,yes,bad
37,1855,4,2,37,2,1,no checking,no credits/all paid,business,100<=X<500,>=7,male single,none,life insurance,none,own,unskilled resident,none,yes,good
33,3057,1,4,45,1,1,no checking,existing paid,used car,100<=X<500,>=7,female div/dep/mar,none,real estate,stores,for free,unskilled resident,none,yes,bad
17,2508,4,2,50,1,1,no checking,existing paid,education,<100,<1,male single,none,real estate,none,own,skilled,yes,yes,good
13,4635,2,2,38,2,1,<0,delayed previously,radio/tv,no known savings,>=7,female div/dep/mar,none,car,stores,own,skilled,none,yes,good
8,3388,3,3,59,2,1,<0,delayed previously,new car,no known savings,>=7,male single,none,life insurance,none,rent,high qualif/self emp/mgmt,yes,yes,good
48,6551,3,2,21,2,1,>=200,critical/other existing credit,furniture/equipment,500<=X<1000,1<=X<4,male single,none,life insurance,stores,rent,high qualif/self emp/mgmt,yes,yes,good
38,5555,4,1,31,1,2,no checking,existing paid,new car,no known savings,4<=X<7,male single,none,car,none,for free,skilled,yes,yes,bad
21,5830,4,4,30,1,2,0<=X<200,critical/other existing credit,domestic appliance,no known savings,4<=X<7,male mar/wid,none,life insurance,stores,for free,unskilled resident,none,yes,bad
16,6105,3,4,31,1,1,>=200,existing paid,radio/tv,<100,unemployed,male single,guarantor,no known property,stores,own,skilled,none,yes,bad
9,2757,2,3,33,2,1,0<=X<200,critical/other existing credit,new car,100<=X<500,>=7,male div/sep,none,car,none,own,skilled,yes,yes,bad
23,3754,3,3,27,1,1,0<=X<200,delayed previously,radio/tv,100<=X<500,<1,female div/dep/mar,none,no known property,none,own,skilled,none,yes,bad
21,5041,3,4,26,2,1,0<=X<200,critical/other existing credit,new car,no known savings,4<=X<7,male single,none,life insurance,none,rent,skilled,none,yes,good
13,899,4,4,21,1,1,<0,no credits/all paid,furniture/equipment,500<=X<1000,<1,male single,none,car,none,rent,skilled,none,yes,good
28,7061,3,4,26,1,2,<0,existing paid,new car,100<=X<500,<1,male single,co applicant,no known property,none,for free,unskilled resident,none,yes,bad
32,6378,4,1,29,2,2,no checking,delayed previously,retraining,no known savings,<1,male single,none,life insurance,stores,for free,skilled,yes,yes,bad
38,5139,4,2,31,2,2,0<=X<200,no credits/all paid,radio/tv,<100,1<=X<4,female div/dep/mar,none,life insurance,none,own,skilled,none,yes,bad
17,1029,4,3,34,2,1,no checking,all paid,furniture/equipment,<100,<1,female div/dep/mar,none,life insurance,none,for free,unemp/unskilled non res,none,yes,good
25,5197,4,4,39,1,2,no checking,all paid,education,<100,<1,male single,none,life insurance,none,for free,skilled,none,yes,good
9,1014,4,3,28,2,1,no checking,no credits/all paid,furniture/equipment,no known savings,4<=X<7,male mar/wid,none,car,none,rent,high qualif/self emp/mgmt,yes,yes,good
35,3683,4,4,47,1,1,no checking,all paid,furniture/equipment,<100,>=7,male single,none,life insurance,none,for free,skilled,yes,yes,good
25,4189,4,2,27,1,1,<0,critical/other existing credit,used car,>=1000,4<=X<7,male single,none,no known property,stores,own,unskilled resident,none,yes,bad
10,576,4,2,43,1,1,no checking,existing paid,business,<100,>=7,female div/dep/mar,none,real estate,stores,own,skilled,none,yes,bad
21,6814,4,1,37,2,1,no checking,no credits/all paid,radio/tv,<100,unemployed,male single,none,car,none,rent,unskilled resident,yes,yes,bad
24,2614,4,1,35,2,2,<0,delayed previously,furniture/equipment,<100,<1,male single,none,life insurance,none,own,unskilled resident,none,yes,bad
40,6416,2,4,30,3,1,<0,critical/other existing credit,domestic appliance,<100,1<=X<4,male div/sep,none,real estate,none,own,high qualif/self emp/mgmt,yes,yes,bad
10,3097,2,4,50,1,1,no checking,existing paid,furniture/equipment,<100,unemployed,male single,none,car,stores,own,skilled,none,yes,good
30,5625,4,2,44,2,2,<0,delayed previously,used car,<100,>=7,male single,none,life insurance,none,own,skilled,yes,yes,good
37,2536,2,2,27,1,1,0<=X<200,existing paid,other,<100,4<=X<7,male div/sep,none,real estate,none,own,skilled,none,yes,bad
9,861,1,4,28,1,2,no checking,all paid,furniture/equipment,<100,4<=X<7,male single,none,real estate,none,rent,skilled,none,yes,good
7,368,1,2,27,2,1,0<=X<200,no credits/all paid,new car,500<=X<1000,1<=X<4,female div/dep/mar,guarantor,life insurance,none,for free,unskilled resident,yes,yes,good
28,3734,4,4,36,3,2,<0,critical/other existing credit,radio/tv,<100,>=7,male single,none,no known property,bank,for free,skilled,yes,yes,bad
19,1932,2,1,33,1,1,no checking,existing paid,radio/tv,100<=X<500,unemployed,female div/dep/mar,none,life insurance,bank,own,skilled,yes,yes,bad
29,6564,2,4,39,1,2,no checking,existing paid,new car,100<=X<500,>=7,male single,co applicant,real estate,none,for free,unemp/unskilled non res,yes,yes,good
22,3411,2,2,21,1,1,no checking,existing paid,repairs,<100,4<=X<7,male mar/wid,none,real estate,none,own,unskilled resident,none,yes,good
29,1096,4,3,33,2,1,no checking,no credits/all paid,business,>=1000,>=7,male single,none,real estate,none,own,unemp/unskilled non res,none,yes,good
10,1168,1,4,31,1,1,<0,existing paid,new car,<100,unemployed,male mar/wid,none,car,stores,rent,skilled,yes,yes,good
30,11561,1,4,28,1,1,<0,existing paid,furniture/equipment,500<=X<1000,1<=X<4,female div/dep/mar,none,life insurance,stores,for free,skilled,none,yes,good
44,5755,4,2,32,1,2,>=200,all paid,radio/tv,<100,4<=X<7,male mar/wid,none,car,none,own,skilled,none,yes,bad
12,605,2,1,24,1,1,0<=X<200,all paid,repairs,<100,4<=X<7,female div/dep/mar,co applicant,no known property,none,own,skilled,yes,yes,good
38,3013,4,2,22,2,1,no checking,no credits/all paid,radio/tv,100<=X<500,<1,female div/dep/mar,none,car,none,own,skilled,yes,yes,bad
11,1082,2,4,36,1,1,0<=X<200,no credits/all paid,repairs,<100,>=7,male single,none,real estate,none,rent,skilled,none,yes,good
20,2503,1,3,49,1,1,>=200,existing paid,new car,100<=X<500,unemployed,male div/sep,none,real estate,none,own,skilled,yes,yes,good
26,10196,3,4,29,2,1,no checking,existing paid,furniture/equipment,no known savings,unemployed,male single,none,car,none,own,unemp/unskilled non res,yes,yes,good
7,885,2,3,28,1,1,<0,existing paid,radio/tv,<100,<1,male mar/wid,guarantor,real estate,bank,own,unemp/unskilled non res,none,yes,bad
17,4806,4,4,24,1,1,no checking,existing paid,radio/tv,<100,4<=X<7,female div/dep/mar,none,life insurance,none,own,skilled,none,yes,bad
11,3089,3,4,51,1,1,<0,existing paid,furniture/equipment,<100,unemployed,male single,none,real estate,none,own,unskilled resident,yes,yes,good
29,995,4,4,47,1,1,<0,all paid,new car,<100,>=7,male single,co applicant,no known property,none,own,skilled,yes,yes,good
21,2052,3,4,25,1,1,0<=X<200,existing paid,new car,<100,<1,male div/sep,none,car,stores,rent,skilled,none,yes,good
14,1774,4,2,34,2,2,0<=X<200,no credits/all paid,repairs,500<=X<1000,unemployed,female div/dep/mar,none,real estate,bank,rent,skilled,yes,yes,bad
30,3307,4,2,46,1,1,no checking,delayed previously,business,<100,unemployed,male single,co applicant,life insurance,none,rent,skilled,none,yes,good
20,4373,4,3,23,1,2,<0,existing paid,new car,>=1000,1<=X<4,male single,none,no known property,none,for free,skilled,none,yes,bad
13,1199,2,2,40,1,1,no checking,existing paid,radio/tv,<100,unemployed,male div/sep,none,real estate,none,for free,skilled,yes,yes,good
23,8617,1,4,22,1,1,no checking,existing paid,business,no known savings,<1,male mar/wid,none,car,none,rent,unskilled resident,none,yes,good
20,4577,3,2,41,2,1,no checking,critical/other existing credit,new car,100<=X<500,>=7,male single,none,life insurance,stores,own,skilled,none,yes,bad
47,8036,2,4,43,2,1,no checking,critical/other existing credit,radio/tv,<100,>=7,male single,none,no known property,none,own,skilled,none,yes,good
11,2185,1,2,41,1,1,>=200,existing paid,new car,<100,<1,female div/dep/mar,none,real estate,none,own,unskilled resident,yes,yes,bad
11,3344,4,3,25,1,1,no checking,existing paid,used car,<100,<1,male single,guarantor,car,none,rent,high qualif/self emp/mgmt,none,yes,bad
55,13424,1,4,35,1,2,<0,existing paid,business,no known savings,1<=X<4,male single,co applicant,no known property,stores,rent,unskilled resident,none,yes,good
17,948,4,4,41,1,1,>=200,existing paid,furniture/equipment,<100,4<=X<7,female div/dep/mar,none,real estate,none,for free,skilled,yes,no,good
11,1319,4,2,26,1,1,0<=X<200,all paid,new car,no known savings,<1,male single,none,life insurance,stores,own,high qualif/self emp/mgmt,yes,yes,good
20,5883,4,1,35,2,2,0<=X<200,critical/other existing credit,furniture/equipment,<100,4<=X<7,male single,none,life insurance,bank,own,skilled,none,no,good
22,2005,4,1,44,2,1,>=200,delayed previously,repairs,<100,unemployed,male mar/wid,none,real estate,none,for free,skilled,none,yes,good
51,6517,1,3,37,1,1,0<=X<200,all paid,used car,no known savings,1<=X<4,male mar/wid,none,no known property,none,own,skilled,none,yes,bad
49,1563,4,1,28,2,1,0<=X<200,no credits/all paid,other,<100,>=7,male div/sep,none,life insurance,bank,own,skilled,yes,yes,bad
8,932,2,4,25,2,1,0<=X<200,no credits/all paid,furniture/equipment,500<=X<1000,<1,male mar/wid,none,real estate,none,own,high qualif/self emp/mgmt,none,yes,good
11,2870,4,4,39,1,1,no checking,existing paid,new car,100<=X<500,4<=X<7,male single,none,no known property,none,for free,high qualif/self emp/mgmt,none,yes,good
45,6915,4,2,52,1,1,<0,delayed previously,new car,<100,<1,male single,none,real estate,none,own,skilled,none,yes,good
11,1397,4,4,24,1,1,0<=X<200,critical/other existing credit,radio/tv,>=1000,4<=X<7,male single,none,life insurance,none,rent,skilled,none,yes,bad
8,872,1,4,30,1,1,no checking,existing paid,new car,<100,unemployed,female div/dep/mar,none,real estate,bank,rent,unemp/unskilled non res,none,yes,good
36,6403,2,4,54,1,1,0<=X<200,existing paid,furniture/equipment,<100,unemployed,male single,none,no known property,none,for free,skilled,yes,yes,bad
24,2446,2,2,39,1,1,no checking,existing paid,radio/tv,100<=X<500,1<=X<4,male mar/wid,none,real estate,none,own,skilled,yes,yes,good
6,874,4,4,61,2,1,0<=X<200,no credits/all paid,furniture/equipment,<100,>=7,male mar/wid,none,no known property,stores,for free,skilled,yes,yes,good
16,5322,2,4,48,2,1,0<=X<200,critical/other existing credit,domestic appliance,no known savings,unemployed,male single,none,no known property,none,for free,skilled,none,yes,good
31,3986,2,4,29,1,1,0<=X<200,existing paid,other,>=1000,1<=X<4,male div/sep,none,car,none,rent,skilled,yes,yes,bad
17,2751,4,2,21,1,1,0<=X<200,existing paid,furniture/equipment,no known savings,1<=X<4,male div/sep,none,no known property,none,for free,skilled,yes,yes,good
20,6674,4,4,63,1,1,0<=X<200,all paid,radio/tv,<100,4<=X<7,male single,none,no known property,none,for free,skilled,yes,yes,bad
37,9276,3,4,36,2,1,<0,delayed previously,used car,<100,1<=X<4,male single,none,no known property,stores,for free,unskilled resident,none,yes,good
41,2699,2,4,31,1,1,<0,existing paid,radio/tv,100<=X<500,1<=X<4,male div/sep,none,real estate,none,for free,skilled,yes,yes,bad
20,4919,2,2,30,1,1,<0,existing paid,other,<100,<1,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,bad
15,6010,2,1,73,1,2,>=200,existing paid,new car,500<=X<1000,4<=X<7,male single,none,real estate,none,own,unskilled resident,none,yes,good
31,2534,3,4,24,1,1,no checking,all paid,used car,<100,4<=X<7,female div/dep/mar,co applicant,car,none,rent,skilled,yes,yes,bad
22,2952,1,4,42,1,1,>=200,existing paid,furniture/equipment,<100,unemployed,female div/dep/mar,co applicant,real estate,none,rent,skilled,none,yes,bad
54,11196,4,4,20,1,1,0<=X<200,existing paid,radio/tv,<100,1<=X<4,male single,guarantor,car,none,for free,skilled,yes,yes,bad
25,8846,1,4,26,1,1,no checking,no credits/all paid,radio/tv,100<=X<500,>=7,male mar/wid,none,car,none,rent,skilled,yes,yes,bad
14,2213,2,2,43,1,2,>=200,existing paid,furniture/equipment,100<=X<500,1<=X<4,male single,none,real estate,bank,own,high qualif/self emp/mgmt,none,no,good
11,1776,4,4,30,1,2,<0,all paid,retraining,no known savings,4<=X<7,male single,none,no known property,none,for free,high qualif/self emp/mgmt,none,yes,good
10,1776,1,4,66,1,1,0<=X<200,existing paid,radio/tv,<100,unemployed,male single,none,life insurance,none,own,skilled,yes,yes,good
12,4332,3,1,43,2,1,>=200,existing paid,new car,no known savings,1<=X<4,male mar/wid,none,real estate,none,own,skilled,yes,yes,bad
30,1999,4,4,28,1,1,no checking,existing paid,used car,<100,<1,female div/dep/mar,none,no known property,none,for free,skilled,none,yes,bad
19,2851,4,3,29,1,1,0<=X<200,existing paid,radio/tv,<100,<1,male single,none,life insurance,bank,own,unemp/unskilled non res,yes,yes,good
21,1702,4,4,40,2,1,>=200,existing paid,furniture/equipment,100<=X<500,1<=X<4,male single,none,real estate,none,own,unskilled resident,none,yes,good
38,4114,4,2,41,1,1,no checking,existing paid,used car,<100,unemployed,male single,none,car,none,own,skilled,yes,yes,good
14,3137,2,4,39,1,1,<0,all paid,new car,no known savings,1<=X<4,female div/dep/mar,none,life insurance,none,own,skilled,none,yes,good
28,4618,4,1,41,1,1,0<=X<200,existing paid,radio/tv,<100,1<=X<4,male single,co applicant,real estate,bank,own,skilled,none,yes,bad
33,1309,1,2,28,3,1,no checking,no credits/all paid,new car,100<=X<500,1<=X<4,female div/dep/mar,co applicant,real estate,none,own,unskilled resident,none,yes,bad
34,3665,4,2,27,1,1,0<=X<200,existing paid,radio/tv,<100,<1,male single,none,no known property,none,rent,unskilled resident,none,yes,bad
21,3527,3,4,26,1,1,no checking,all paid,furniture/equipment,<100,4<=X<7,female div/dep/mar,none,life insurance,none,rent,skilled,yes,yes,bad
11,2517,3,3,53,2,1,>=200,no credits/all paid,retraining,100<=X<500,unemployed,male single,none,life insurance,none,own,skilled,none,yes,bad
37,6683,1,3,27,1,2,0<=X<200,existing paid,radio/tv,500<=X<1000,4<=X<7,male div/sep,none,real estate,none,for free,skilled,none,yes,bad
17,4439,2,2,25,2,1,<0,no credits/all paid,business,<100,1<=X<4,male mar/wid,none,car,none,own,high qualif/self emp/mgmt,yes,yes,good
9,1155,4,2,26,1,2,no checking,existing paid,radio/tv,<100,>=7,male single,none,car,bank,rent,high qualif/self emp/mgmt,none,yes,bad
8,1975,2,3,37,2,1,no checking,existing paid,domestic appliance,100<=X<500,>=7,male single,none,car,none,own,skilled,yes,yes,good
10,739,3,4,37,2,1,<0,no credits/all paid,radio/tv,no known savings,>=7,male mar/wid,none,real estate,none,for free,unskilled resident,yes,yes,good
15,990,4,1,23,1,1,no checking,existing paid,new car,100<=X<500,<1,male mar/wid,guarantor,real estate,none,rent,high qualif/self emp/mgmt,none,yes,bad
6,1750,4,2,36,3,1,<0,critical/other existing credit,business,<100,>=7,male single,guarantor,real estate,none,rent,skilled,none,no,good
41,15326,4,4,52,2,1,no checking,critical/other existing credit,education,no known savings,unemployed,male single,none,no known property,stores,for free,skilled,yes,yes,good
30,7745,4,4,37,2,1,0<=X<200,critical/other existing credit,furniture/equipment,100<=X<500,4<=X<7,male single,guarantor,life insurance,none,rent,skilled,none,yes,good
16,1426,1,2,27,2,1,no checking,delayed previously,radio/tv,<100,1<=X<4,male div/sep,none,real estate,none,for free,skilled,yes,yes,bad
24,2895,1,2,53,2,1,no checking,critical/other existing credit,new car,<100,unemployed,female div/dep/mar,none,car,bank,for free,skilled,yes,yes,good
12,480,1,4,37,2,1,>=200,no credits/all paid,radio/tv,no known savings,>=7,male single,none,life insurance,none,rent,high qualif/self emp/mgmt,none,yes,good
26,3095,4,3,32,1,2,no checking,existing paid,new car,500<=X<1000,4<=X<7,male single,none,no known property,none,for free,unemp/unskilled non res,none,yes,bad
35,1980,4,4,24,1,1,0<=X<200,existing paid,new car,500<=X<1000,4<=X<7,male single,none,car,none,rent,skilled,none,yes,bad
25,1220,2,2,33,1,1,0<=X<200,all paid,furniture/equipment,>=1000,unemployed,male mar/wid,co applicant,life insurance,stores,own,skilled,yes,no,bad
21,1900,1,1,52,1,2,>=200,existing paid,furniture/equipment,>=1000,<1,male single,none,life insurance,none,own,skilled,yes,yes,bad
24,2708,3,1,24,1,1,0<=X<200,existing paid,domestic appliance,<100,<1,female div/dep/mar,none,real estate,none,own,skilled,yes,yes,bad
11,1581,1,4,27,2,1,0<=X<200,critical/other existing credit,furniture/equipment,100<=X<500,4<=X<7,female div/dep/mar,none,car,none,rent,skilled,yes,no,good
34,2647,3,2,36,1,1,no checking,existing paid,new car,100<=X<500,4<=X<7,male single,none,no known property,none,own,skilled,yes,no,good
42,7575,3,3,30,2,1,no checking,no credits/all paid,furniture/equipment,<100,4<=X<7,male single,none,life insurance,none,rent,unskilled resident,none,yes,bad
34,4163,4,2,20,2,1,no checking,no credits/all paid,new car,no known savings,<1,male single,none,car,none,rent,high qualif/self emp/mgmt,yes,yes,bad
21,4732,2,2,25,2,2,no checking,no credits/all paid,new car,500<=X<1000,1<=X<4,male single,none,car,none,own,skilled,yes,yes,bad
26,3655,4,4,34,1,1,0<=X<200,existing paid,business,<100,4<=X<7,male single,none,car,none,rent,skilled,yes,yes,bad
51,1682,4,4,30,2,1,>=200,existing paid,new car,<100,>=7,male single,none,life insurance,none,own,skilled,none,yes,good
12,428,4,4,37,1,1,no checking,existing paid,furniture/equipment,100<=X<500,>=7,male div/sep,none,life insurance,none,rent,skilled,none,no,good
20,594,1,4,30,1,1,<0,all paid,furniture/equipment,<100,>=7,female div/dep/mar,co applicant,real estate,stores,rent,skilled,yes,no,good
23,1839,4,4,24,2,1,no checking,delayed previously,domestic appliance,<100,<1,male div/sep,none,life insurance,none,own,skilled,yes,yes,bad
11,1500,3,4,45,1,1,no checking,all paid,retraining,<100,1<=X<4,male single,guarantor,car,none,own,skilled,yes,yes,good
17,1929,4,3,26,1,2,no checking,existing paid,used car,<100,<1,male single,none,life insurance,bank,for free,skilled,none,yes,bad
18,1672,2,4,33,1,1,0<=X<200,existing paid,education,<100,unemployed,male div/sep,none,car,none,own,skilled,yes,yes,good
45,2866,4,3,20,1,1,no checking,existing paid,furniture/equipment,>=1000,1<=X<4,male single,none,life insurance,bank,own,skilled,yes,yes,bad
8,408,4,2,30,1,2,no checking,all paid,retraining,<100,1<=X<4,male single,none,real estate,bank,own,skilled,none,yes,bad
38,2964,4,3,21,1,1,0<=X<200,existing paid,furniture/equipment,500<=X<1000,1<=X<4,female div/dep/mar,none,no known property,none,own,skilled,none,yes,bad
30,6778,4,2,23,1,1,>=200,existing paid,repairs,no known savings,4<=X<7,male single,none,life insurance,none,own,skilled,none,yes,bad
14,5331,2,3,24,1,2,no checking,all paid,radio/tv,<100,unemployed,male single,none,life insurance,none,rent,skilled,yes,yes,bad
29,5233,4,2,31,1,1,<0,existing paid,new car,>=1000,4<=X<7,male single,none,no known property,none,own,skilled,yes,yes,bad
9,541,4,4,26,1,1,<0,existing paid,new car,<100,4<=X<7,male div/sep,none,real estate,none,rent,unskilled resident,yes,yes,good
15,1664,3,2,32,2,1,no checking,critical/other existing credit,retraining,500<=X<1000,1<=X<4,female div/dep/mar,none,life insurance,none,own,skilled,none,yes,good
35,3127,2,3,46,1,1,no checking,existing paid,education,<100,>=7,male single,none,life insurance,none,own,skilled,none,yes,bad
42,4401,3,4,22,2,1,no checking,no credits/all paid,repairs,>=1000,1<=X<4,male single,none,no known property,none,rent,skilled,yes,yes,bad
26,1333,4,3,26,3,1,>=200,critical/other existing credit,furniture/equipment,100<=X<500,>=7,male single,none,car,none,own,skilled,none,yes,good
10,2657,4,1,49,1,2,<0,existing paid,new car,<100,>=7,male mar/wid,none,life insurance,stores,own,high qualif/self emp/mgmt,yes,yes,good
19,2632,4,1,35,2,2,0<=X<200,critical/other existing credit,radio/tv,<100,<1,male single,guarantor,life insurance,none,own,high qualif/self emp/mgmt,none,yes,good
14,3770,3,1,28,2,1,>=200,delayed previously,used car,100<=X<500,4<=X<7,male div/sep,none,life insurance,none,own,unskilled resident,none,yes,good
21,1905,2,2,33,1,1,0<=X<200,delayed previously,other,<100,<1,female div/dep/mar,none,real estate,none,own,skilled,yes,yes,good
15,566,1,3,31,1,1,<0,existing paid,furniture/equipment,100<=X<500,4<=X<7,male single,none,real estate,stores,own,high qualif/self emp/mgmt,none,no,bad
10,2966,4,2,32,1,2,<0,all paid,furniture/equipment,500<=X<1000,1<=X<4,male single,none,life insurance,none,own,skilled,none,yes,bad
11,3963,3,3,32,2,1,<0,critical/other existing credit,radio/tv,500<=X<1000,<1,male single,none,car,bank,own,high qualif/self emp/mgmt,none,yes,bad
18,3054,4,3,29,2,1,no checking,no credits/all paid,used car,<100,<1,female div/dep/mar,none,life insurance,none,own,skilled,yes,yes,bad
16,4725,4,2,30,2,1,0<=X<200,critical/other existing credit,business,<100,<1,female div/dep/mar,none,life insurance,none,own,unskilled resident,yes,yes,good
23,3555,4,1,38,1,1,0<=X<200,existing paid,used car,>=1000,4<=X<7,male single,none,car,none,own,skilled,none,yes,bad
16,2830,4,3,26,1,1,0<=X<200,existing paid,furniture/equipment,<100,<1,male single,co applicant,life insurance,bank,rent,high qualif/self emp/mgmt,none,yes,bad
9,740,2,3,30,1,1,>=200,existing paid,radio/tv,100<=X<500,<1,male single,none,real estate,bank,rent,skilled,none,yes,good
15,942,4,3,26,2,2,no checking,critical/other existing credit,furniture/equipment,<100,1<=X<4,male single,none,no known property,none,own,skilled,yes,no,bad
44,6222,1,1,28,1,1,0<=X<200,all paid,retraining,<100,unemployed,female div/dep/mar,none,car,stores,own,unskilled resident,none,yes,bad
15,3414,2,4,71,2,1,>=200,no credits/all paid,new car,>=1000,1<=X<4,male single,none,life insurance,none,own,unskilled resident,none,no,bad
26,3522,4,4,24,2,1,no checking,no credits/all paid,used car,<100,1<=X<4,male single,none,car,none,rent,skilled,yes,yes,good
17,2343,3,4,69,2,1,>=200,no credits/all paid,new car,500<=X<1000,>=7,male single,none,real estate,none,own,unskilled resident,none,yes,good
16,1116,4,4,26,2,1,<0,critical/other existing credit,radio/tv,>=1000,4<=X<7,male single,co applicant,car,none,rent,skilled,yes,yes,bad
28,2116,4,2,44,1,1,>=200,all paid,furniture/equipment,no known savings,<1,male single,none,life insurance,stores,own,skilled,yes,yes,bad
42,4671,2,2,39,2,1,no checking,critical/other existing credit,used car,no known savings,<1,male mar/wid,none,real estate,none,own,skilled,yes,yes,good
31,3427,2,2,36,2,2,<0,delayed previously,business,>=1000,1<=X<4,male single,none,car,none,rent,high qualif/self emp/mgmt,none,yes,good
17,8520,4,4,63,1,1,no checking,existing paid,furniture/equipment,no known savings,unemployed,male single,none,no known property,none,for free,skilled,yes,yes,good
42,9387,2,3,41,2,1,no checking,delayed previously,furniture/equipment,500<=X<1000,<1,male single,none,car,none,rent,skilled,yes,yes,bad
43,10125,2,4,27,2,1,<0,delayed previously,new car,<100,unemployed,male mar/wid,co applicant,no known property,none,own,skilled,yes,no,good
20,1429,4,4,49,1,1,>=200,existing paid,business,<100,>=7,female div/dep/mar,none,life insurance,none,for free,skilled,none,yes,good
20,4190,4,4,31,1,1,no checking,existing paid,used car,500<=X<1000,4<=X<7,male single,none,life insurance,none,rent,high qualif/self emp/mgmt,none,yes,bad
18,2017,2,4,42,1,1,<0,existing paid,furniture/equipment,100<=X<500,>=7,female div/dep/mar,none,real estate,none,for free,unskilled resident,none,yes,good
13,2764,3,1,40,1,2,>=200,all paid,radio/tv,500<=X<1000,>=7,male single,none,car,none,own,skilled,none,yes,bad
