checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0<=X<200,36,critical/other existing credit,new car,19436,no known savings,1<=X<4,4,male mar/wid,none,2,life insurance,66,stores,own,2,unskilled resident,2,yes,yes,bad
<0,46,existing paid,used car,2800,<100,>=7,3,female div/dep/mar,none,2,no known property,34,none,own,1,skilled,1,none,yes,good
no checking,24,existing paid,furniture/equipment,4792,<100,unemployed,2,female div/dep/mar,none,0,life insurance,36,none,own,1,unemp/unskilled non res,1,none,yes,good
no checking,23,delayed previously,education,10014,100<=X<500,4<=X<7,3,male mar/wid,none,2,car,54,none,own,2,skilled,1,none,yes,good
no checking,-1,critical/other existing credit,furniture/equipment,3640,100<=X<500,>=7,2,female div/dep/mar,guarantor,4,car,71,none,own,1,skilled,1,none,yes,good
<0,31,critical/other existing credit,business,5217,<100,>=7,4,male single,none,3,life insurance,34,bank,own,2,skilled,1,none,yes,good
0<=X<200,-1,critical/other existing credit,business,5966,no known savings,unemployed,2,male single,none,2,life insurance,33,none,own,2,skilled,1,none,no,good
<0,9,critical/other existing credit,used car,3150,<100,1<=X<4,0,female div/dep/mar,none,4,no known property,57,none,own,1,skilled,1,yes,yes,bad
>=200,17,no credits/all paid,new car,18563,<100,>=7,1,male single,none,4,car,33,none,own,1,skilled,1,yes,yes,bad
no checking,7,critical/other existing credit,business,2834,no known savings,>=7,1,female div/dep/mar,none,1,car,36,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad
0<=X<200,12,existing paid,furniture/equipment,2463,<100,<1,4,male single,co applicant,4,real estate,56,none,own,1,skilled,1,none,yes,good
no checking,25,existing paid,used car,21262,no known savings,>=7,3,male single,none,1,life insurance,35,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
<0,16,critical/other existing credit,radio/tv,9956,<100,>=7,4,male single,none,2,car,28,none,own,2,skilled,2,none,yes,good
no checking,0,existing paid,radio/tv,16709,no known savings,>=7,3,male single,none,3,life insurance,28,none,own,1,high qualif/self emp/mgmt,2,yes,yes,good
>=200,31,existing paid,radio/tv,2847,<100,1<=X<4,1,male single,none,1,car,60,none,rent,1,skilled,2,none,yes,bad
<0,22,existing paid,new car,1937,<100,unemployed,3,female div/dep/mar,none,3,car,52,bank,for free,1,unskilled resident,1,none,yes,good
<0,3,critical/other existing credit,new car,2891,100<=X<500,unemployed,1,male single,guarantor,4,car,37,none,own,2,high qualif/self emp/mgmt,1,none,yes,good
<0,13,existing paid,new car,5662,<100,unemployed,2,male single,none,4,no known property,26,none,own,2,unskilled resident,1,yes,yes,good
0<=X<200,20,existing paid,business,7826,<100,1<=X<4,3,male single,none,4,no known property,25,none,own,1,skilled,1,yes,yes,good
no checking,3,critical/other existing credit,business,16175,<100,>=7,4,male mar/wid,none,4,real estate,32,none,own,2,skilled,1,yes,yes,good
<0,13,existing paid,used car,6047,no known savings,>=7,4,female div/dep/mar,guarantor,1,life insurance,38,bank,own,1,skilled,1,none,yes,bad
<0,9,all paid,furniture/equipment,9632,>=1000,1<=X<4,4,female div/dep/mar,none,2,real estate,72,none,rent,1,skilled,1,yes,yes,good
<0,6,existing paid,radio/tv,5367,<100,>=7,3,male mar/wid,co applicant,3,life insurance,40,none,rent,1,unemp/unskilled non res,2,yes,yes,bad
no checking,21,existing paid,radio/tv,20695,<100,1<=X<4,3,male single,none,2,life insurance,34,none,own,1,high qualif/self emp/mgmt,2,none,yes,good
no checking,5,existing paid,repairs,4607,no known savings,4<=X<7,3,female div/dep/mar,none,4,car,29,none,own,1,unskilled resident,1,yes,yes,good
no checking,10,critical/other existing credit,retraining,5291,no known savings,>=7,4,male single,none,2,life insurance,50,none,own,1,unskilled resident,1,none,yes,bad
<0,4,critical/other existing credit,radio/tv,12748,<100,<1,1,male single,none,4,car,25,stores,own,2,unskilled resident,1,none,yes,bad
<0,6,existing paid,repairs,3324,100<=X<500,unemployed,1,male single,none,3,no known property,80,none,own,1,skilled,1,yes,yes,good
<0,-1,all paid,radio/tv,5544,no known savings,1<=X<4,3,male single,none,4,life insurance,30,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
<0,12,existing paid,radio/tv,19036,100<=X<500,1<=X<4,4,male div/sep,none,3,real estate,59,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
<0,19,existing paid,used car,19450,<100,1<=X<4,1,male single,none,3,car,40,none,own,2,unskilled resident,2,yes,yes,bad
<0,19,critical/other existing credit,other,11784,<100,>=7,3,male single,none,4,life insurance,60,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
0<=X<200,9,no credits/all paid,radio/tv,3339,<100,unemployed,4,female div/dep/mar,none,2,car,22,none,own,1,unskilled resident,1,none,yes,good
<0,5,critical/other existing credit,radio/tv,11190,<100,4<=X<7,2,male single,none,2,life insurance,28,none,own,1,skilled,2,none,yes,good
no checking,22,all paid,radio/tv,4220,<100,1<=X<4,4,male div/sep,none,2,car,36,none,own,1,skilled,1,yes,yes,good
<0,2,existing paid,business,8217,<100,>=7,4,female div/dep/mar,none,2,car,30,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
<0,2,existing paid,education,10710,<100,4<=X<7,4,female div/dep/mar,none,2,car,65,bank,own,1,high qualif/self emp/mgmt,1,none,yes,good
<0,19,critical/other existing credit,furniture/equipment,4961,<100,>=7,2,male single,none,4,real estate,44,none,rent,2,skilled,1,none,yes,good
no checking,4,existing paid,education,2565,<100,1<=X<4,2,female div/dep/mar,none,4,no known property,44,none,rent,1,skilled,1,yes,yes,good
no checking,1,no credits/all paid,new car,6495,<100,4<=X<7,4,female div/dep/mar,none,2,car,35,bank,own,2,skilled,1,yes,yes,bad
<0,6,existing paid,new car,21458,500<=X<1000,4<=X<7,4,male single,none,4,no known property,37,bank,rent,1,skilled,1,none,yes,good
no checking,23,existing paid,furniture/equipment,9760,100<=X<500,>=7,4,male single,none,4,car,80,none,for free,1,high qualif/self emp/mgmt,1,none,yes,good
0<=X<200,16,critical/other existing credit,furniture/equipment,1307,<100,1<=X<4,3,male single,none,2,car,35,none,own,1,skilled,1,yes,yes,good
<0,4,existing paid,furniture/equipment,4551,<100,1<=X<4,3,male single,none,2,life insurance,30,none,own,1,skilled,1,yes,yes,bad
>=200,28,existing paid,new car,8177,500<=X<1000,1<=X<4,3,female div/dep/mar,none,2,car,31,stores,own,1,skilled,2,none,yes,bad
<0,7,existing paid,used car,20767,<100,>=7,1,female div/dep/mar,none,2,no known property,32,none,own,1,skilled,2,none,yes,good
0<=X<200,1,existing paid,education,12677,100<=X<500,<1,3,female div/dep/mar,guarantor,4,real estate,54,none,own,2,skilled,1,yes,no,good
<0,26,no credits/all paid,new car,10830,<100,<1,4,male div/sep,none,3,car,31,none,own,1,skilled,1,yes,yes,good
<0,9,existing paid,new car,2736,<100,<1,3,female div/dep/mar,none,2,real estate,66,none,own,1,skilled,2,none,yes,good
>=200,20,critical/other existing credit,retraining,5838,<100,>=7,4,male mar/wid,none,2,car,53,none,own,1,skilled,2,none,yes,good
<0,14,existing paid,radio/tv,6112,<100,1<=X<4,4,male single,none,3,real estate,28,none,rent,2,unskilled resident,1,yes,yes,good
no checking,18,existing paid,new car,6196,<100,>=7,4,female div/dep/mar,none,4,real estate,65,none,own,2,skilled,2,none,yes,good
<0,9,critical/other existing credit,education,11173,100<=X<500,1<=X<4,2,male single,none,0,real estate,51,none,rent,2,skilled,1,yes,no,good
no checking,6,existing paid,radio/tv,908,no known savings,4<=X<7,3,male single,co applicant,2,car,32,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,bad
<0,9,existing paid,new car,11116,no known savings,1<=X<4,4,male div/sep,none,4,real estate,51,bank,for free,1,unskilled resident,1,yes,yes,good
<0,22,critical/other existing credit,furniture/equipment,5974,<100,>=7,3,male single,none,1,life insurance,24,none,own,2,unemp/unskilled non res,1,yes,yes,good
0<=X<200,33,all paid,new car,2860,100<=X<500,<1,4,male single,none,2,car,39,none,own,2,skilled,1,yes,yes,good
<0,-1,existing paid,repairs,2717,<100,1<=X<4,4,male single,none,4,life insurance,57,none,own,1,skilled,1,yes,yes,good
no checking,2,critical/other existing credit,new car,10777,500<=X<1000,1<=X<4,4,male single,none,2,no known property,79,none,own,2,skilled,2,none,yes,good
<0,6,existing paid,radio/tv,11955,<100,unemployed,3,male single,guarantor,2,real estate,39,bank,rent,2,skilled,1,none,yes,good
no checking,2,existing paid,education,2973,<100,>=7,0,male single,none,4,life insurance,57,none,own,2,skilled,2,none,yes,bad
0<=X<200,31,critical/other existing credit,business,10991,<100,<1,4,male single,none,4,car,21,bank,own,1,skilled,1,none,yes,good
<0,0,all paid,domestic appliance,3180,<100,>=7,2,male mar/wid,none,3,life insurance,36,none,own,2,skilled,1,none,yes,bad
<0,4,critical/other existing credit,business,16162,100<=X<500,>=7,3,female div/dep/mar,none,2,life insurance,61,none,own,1,skilled,2,yes,yes,bad
0<=X<200,-2,no credits/all paid,furniture/equipment,7827,<100,1<=X<4,3,female div/dep/mar,none,4,car,34,none,for free,2,high qualif/self emp/mgmt,1,none,yes,good
0<=X<200,23,existing paid,used car,7970,>=1000,unemployed,4,male single,none,2,no known property,36,none,own,1,skilled,1,none,yes,good
0<=X<200,-2,all paid,furniture/equipment,5523,<100,1<=X<4,0,male single,co applicant,2,car,30,none,own,1,unskilled resident,1,none,yes,good
no checking,7,existing paid,used car,3298,<100,1<=X<4,3,male single,none,2,no known property,43,none,rent,1,high qualif/self emp/mgmt,2,yes,yes,good
no checking,13,critical/other existing credit,radio/tv,4856,<100,>=7,4,male div/sep,none,2,car,47,none,for free,1,skilled,1,none,yes,bad
no checking,5,existing paid,furniture/equipment,2439,<100,>=7,3,male single,none,2,car,39,bank,for free,1,skilled,2,yes,yes,good
0<=X<200,4,existing paid,furniture/equipment,14707,500<=X<1000,unemployed,3,male single,none,2,life insurance,69,none,own,2,high qualif/self emp/mgmt,1,none,yes,good
0<=X<200,34,existing paid,furniture/equipment,9069,100<=X<500,1<=X<4,4,male single,none,4,real estate,43,bank,own,1,skilled,1,none,yes,bad
0<=X<200,2,existing paid,new car,6506,<100,1<=X<4,4,male single,none,0,real estate,50,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
0<=X<200,31,existing paid,radio/tv,2451,100<=X<500,unemployed,1,female div/dep/mar,none,4,car,42,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,11,critical/other existing credit,furniture/equipment,3248,<100,4<=X<7,3,male single,none,2,car,37,none,for free,1,unskilled resident,2,none,yes,bad
no checking,4,existing paid,furniture/equipment,2113,100<=X<500,>=7,4,female div/dep/mar,none,1,car,29,none,own,1,skilled,2,none,yes,good
0<=X<200,4,existing paid,radio/tv,9636,<100,>=7,3,male single,none,2,car,56,none,rent,1,unskilled resident,1,none,yes,good
<0,34,existing paid,used car,4555,<100,1<=X<4,4,female div/dep/mar,none,4,real estate,68,stores,rent,2,skilled,1,none,yes,bad
>=200,18,existing paid,radio/tv,3454,<100,>=7,1,female div/dep/mar,co applicant,2,life insurance,38,none,rent,2,skilled,1,none,yes,bad
0<=X<200,8,critical/other existing credit,furniture/equipment,2725,<100,4<=X<7,4,male single,guarantor,3,no known property,38,none,for free,1,high qualif/self emp/mgmt,1,none,yes,good
<0,9,critical/other existing credit,radio/tv,7132,no known savings,4<=X<7,4,female div/dep/mar,none,2,car,30,stores,own,2,skilled,1,yes,yes,bad
0<=X<200,10,existing paid,new car,3439,<100,4<=X<7,3,female div/dep/mar,none,1,car,24,none,own,1,unskilled resident,1,yes,yes,good
<0,4,existing paid,radio/tv,5188,no known savings,>=7,4,male single,none,1,car,56,none,rent,1,skilled,1,none,yes,good
no checking,-2,critical/other existing credit,furniture/equipment,10112,>=1000,>=7,3,female div/dep/mar,co applicant,4,life insurance,31,none,own,2,skilled,1,none,yes,good
no checking,7,delayed previously,new car,2172,<100,1<=X<4,2,female div/dep/mar,none,4,real estate,33,none,own,3,skilled,1,yes,yes,bad
no checking,7,existing paid,new car,19415,<100,>=7,2,male single,guarantor,4,real estate,55,stores,own,1,skilled,2,none,yes,bad
<0,4,critical/other existing credit,furniture/equipment,2914,<100,unemployed,4,male single,none,2,real estate,77,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
<0,6,critical/other existing credit,business,6140,no known savings,4<=X<7,3,female div/dep/mar,none,2,car,54,none,own,2,skilled,1,yes,yes,good
0<=X<200,4,existing paid,new car,3213,no known savings,>=7,4,female div/dep/mar,none,2,life insurance,40,none,rent,2,skilled,1,none,yes,good
0<=X<200,33,existing paid,new car,6646,500<=X<1000,<1,3,male single,none,3,car,29,none,own,2,skilled,1,none,yes,bad
no checking,13,critical/other existing credit,new car,3004,>=1000,<1,3,male mar/wid,none,2,car,32,none,own,2,skilled,1,yes,yes,good
<0,8,critical/other existing credit,business,3979,<100,unemployed,4,female div/dep/mar,none,4,no known property,36,none,own,1,skilled,1,none,yes,bad
no checking,9,critical/other existing credit,new car,3083,<100,<1,4,female div/dep/mar,none,1,no known property,75,bank,rent,2,skilled,1,none,yes,bad
<0,25,delayed previously,business,1920,no known savings,>=7,1,female div/dep/mar,none,4,car,35,none,own,1,skilled,1,none,yes,good
0<=X<200,5,existing paid,repairs,12169,<100,unemployed,1,male mar/wid,none,2,life insurance,27,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
no checking,13,critical/other existing credit,business,2101,no known savings,4<=X<7,4,female div/dep/mar,none,0,life insurance,29,bank,own,2,skilled,2,yes,yes,bad
0<=X<200,16,existing paid,radio/tv,13232,<100,1<=X<4,4,male mar/wid,none,2,real estate,47,none,for free,2,skilled,1,none,yes,bad
0<=X<200,17,delayed previously,used car,1097,no known savings,4<=X<7,3,female div/dep/mar,none,3,car,41,none,own,2,skilled,1,yes,no,good
no checking,20,no credits/all paid,other,6726,500<=X<1000,1<=X<4,4,female div/dep/mar,none,4,life insurance,26,none,own,1,skilled,1,none,yes,good
<0,1,existing paid,radio/tv,8601,500<=X<1000,4<=X<7,1,male single,none,4,life insurance,35,none,own,1,skilled,1,none,yes,good
<0,28,all paid,furniture/equipment,5381,<100,4<=X<7,4,male single,none,4,life insurance,48,none,own,2,skilled,1,yes,yes,good
no checking,29,existing paid,radio/tv,1918,no known savings,1<=X<4,1,male single,none,2,car,34,none,own,2,unskilled resident,1,yes,yes,good
no checking,-2,existing paid,used car,2976,no known savings,>=7,3,male single,none,4,real estate,25,none,own,1,skilled,1,none,yes,good
>=200,14,existing paid,new car,22785,<100,1<=X<4,1,male mar/wid,none,2,life insurance,87,bank,rent,2,unskilled resident,2,none,yes,good
no checking,10,existing paid,radio/tv,18411,<100,>=7,4,male div/sep,none,2,car,74,none,for free,1,high qualif/self emp/mgmt,1,none,yes,good
>=200,4,existing paid,education,18689,<100,1<=X<4,3,male single,none,4,real estate,53,none,own,1,high qualif/self emp/mgmt,2,none,yes,good
0<=X<200,0,existing paid,radio/tv,14797,<100,>=7,3,male mar/wid,none,2,life insurance,63,none,rent,2,unskilled resident,1,none,yes,bad
<0,9,existing paid,furniture/equipment,3001,<100,4<=X<7,3,male single,none,4,real estate,35,none,for free,1,skilled,1,yes,yes,bad
0<=X<200,5,existing paid,furniture/equipment,17603,<100,4<=X<7,4,male single,co applicant,2,no known property,49,none,for free,2,skilled,1,yes,yes,good
<0,21,critical/other existing credit,radio/tv,14891,no known savings,>=7,4,female div/dep/mar,co applicant,3,real estate,83,none,for free,1,skilled,1,none,yes,good
no checking,28,existing paid,used car,12236,<100,>=7,4,male single,none,4,no known property,57,none,own,2,skilled,1,none,yes,good
no checking,28,existing paid,furniture/equipment,10419,<100,1<=X<4,3,male single,none,2,real estate,33,none,own,2,skilled,1,none,yes,good
<0,27,existing paid,business,8589,<100,>=7,3,male single,none,2,no known property,45,bank,own,1,high qualif/self emp/mgmt,1,none,no,good
no checking,4,critical/other existing credit,new car,9307,<100,>=7,1,male single,guarantor,2,real estate,31,none,own,2,skilled,1,none,yes,good
no checking,8,existing paid,new car,10923,<100,>=7,4,male single,none,3,real estate,41,none,own,2,unskilled resident,1,none,yes,good
no checking,-1,no credits/all paid,retraining,2541,<100,<1,1,male single,none,2,real estate,59,none,for free,2,skilled,1,yes,yes,good
0<=X<200,21,existing paid,new car,4246,<100,4<=X<7,3,male mar/wid,none,4,life insurance,34,bank,own,2,skilled,1,yes,yes,good
0<=X<200,20,critical/other existing credit,new car,20628,<100,4<=X<7,1,female div/dep/mar,none,2,car,32,none,own,2,skilled,1,yes,yes,good
>=200,6,existing paid,new car,20838,<100,>=7,3,female div/dep/mar,none,2,car,29,none,own,2,skilled,1,none,yes,good
<0,0,delayed previously,furniture/equipment,1863,<100,>=7,3,female div/dep/mar,none,1,real estate,34,stores,for free,2,high qualif/self emp/mgmt,1,yes,yes,good
<0,7,delayed previously,new car,19078,500<=X<1000,4<=X<7,3,male single,guarantor,2,car,43,none,own,1,unskilled resident,1,yes,yes,good
no checking,3,existing paid,radio/tv,2841,<100,>=7,2,male single,none,2,car,32,none,rent,1,skilled,1,yes,yes,good
0<=X<200,0,all paid,radio/tv,3158,no known savings,1<=X<4,3,female div/dep/mar,none,0,real estate,39,none,own,2,skilled,2,yes,yes,good
0<=X<200,4,existing paid,furniture/equipment,15935,<100,<1,4,male single,none,4,car,32,bank,own,1,skilled,1,none,yes,good
0<=X<200,40,critical/other existing credit,education,2628,<100,unemployed,4,female div/dep/mar,none,4,no known property,30,none,for free,2,skilled,1,yes,yes,good
0<=X<200,8,existing paid,furniture/equipment,8304,no known savings,1<=X<4,2,male single,none,4,life insurance,50,bank,own,2,unskilled resident,2,none,yes,good
<0,21,existing paid,repairs,5469,<100,4<=X<7,1,male single,none,4,life insurance,50,none,rent,1,skilled,1,yes,yes,bad
<0,2,critical/other existing credit,radio/tv,9449,<100,>=7,4,female div/dep/mar,none,1,no known property,48,none,own,2,unskilled resident,1,none,yes,good
0<=X<200,12,critical/other existing credit,new car,13386,<100,>=7,4,female div/dep/mar,none,2,car,45,none,own,1,skilled,1,yes,yes,good
no checking,6,critical/other existing credit,used car,4929,no known savings,1<=X<4,3,female div/dep/mar,none,2,no known property,31,stores,own,2,skilled,1,yes,yes,good
no checking,21,critical/other existing credit,radio/tv,2045,<100,1<=X<4,4,female div/dep/mar,none,4,no known property,33,stores,own,1,high qualif/self emp/mgmt,1,yes,no,bad
0<=X<200,25,existing paid,new car,4115,<100,<1,4,male single,none,2,car,84,none,own,2,skilled,1,none,yes,good
no checking,44,existing paid,furniture/equipment,2778,<100,1<=X<4,1,male single,guarantor,2,life insurance,29,bank,own,2,unskilled resident,1,none,yes,bad
no checking,4,delayed previously,used car,9712,<100,4<=X<7,3,male mar/wid,none,2,no known property,56,none,own,1,unskilled resident,1,none,yes,good
no checking,55,delayed previously,radio/tv,16113,no known savings,4<=X<7,2,male mar/wid,none,3,no known property,50,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
<0,23,critical/other existing credit,furniture/equipment,3200,>=1000,<1,3,female div/dep/mar,none,4,life insurance,83,none,own,1,unskilled resident,1,none,yes,good
<0,16,critical/other existing credit,repairs,2862,<100,unemployed,4,male mar/wid,co applicant,2,no known property,63,none,own,2,skilled,2,none,yes,good
<0,31,existing paid,furniture/equipment,2202,<100,1<=X<4,1,male single,none,4,car,50,none,own,2,skilled,1,none,yes,good
0<=X<200,5,delayed previously,education,2006,<100,1<=X<4,1,male single,none,4,car,43,none,own,2,skilled,1,none,yes,good
0<=X<200,1,existing paid,education,2762,<100,4<=X<7,2,male single,none,4,real estate,34,none,own,1,skilled,1,none,yes,good
<0,13,delayed previously,business,18975,<100,>=7,2,male single,guarantor,2,real estate,76,none,own,2,skilled,1,none,yes,good
0<=X<200,22,existing paid,repairs,3707,<100,>=7,1,female div/dep/mar,none,3,car,31,none,own,2,high qualif/self emp/mgmt,2,yes,yes,good
0<=X<200,2,critical/other existing credit,new car,6222,500<=X<1000,>=7,3,male single,none,4,car,19,none,own,1,skilled,1,yes,yes,bad
<0,2,all paid,new car,2523,<100,<1,4,male mar/wid,none,2,car,32,none,rent,2,unskilled resident,1,yes,yes,good
<0,12,delayed previously,business,2705,<100,>=7,2,female div/dep/mar,none,3,no known property,34,none,own,1,skilled,1,none,yes,good
no checking,0,existing paid,business,2463,<100,>=7,1,male single,none,2,life insurance,48,stores,own,2,unskilled resident,1,none,yes,bad
0<=X<200,1,existing paid,furniture/equipment,4438,no known savings,>=7,4,male div/sep,none,4,car,30,none,own,1,high qualif/self emp/mgmt,1,none,no,bad
<0,0,critical/other existing credit,repairs,5465,<100,<1,4,male single,none,3,life insurance,67,none,own,1,skilled,1,yes,yes,good
0<=X<200,13,critical/other existing credit,furniture/equipment,1325,no known savings,unemployed,3,male mar/wid,guarantor,3,life insurance,62,bank,own,2,unskilled resident,1,yes,yes,good
0<=X<200,25,existing paid,furniture/equipment,8055,<100,4<=X<7,3,male single,none,0,car,30,none,own,1,skilled,1,none,yes,good
0<=X<200,10,existing paid,new car,2602,no known savings,1<=X<4,3,male single,none,2,life insurance,29,none,own,2,unskilled resident,1,yes,yes,good
<0,4,delayed previously,repairs,2878,<100,>=7,1,female div/dep/mar,none,2,life insurance,31,none,own,2,unemp/unskilled non res,1,none,yes,good
<0,2,critical/other existing credit,domestic appliance,1484,<100,<1,3,male single,guarantor,4,car,32,none,for free,2,skilled,1,none,yes,good
no checking,9,existing paid,new car,4837,>=1000,1<=X<4,4,male single,none,1,car,29,none,rent,2,skilled,1,none,yes,good
0<=X<200,-1,existing paid,radio/tv,4292,<100,<1,3,male single,none,4,life insurance,35,none,rent,1,skilled,1,yes,yes,good
0<=X<200,4,existing paid,new car,3342,<100,1<=X<4,4,male single,none,2,life insurance,23,none,own,2,skilled,2,yes,yes,good
no checking,27,critical/other existing credit,new car,6138,100<=X<500,1<=X<4,3,female div/dep/mar,none,1,no known property,51,stores,own,1,skilled,1,yes,yes,good
0<=X<200,23,existing paid,repairs,2720,100<=X<500,>=7,3,female div/dep/mar,none,3,life insurance,42,none,own,2,skilled,1,yes,yes,good
no checking,23,existing paid,used car,3220,100<=X<500,4<=X<7,1,male mar/wid,none,4,car,32,none,own,1,skilled,1,yes,yes,good
no checking,16,critical/other existing credit,new car,3864,<100,>=7,4,female div/dep/mar,none,2,life insurance,47,none,own,2,skilled,2,yes,yes,good
0<=X<200,21,existing paid,furniture/equipment,2170,<100,1<=X<4,4,female div/dep/mar,none,4,car,40,none,for free,2,unskilled resident,1,none,yes,good
<0,8,existing paid,business,11578,>=1000,1<=X<4,3,male mar/wid,none,3,life insurance,53,stores,rent,1,high qualif/self emp/mgmt,1,none,yes,bad
no checking,4,existing paid,business,16755,<100,>=7,3,female div/dep/mar,none,2,life insurance,38,none,own,1,unskilled resident,1,none,yes,bad
0<=X<200,20,critical/other existing credit,radio/tv,11959,no known savings,>=7,3,female div/dep/mar,none,4,real estate,19,none,own,1,skilled,1,none,yes,good
0<=X<200,21,all paid,furniture/equipment,2352,>=1000,unemployed,3,male single,none,2,no known property,35,none,own,2,skilled,1,none,yes,good
0<=X<200,-3,existing paid,radio/tv,20021,<100,1<=X<4,3,male single,none,2,real estate,35,none,for free,1,skilled,1,none,yes,good
<0,14,existing paid,business,9074,<100,>=7,3,male single,none,3,no known property,48,none,own,2,unskilled resident,1,yes,yes,bad
0<=X<200,30,no credits/all paid,new car,2047,<100,>=7,3,male mar/wid,none,3,life insurance,65,none,own,1,skilled,1,none,yes,good
no checking,6,delayed previously,used car,20588,no known savings,<1,1,male div/sep,none,2,life insurance,24,none,own,2,skilled,1,yes,yes,good
0<=X<200,0,existing paid,education,3229,<100,4<=X<7,3,female div/dep/mar,none,2,life insurance,32,none,own,2,skilled,1,yes,yes,good
<0,6,existing paid,new car,16833,<100,>=7,2,male single,none,3,car,46,none,own,1,unskilled resident,1,none,yes,good
<0,4,existing paid,education,12438,100<=X<500,1<=X<4,4,female div/dep/mar,none,1,life insurance,43,bank,for free,1,unskilled resident,1,yes,yes,good
0<=X<200,23,critical/other existing credit,radio/tv,12792,<100,1<=X<4,0,male mar/wid,none,2,no known property,35,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad
no checking,29,critical/other existing credit,furniture/equipment,2756,<100,4<=X<7,2,female div/dep/mar,none,4,real estate,50,none,own,1,skilled,1,yes,yes,bad
0<=X<200,3,existing paid,furniture/equipment,2822,<100,>=7,4,male single,none,4,life insurance,25,bank,rent,2,skilled,2,none,yes,good
>=200,16,all paid,radio/tv,4177,<100,>=7,2,female div/dep/mar,none,3,no known property,32,none,for free,1,skilled,1,yes,yes,good
no checking,-2,delayed previously,new car,5939,>=1000,>=7,4,male single,co applicant,2,car,57,none,rent,2,high qualif/self emp/mgmt,1,none,yes,good
<0,4,delayed previously,business,1968,<100,>=7,4,female div/dep/mar,none,2,car,26,none,own,2,skilled,2,yes,yes,good
0<=X<200,5,critical/other existing credit,used car,17123,<100,4<=X<7,3,female div/dep/mar,guarantor,4,life insurance,47,none,own,2,unskilled resident,1,yes,yes,bad
<0,15,critical/other existing credit,business,3554,<100,>=7,3,male mar/wid,none,2,life insurance,30,none,rent,2,skilled,1,yes,yes,good
<0,7,existing paid,furniture/equipment,3082,<100,<1,2,male single,none,2,real estate,30,bank,own,1,skilled,1,yes,no,good
<0,9,all paid,used car,1844,no known savings,1<=X<4,4,female div/dep/mar,none,0,life insurance,50,none,for free,1,skilled,1,yes,yes,bad
<0,7,critical/other existing credit,radio/tv,10360,>=1000,unemployed,4,male mar/wid,none,2,car,88,none,own,1,unskilled resident,1,yes,yes,good
no checking,6,delayed previously,business,9134,<100,1<=X<4,1,male mar/wid,none,2,car,52,none,own,1,skilled,1,yes,yes,good
