checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
no checking,10.0,existing paid,radio/tv,937.1916829291451,500<=X<1000,>=7,4.0,male single,none,4.0,car,71.6715860233721,none,own,1.0,skilled,1.0,none,yes,good
<0,18.0,existing paid,used car,3498.1728263865753,<100,1<=X<4,1.0,male single,guarantor,2.0,life insurance,34.39537407592954,none,own,1.0,skilled,2.0,none,yes,good
no checking,24.0,critical/other existing credit,education,5727.973828085231,<100,>=7,4.0,female div/dep/mar,none,4.0,no known property,38.96347927155819,bank,for free,2.0,skilled,1.0,none,yes,good
no checking,11.0,critical/other existing credit,new car,1143.7716282158647,<100,>=7,4.0,male single,none,4.0,car,36.79988355822537,none,own,2.0,unskilled resident,1.0,none,yes,good
no checking,12.0,existing paid,new car,990.2481898674228,<100,>=7,4.0,male mar/wid,none,4.0,real estate,43.45180569622884,none,own,1.0,unskilled resident,1.0,yes,yes,good
<0,60.0,delayed previously,radio/tv,9272.801379035047,<100,4<=X<7,4.0,female div/dep/mar,none,4.0,car,22.986521712139535,none,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,18.0,existing paid,business,1836.8094087230033,>=1000,>=7,4.0,male single,none,1.0,real estate,37.89459905873413,none,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,30.0,existing paid,new car,1822.1960328343675,no known savings,1<=X<4,3.0,female div/dep/mar,none,2.0,car,24.891432282957982,none,own,1.0,skilled,1.0,none,yes,good
<0,16.0,critical/other existing credit,new car,3573.414600225634,<100,4<=X<7,1.0,male single,none,2.0,real estate,30.48590373118308,none,own,2.0,unskilled resident,1.0,none,yes,good
no checking,18.0,existing paid,repairs,2348.656335901426,no known savings,<1,4.0,male single,none,4.0,real estate,34.67602147234787,none,own,1.0,skilled,2.0,none,yes,good
no checking,21.0,critical/other existing credit,radio/tv,1584.9027454314214,<100,>=7,4.0,male single,none,4.0,real estate,48.896318415328075,none,own,1.0,skilled,1.0,none,yes,good
>=200,15.0,existing paid,new car,791.7916371596576,500<=X<1000,>=7,4.0,male single,none,3.0,life insurance,65.40335066398495,none,own,1.0,skilled,1.0,none,yes,good
0<=X<200,24.0,critical/other existing credit,radio/tv,4163.509219408202,no known savings,>=7,4.0,male single,none,4.0,life insurance,37.74930241889214,none,own,2.0,skilled,1.0,none,yes,good
no checking,60.0,all paid,radio/tv,18129.81511512223,<100,>=7,1.0,male single,none,1.0,real estate,67.95213356880936,bank,own,1.0,high qualif/self emp/mgmt,2.0,none,yes,bad
0<=X<200,42.0,delayed previously,furniture/equipment,6449.2948715396005,100<=X<500,4<=X<7,2.0,male single,none,3.0,life insurance,27.818049116841053,none,own,2.0,skilled,1.0,none,yes,bad
no checking,60.0,existing paid,radio/tv,250.0,<100,>=7,1.0,male single,none,1.0,real estate,19.0,bank,own,1.0,high qualif/self emp/mgmt,2.0,yes,yes,bad
no checking,24.0,existing paid,furniture/equipment,4421.669133217087,<100,>=7,3.0,male single,none,4.0,car,27.35669454272587,bank,for free,1.0,skilled,1.0,none,yes,good
no checking,21.0,critical/other existing credit,new car,2642.112210415205,<100,>=7,4.0,female div/dep/mar,none,4.0,life insurance,47.42759568785922,none,own,2.0,skilled,1.0,yes,yes,good
<0,11.0,existing paid,new car,2326.148719835511,no known savings,>=7,4.0,male single,none,4.0,life insurance,71.54314965291923,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
<0,33.0,existing paid,used car,5826.940901976364,<100,>=7,3.0,male single,none,4.0,no known property,43.34501871190917,none,for free,1.0,skilled,2.0,none,yes,bad
no checking,24.0,existing paid,used car,3224.845674626978,no known savings,unemployed,4.0,female div/dep/mar,none,4.0,life insurance,36.35861895576043,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
no checking,12.0,existing paid,radio/tv,1689.7804616797594,<100,>=7,3.0,male single,co applicant,4.0,real estate,59.97182781422032,none,own,1.0,skilled,1.0,none,yes,good
<0,8.0,critical/other existing credit,education,3445.570723677381,<100,1<=X<4,1.0,female div/dep/mar,none,4.0,no known property,36.13411287690289,none,for free,1.0,skilled,1.0,none,yes,good
no checking,24.0,existing paid,used car,5811.855177746158,no known savings,1<=X<4,4.0,male single,none,4.0,car,40.23909516589201,none,own,1.0,high qualif/self emp/mgmt,2.0,yes,yes,good
0<=X<200,12.0,existing paid,radio/tv,1775.7791102014971,500<=X<1000,4<=X<7,2.0,male mar/wid,none,1.0,real estate,25.470427637113154,none,own,1.0,skilled,1.0,none,yes,good
0<=X<200,11.0,delayed previously,used car,2559.4774667615743,no known savings,unemployed,4.0,male single,none,4.0,life insurance,49.23484289040536,stores,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
no checking,27.0,critical/other existing credit,radio/tv,2848.4775972904285,no known savings,>=7,4.0,male single,none,4.0,life insurance,46.118112720733535,bank,own,2.0,skilled,1.0,none,yes,bad
no checking,20.0,existing paid,new car,1252.2940666066443,<100,4<=X<7,3.0,female div/dep/mar,none,4.0,car,24.282671278328042,none,rent,1.0,skilled,1.0,yes,yes,good
no checking,60.0,delayed previously,radio/tv,411.34805108938707,<100,>=7,1.0,male single,none,1.0,real estate,75.0,bank,own,1.0,high qualif/self emp/mgmt,2.0,yes,yes,bad
0<=X<200,22.0,all paid,used car,8556.641812132422,<100,unemployed,3.0,male single,none,4.0,no known property,46.895524869563964,bank,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
<0,12.0,existing paid,furniture/equipment,1297.439350533791,<100,1<=X<4,4.0,male single,none,1.0,life insurance,34.46386106528093,none,own,1.0,skilled,1.0,none,yes,good
0<=X<200,12.0,existing paid,business,1936.6515466735227,100<=X<500,4<=X<7,2.0,male single,none,4.0,real estate,27.247545806662803,none,own,1.0,unskilled resident,1.0,none,yes,good
no checking,18.0,critical/other existing credit,repairs,2243.585426962182,<100,>=7,4.0,male single,none,4.0,no known property,42.975804759659226,none,for free,2.0,skilled,1.0,none,yes,good
<0,14.0,existing paid,radio/tv,1412.5234562527382,<100,4<=X<7,3.0,male mar/wid,none,3.0,real estate,31.82957515771517,none,rent,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
no checking,21.0,existing paid,new car,1234.1925059455982,no known savings,4<=X<7,4.0,male single,none,3.0,no known property,34.95531949127993,none,own,1.0,skilled,1.0,yes,yes,good
<0,24.0,existing paid,furniture/equipment,2394.133762715483,<100,4<=X<7,4.0,female div/dep/mar,none,2.0,life insurance,28.641339229368345,none,own,1.0,skilled,1.0,none,yes,bad
0<=X<200,60.0,delayed previously,other,17025.473998984562,100<=X<500,unemployed,1.0,male single,none,4.0,no known property,34.88510621980095,bank,for free,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
>=200,12.0,critical/other existing credit,education,1433.959760686954,<100,>=7,4.0,male single,none,4.0,life insurance,45.446963617253985,none,own,1.0,skilled,1.0,none,yes,good
<0,24.0,critical/other existing credit,new car,2879.83847824031,<100,>=7,4.0,male single,none,4.0,no known property,45.69454189550582,none,for free,2.0,skilled,1.0,yes,yes,good
no checking,18.0,critical/other existing credit,new car,1387.802591609716,no known savings,>=7,4.0,male single,none,4.0,car,56.64348418156406,none,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,20.0,critical/other existing credit,new car,1136.4950257983614,<100,>=7,4.0,male single,guarantor,4.0,real estate,35.573826398315425,bank,own,2.0,skilled,1.0,none,yes,good
no checking,14.0,delayed previously,business,1393.9860500105058,no known savings,1<=X<4,4.0,male single,none,3.0,real estate,39.89087379472264,none,own,2.0,skilled,1.0,yes,yes,bad
no checking,60.0,delayed previously,business,13341.27906346165,no known savings,1<=X<4,1.0,male single,none,1.0,real estate,30.496862467693298,bank,own,1.0,unskilled resident,1.0,none,yes,good
<0,12.0,existing paid,new car,821.0342334994597,<100,<1,4.0,female div/dep/mar,none,4.0,real estate,25.54522416884036,none,own,1.0,skilled,1.0,none,yes,bad
0<=X<200,30.0,existing paid,business,3133.3156267888407,<100,4<=X<7,4.0,male single,none,4.0,life insurance,30.831029404299485,none,own,1.0,skilled,2.0,yes,yes,good
<0,30.0,all paid,furniture/equipment,2713.6778170813077,<100,<1,4.0,male single,none,4.0,real estate,27.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
<0,24.0,critical/other existing credit,used car,4172.937434712712,<100,>=7,2.0,male single,none,4.0,life insurance,31.73879028615731,none,for free,2.0,skilled,1.0,none,yes,good
no checking,7.0,critical/other existing credit,radio/tv,451.5088264727525,no known savings,>=7,4.0,male single,none,4.0,real estate,39.16137085056428,none,own,2.0,unskilled resident,1.0,none,yes,good
<0,24.0,all paid,furniture/equipment,1551.5454339888727,500<=X<1000,1<=X<4,4.0,male single,none,4.0,real estate,28.530610989342087,stores,own,1.0,skilled,1.0,yes,yes,bad
no checking,12.0,critical/other existing credit,radio/tv,1487.3677032793842,500<=X<1000,1<=X<4,3.0,female div/dep/mar,none,2.0,life insurance,46.176699984731535,none,own,2.0,unskilled resident,1.0,none,yes,good
0<=X<200,30.0,existing paid,radio/tv,1695.4009508175695,<100,4<=X<7,4.0,male single,none,4.0,car,22.67243834878986,none,own,2.0,skilled,1.0,none,yes,bad
<0,12.0,existing paid,radio/tv,2790.355386012709,<100,1<=X<4,1.0,male single,none,2.0,life insurance,29.16868995044628,none,own,1.0,unskilled resident,1.0,none,yes,good
no checking,18.0,existing paid,radio/tv,1745.6840923751647,no known savings,>=7,4.0,male single,none,1.0,life insurance,25.854436953634988,none,own,1.0,skilled,1.0,none,yes,good
no checking,39.0,delayed previously,used car,4840.531826424887,<100,>=7,4.0,male single,none,4.0,car,48.21401670572271,none,for free,2.0,skilled,1.0,none,yes,good
<0,60.0,existing paid,radio/tv,9484.488481166412,<100,4<=X<7,2.0,male single,none,1.0,no known property,41.90039113620766,bank,for free,1.0,skilled,2.0,yes,yes,bad
no checking,14.0,critical/other existing credit,new car,1383.2956567839856,<100,>=7,4.0,female div/dep/mar,none,4.0,car,45.60198205303324,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,24.0,existing paid,radio/tv,2881.6959689639434,<100,<1,4.0,female div/dep/mar,none,1.0,real estate,23.071347716565764,none,own,1.0,skilled,1.0,none,yes,good
no checking,15.0,critical/other existing credit,repairs,1784.2755510391241,100<=X<500,4<=X<7,4.0,female div/dep/mar,none,3.0,real estate,38.149930681853135,none,own,2.0,skilled,1.0,yes,yes,good
<0,30.0,existing paid,furniture/equipment,2894.7955055967477,<100,1<=X<4,4.0,male single,none,2.0,real estate,25.071440934567363,none,own,1.0,skilled,1.0,none,yes,bad
no checking,24.0,critical/other existing credit,used car,9605.704037132225,<100,<1,4.0,female div/dep/mar,none,4.0,no known property,35.564224650804206,bank,for free,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
no checking,12.0,no credits/all paid,business,1591.58917498199,<100,1<=X<4,1.0,female div/dep/mar,none,1.0,real estate,34.815137993598114,stores,own,1.0,skilled,1.0,none,yes,good
no checking,14.0,existing paid,new car,3877.8226446324484,500<=X<1000,>=7,3.0,male single,none,4.0,no known property,65.4704407856617,none,for free,1.0,skilled,1.0,none,yes,good
no checking,7.0,existing paid,education,636.678054043271,<100,<1,2.0,female div/dep/mar,none,4.0,life insurance,26.895193454725366,none,rent,1.0,skilled,1.0,none,yes,good
0<=X<200,26.0,existing paid,radio/tv,3448.6887699006074,no known savings,1<=X<4,1.0,female div/dep/mar,none,1.0,car,29.428920622291045,none,own,1.0,skilled,1.0,none,yes,good
no checking,22.0,existing paid,new car,2414.055476437981,<100,4<=X<7,2.0,female div/dep/mar,co applicant,4.0,real estate,22.057064802832727,none,rent,1.0,skilled,1.0,none,yes,good
no checking,12.0,critical/other existing credit,radio/tv,2094.183240215899,no known savings,>=7,4.0,male single,none,4.0,life insurance,46.9829973107742,none,own,2.0,skilled,1.0,none,yes,good
<0,48.0,critical/other existing credit,education,14640.186729820984,<100,1<=X<4,3.0,female div/dep/mar,none,2.0,no known property,36.3356292510972,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
0<=X<200,9.0,existing paid,radio/tv,1287.485803114415,<100,4<=X<7,4.0,male single,none,4.0,real estate,58.059926092627144,none,own,1.0,skilled,1.0,none,yes,good
no checking,22.0,existing paid,furniture/equipment,7376.042384416933,<100,1<=X<4,4.0,male single,none,4.0,no known property,31.738064243453174,none,for free,1.0,skilled,1.0,yes,yes,good
0<=X<200,24.0,no credits/all paid,business,1732.6439260888822,<100,4<=X<7,3.0,female div/dep/mar,none,4.0,no known property,27.0,none,for free,2.0,unskilled resident,1.0,none,yes,good
no checking,12.0,critical/other existing credit,education,2495.50437396828,<100,1<=X<4,1.0,male single,none,4.0,real estate,49.823501888759964,none,rent,1.0,skilled,1.0,yes,yes,good
<0,4.0,critical/other existing credit,used car,250.0,<100,1<=X<4,4.0,female div/dep/mar,none,4.0,car,75.0,none,own,4.0,unemp/unskilled non res,1.0,yes,yes,good
0<=X<200,18.0,existing paid,new car,2308.7059275851498,no known savings,1<=X<4,4.0,male single,none,2.0,car,47.06074515418997,none,own,1.0,skilled,1.0,yes,yes,good
no checking,9.0,critical/other existing credit,furniture/equipment,3633.3521418587943,<100,1<=X<4,1.0,male single,none,4.0,life insurance,50.556318184846226,none,own,2.0,unskilled resident,1.0,none,yes,good
0<=X<200,9.0,existing paid,business,1014.3076775200259,100<=X<500,1<=X<4,3.0,male single,guarantor,3.0,real estate,26.486383001486335,none,own,1.0,unskilled resident,2.0,none,yes,good
no checking,48.0,existing paid,business,4442.713897510207,<100,4<=X<7,4.0,male single,none,1.0,car,29.73326458069274,none,own,1.0,skilled,1.0,yes,yes,good
no checking,16.0,existing paid,business,3415.8571355788954,500<=X<1000,4<=X<7,4.0,male single,none,3.0,car,31.20719829790233,none,own,2.0,skilled,1.0,yes,yes,good
no checking,36.0,critical/other existing credit,used car,4533.770917208002,<100,unemployed,4.0,male single,none,3.0,car,45.18084892113035,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
<0,24.0,critical/other existing credit,business,2634.3945072935085,no known savings,>=7,4.0,male single,none,4.0,life insurance,46.208174139009245,none,own,2.0,skilled,1.0,none,yes,good
no checking,24.0,existing paid,used car,3959.171819082137,no known savings,>=7,4.0,male single,none,4.0,life insurance,45.56094391669148,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
<0,12.0,existing paid,radio/tv,2568.153462849389,<100,unemployed,3.0,male single,none,2.0,no known property,27.331980765398516,bank,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
no checking,24.0,existing paid,radio/tv,3932.9717587131186,no known savings,<1,4.0,male single,none,2.0,life insurance,35.069281722766746,none,own,1.0,high qualif/self emp/mgmt,2.0,yes,yes,good
no checking,10.0,critical/other existing credit,radio/tv,1480.1309364435845,<100,>=7,4.0,male single,none,4.0,real estate,37.96269968325016,none,own,2.0,skilled,1.0,none,yes,good
no checking,39.0,critical/other existing credit,used car,14180.7309458718,100<=X<500,>=7,3.0,male single,none,2.0,car,39.072139925262725,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
<0,18.0,existing paid,used car,3759.5654098593454,no known savings,>=7,2.0,male single,none,4.0,no known property,61.94492103850056,none,for free,1.0,skilled,1.0,yes,yes,good
no checking,60.0,existing paid,radio/tv,250.0,<100,>=7,1.0,male single,none,1.0,real estate,19.0,bank,own,1.0,high qualif/self emp/mgmt,2.0,yes,yes,good
no checking,11.0,critical/other existing credit,furniture/equipment,1828.0590127230737,<100,1<=X<4,4.0,male single,none,2.0,car,34.47045274469784,none,own,1.0,skilled,1.0,none,yes,good
no checking,24.0,delayed previously,business,4627.936864856473,<100,1<=X<4,4.0,male single,none,3.0,car,34.64632449148819,none,own,2.0,skilled,1.0,yes,yes,good
<0,12.0,existing paid,domestic appliance,847.863419123403,<100,1<=X<4,4.0,male single,none,2.0,real estate,23.934201864919576,none,own,1.0,skilled,1.0,none,yes,bad
0<=X<200,36.0,critical/other existing credit,furniture/equipment,9583.400673799646,<100,<1,1.0,female div/dep/mar,none,3.0,car,36.797371478195736,none,own,1.0,skilled,1.0,yes,yes,good
no checking,6.0,critical/other existing credit,radio/tv,1133.2340396895008,no known savings,>=7,4.0,male single,none,4.0,car,54.14835375878418,none,rent,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
no checking,36.0,critical/other existing credit,furniture/equipment,3017.4291972111423,<100,1<=X<4,4.0,female div/dep/mar,none,3.0,real estate,29.37005942474746,none,own,1.0,skilled,1.0,yes,yes,good
<0,24.0,existing paid,radio/tv,2681.1614819262813,<100,1<=X<4,4.0,female div/dep/mar,none,3.0,car,26.994101346244825,none,own,1.0,unskilled resident,1.0,none,yes,good
no checking,24.0,delayed previously,other,4195.9252867191935,<100,4<=X<7,4.0,male single,none,3.0,car,32.230995630646696,stores,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,36.0,critical/other existing credit,radio/tv,6896.854178669155,<100,1<=X<4,1.0,female div/dep/mar,none,1.0,car,42.2057668652037,none,own,1.0,skilled,1.0,yes,yes,good
no checking,60.0,existing paid,radio/tv,250.0,<100,>=7,1.0,male single,none,1.0,real estate,19.0,bank,own,1.0,high qualif/self emp/mgmt,2.0,yes,yes,bad
0<=X<200,16.0,existing paid,new car,3981.302728017512,500<=X<1000,4<=X<7,1.0,female div/dep/mar,none,4.0,car,21.47389098849472,none,rent,2.0,skilled,1.0,none,yes,good
0<=X<200,18.0,existing paid,used car,5887.3720190702015,<100,unemployed,1.0,male single,none,1.0,car,34.7184669273776,none,rent,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
<0,18.0,all paid,new car,4802.817764608948,<100,<1,1.0,female div/dep/mar,none,3.0,no known property,35.14555235459966,none,rent,2.0,unemp/unskilled non res,1.0,none,yes,bad
0<=X<200,18.0,no credits/all paid,new car,1677.5887690433706,<100,>=7,3.0,female div/dep/mar,none,4.0,car,38.45208595669228,none,for free,2.0,skilled,1.0,yes,yes,good
no checking,15.0,existing paid,retraining,1210.2304299690716,no known savings,>=7,4.0,male single,none,4.0,life insurance,46.76134269035653,none,own,1.0,skilled,1.0,yes,yes,good
<0,18.0,existing paid,radio/tv,2423.599914778614,<100,1<=X<4,4.0,male mar/wid,none,3.0,real estate,26.407723013016337,none,own,1.0,unskilled resident,1.0,none,yes,good
0<=X<200,10.0,existing paid,radio/tv,1689.3536477915482,<100,1<=X<4,3.0,male single,guarantor,2.0,real estate,38.18913939712644,none,own,1.0,unskilled resident,1.0,none,yes,good
<0,22.0,existing paid,new car,1805.467400313685,<100,1<=X<4,4.0,male mar/wid,guarantor,2.0,life insurance,24.429146968142035,bank,rent,1.0,skilled,1.0,none,yes,bad
0<=X<200,14.0,existing paid,new car,1859.0832777714743,>=1000,1<=X<4,4.0,male mar/wid,none,2.0,car,31.33699239565121,none,own,1.0,unskilled resident,1.0,none,yes,good
no checking,11.0,critical/other existing credit,furniture/equipment,3995.4750664545654,<100,1<=X<4,1.0,female div/dep/mar,none,4.0,real estate,26.786703935825148,bank,rent,2.0,skilled,1.0,none,yes,good
no checking,24.0,critical/other existing credit,radio/tv,2065.1883865203704,no known savings,>=7,4.0,male single,none,4.0,life insurance,35.838862282232014,none,own,2.0,skilled,1.0,none,yes,good
no checking,40.0,critical/other existing credit,other,4426.681886809752,<100,unemployed,4.0,male single,none,3.0,car,27.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
no checking,60.0,existing paid,radio/tv,250.0,<100,>=7,1.0,male single,none,1.0,real estate,19.0,bank,own,1.0,high qualif/self emp/mgmt,2.0,yes,yes,bad
no checking,18.0,existing paid,new car,1223.8890551261823,no known savings,>=7,4.0,male single,none,4.0,life insurance,39.53166238648177,none,own,1.0,skilled,1.0,none,no,bad
<0,24.0,existing paid,new car,1049.4991180081079,<100,<1,4.0,female div/dep/mar,none,4.0,life insurance,19.275386129253068,none,rent,1.0,skilled,1.0,none,yes,bad
no checking,24.0,existing paid,used car,6186.105519111364,no known savings,4<=X<7,3.0,male single,none,1.0,car,35.56850287274983,none,own,1.0,skilled,2.0,yes,yes,good
0<=X<200,24.0,no credits/all paid,new car,2230.3117197301003,<100,>=7,4.0,male single,none,4.0,car,39.32865684005324,none,own,2.0,skilled,1.0,none,yes,good
0<=X<200,18.0,critical/other existing credit,radio/tv,1316.34208055284,<100,>=7,4.0,male mar/wid,none,2.0,real estate,30.992193123179316,none,own,1.0,unskilled resident,1.0,none,yes,good
no checking,24.0,existing paid,used car,6859.8946213489,no known savings,>=7,4.0,female div/dep/mar,none,4.0,no known property,57.64284872357112,none,for free,1.0,skilled,1.0,yes,yes,good
no checking,13.0,critical/other existing credit,radio/tv,687.6786535656511,<100,1<=X<4,4.0,male single,none,2.0,real estate,31.237176507902213,none,own,2.0,skilled,1.0,none,yes,good
no checking,12.0,critical/other existing credit,radio/tv,1758.6510849059737,<100,>=7,4.0,male single,none,3.0,real estate,53.75105787909114,none,own,2.0,skilled,1.0,none,yes,good
<0,24.0,existing paid,radio/tv,3664.6179064120693,<100,1<=X<4,3.0,male single,none,1.0,car,37.626191665276416,none,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,bad
0<=X<200,20.0,existing paid,new car,2056.493948738964,100<=X<500,<1,4.0,male single,none,1.0,car,27.432626111369103,none,own,2.0,skilled,1.0,none,yes,bad
0<=X<200,24.0,existing paid,business,1849.2899869247422,<100,>=7,4.0,female div/dep/mar,none,2.0,life insurance,33.78557091895671,none,own,1.0,skilled,2.0,none,yes,bad
<0,36.0,existing paid,furniture/equipment,6455.829548270736,<100,1<=X<4,4.0,male single,none,3.0,car,39.02643462711663,stores,own,1.0,skilled,1.0,yes,yes,good
<0,18.0,delayed previously,business,2245.6571917976003,<100,1<=X<4,3.0,male single,none,2.0,life insurance,43.16048391218969,bank,own,2.0,skilled,1.0,yes,yes,bad
no checking,8.0,critical/other existing credit,new car,1834.3647775131453,<100,>=7,1.0,male single,none,3.0,real estate,50.33210617819209,none,own,2.0,unskilled resident,2.0,none,yes,good
no checking,15.0,critical/other existing credit,radio/tv,2293.9288154579176,<100,1<=X<4,4.0,male single,none,2.0,car,26.280717481503128,none,own,1.0,skilled,1.0,none,yes,bad
<0,21.0,existing paid,used car,8468.805335873696,<100,unemployed,3.0,male single,none,1.0,no known property,26.68199809138246,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
<0,10.0,existing paid,new car,1003.3292583140919,<100,<1,4.0,female div/dep/mar,none,1.0,life insurance,31.684077132664477,none,own,1.0,skilled,1.0,none,yes,good
0<=X<200,21.0,existing paid,new car,2667.063156073789,no known savings,4<=X<7,1.0,male single,none,4.0,real estate,36.84363684968536,none,own,1.0,skilled,1.0,none,yes,good
<0,8.0,existing paid,radio/tv,1039.760302755467,<100,<1,3.0,female div/dep/mar,none,4.0,life insurance,22.381836270162456,none,rent,1.0,skilled,1.0,none,yes,bad
0<=X<200,4.0,existing paid,radio/tv,1325.1006265540977,<100,4<=X<7,1.0,female div/dep/mar,none,4.0,real estate,72.55399494190505,none,own,1.0,skilled,1.0,none,yes,good
no checking,60.0,existing paid,business,5619.421639336185,<100,4<=X<7,1.0,male single,none,1.0,real estate,75.0,bank,own,1.0,high qualif/self emp/mgmt,2.0,yes,yes,good
no checking,33.0,critical/other existing credit,radio/tv,4501.768179840269,no known savings,1<=X<4,2.0,female div/dep/mar,none,1.0,real estate,24.087644145016704,none,own,2.0,skilled,1.0,yes,yes,good
0<=X<200,11.0,existing paid,radio/tv,798.2382998476161,<100,>=7,4.0,male mar/wid,guarantor,4.0,real estate,35.6756706275982,none,own,2.0,unskilled resident,1.0,none,yes,good
0<=X<200,60.0,delayed previously,other,17023.0607027734,<100,1<=X<4,2.0,female div/dep/mar,none,2.0,life insurance,33.04084649409401,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
<0,24.0,existing paid,radio/tv,2976.859849848997,<100,1<=X<4,4.0,female div/dep/mar,none,3.0,car,23.301214170231958,none,own,1.0,skilled,1.0,none,yes,bad
<0,15.0,existing paid,repairs,1330.4123623717096,<100,>=7,4.0,male single,none,4.0,real estate,66.50517130014133,none,own,2.0,skilled,1.0,yes,yes,good
no checking,60.0,existing paid,radio/tv,250.0,<100,>=7,1.0,male single,none,1.0,real estate,19.0,bank,own,1.0,high qualif/self emp/mgmt,2.0,yes,yes,bad
no checking,36.0,existing paid,used car,6216.5096912271565,no known savings,>=7,2.0,male single,none,4.0,life insurance,39.852146479293836,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
no checking,6.0,existing paid,new car,662.7931748283856,100<=X<500,1<=X<4,2.0,female div/dep/mar,none,4.0,real estate,27.0,none,rent,1.0,unskilled resident,1.0,none,yes,good
0<=X<200,12.0,existing paid,radio/tv,2013.8579371416793,<100,<1,4.0,female div/dep/mar,none,2.0,car,25.062127931029945,none,own,1.0,skilled,1.0,yes,yes,bad
<0,36.0,existing paid,new car,3878.5861516609752,<100,4<=X<7,3.0,female div/dep/mar,none,4.0,life insurance,20.175795625158194,none,rent,1.0,skilled,1.0,yes,yes,bad
<0,10.0,existing paid,furniture/equipment,3067.382463124812,<100,>=7,2.0,male single,none,4.0,no known property,47.585586260152304,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
>=200,24.0,existing paid,radio/tv,3583.708614839324,<100,<1,2.0,male single,co applicant,1.0,real estate,29.695890551831436,none,own,1.0,skilled,1.0,yes,yes,good
