gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group B,associate's degree,free/reduced,completed,51,38,77
female,group B,master's degree,free/reduced,none,55,82,75
female,group E,associate's degree,standard,none,67,103,63
male,group A,some college,standard,none,49,49,76
male,group E,associate's degree,standard,completed,51,97,79
female,group C,associate's degree,standard,none,73,86,53
female,group D,associate's degree,standard,none,51,45,90
male,group C,high school,standard,completed,44,72,67
male,group B,associate's degree,standard,none,58,54,58
male,group D,associate's degree,free/reduced,completed,78,109,85
female,group D,some college,free/reduced,none,75,63,75
male,group A,high school,free/reduced,completed,81,96,61
male,group D,bachelor's degree,free/reduced,none,80,95,116
male,group E,some college,free/reduced,none,59,36,79
female,group E,associate's degree,standard,none,50,50,78
female,group D,bachelor's degree,standard,completed,50,46,79
female,group C,associate's degree,standard,none,53,62,84
female,group D,master's degree,standard,none,80,46,75
female,group C,associate's degree,free/reduced,none,40,99,87
female,group A,associate's degree,standard,none,82,32,74
male,group B,master's degree,free/reduced,none,92,104,84
male,group E,bachelor's degree,free/reduced,none,40,43,82
male,group C,some college,free/reduced,none,68,84,57
male,group C,high school,standard,none,40,77,87
male,group B,some college,standard,none,77,75,59
male,group A,associate's degree,free/reduced,completed,35,66,83
male,group D,master's degree,standard,completed,32,39,105
female,group D,some high school,free/reduced,none,57,98,57
male,group D,bachelor's degree,free/reduced,completed,97,68,60
female,group B,bachelor's degree,standard,none,63,85,44
female,group B,some high school,free/reduced,none,87,113,80
male,group C,master's degree,standard,completed,71,69,54
male,group E,high school,standard,none,71,95,73
female,group A,bachelor's degree,standard,none,65,105,94
female,group C,bachelor's degree,standard,none,65,73,95
male,group D,high school,free/reduced,completed,50,83,90
male,group E,bachelor's degree,free/reduced,completed,84,90,84
male,group C,some college,free/reduced,completed,85,81,80
female,group C,some high school,standard,none,63,51,96
male,group C,high school,free/reduced,none,71,101,92
male,group C,some college,free/reduced,completed,55,45,81
female,group D,associate's degree,free/reduced,none,86,95,99
male,group D,associate's degree,free/reduced,none,55,92,91
male,group D,bachelor's degree,standard,completed,78,61,88
female,group D,bachelor's degree,standard,completed,87,97,59
female,group E,some high school,free/reduced,none,77,75,90
female,group A,some high school,free/reduced,completed,88,96,73
male,group C,some high school,free/reduced,completed,69,28,40
male,group B,some college,standard,completed,60,60,47
male,group C,associate's degree,free/reduced,none,59,72,55
male,group C,high school,standard,none,58,42,58
male,group C,associate's degree,standard,completed,46,84,93
female,group E,some college,free/reduced,completed,80,96,55
male,group D,high school,standard,none,69,79,89
male,group B,high school,standard,none,43,75,98
male,group C,some high school,standard,completed,59,101,85
female,group C,associate's degree,standard,completed,57,75,91
female,group B,some high school,free/reduced,completed,58,65,69
male,group B,some college,free/reduced,none,77,72,98
female,group A,some high school,standard,completed,49,101,62
female,group A,some high school,free/reduced,none,37,96,91
male,group D,associate's degree,standard,none,71,54,79
male,group D,high school,free/reduced,none,64,67,93
male,group A,some college,standard,completed,66,66,66
female,group A,some high school,standard,none,61,59,79
female,group C,associate's degree,free/reduced,completed,89,60,85
female,group C,associate's degree,free/reduced,completed,59,64,92
female,group D,high school,standard,none,93,84,70
male,group D,bachelor's degree,free/reduced,none,53,24,75
male,group B,master's degree,standard,none,103,110,38
female,group A,associate's degree,standard,completed,61,55,73
female,group D,high school,free/reduced,completed,66,99,87
female,group D,associate's degree,standard,none,78,78,67
female,group D,high school,free/reduced,none,85,60,86
male,group A,some college,standard,completed,84,32,85
female,group A,some college,free/reduced,none,55,76,84
male,group B,bachelor's degree,standard,none,51,87,90
female,group B,associate's degree,free/reduced,completed,76,42,63
male,group D,some college,standard,completed,90,75,87
male,group B,associate's degree,standard,completed,62,95,60
male,group D,associate's degree,free/reduced,none,48,61,56
female,group B,associate's degree,free/reduced,completed,62,45,74
female,group B,associate's degree,free/reduced,none,97,42,58
female,group C,master's degree,standard,none,48,95,84
female,group C,some high school,standard,completed,70,89,96
female,group E,some high school,standard,completed,36,81,43
female,group E,some college,free/reduced,completed,48,62,51
female,group D,some college,standard,none,82,103,88
male,group C,high school,standard,completed,47,91,100
male,group C,high school,standard,completed,81,49,58
female,group C,some high school,standard,completed,64,84,51
female,group C,associate's degree,standard,none,47,98,76
male,group C,master's degree,standard,completed,42,90,96
female,group E,some college,standard,none,56,56,49
female,group B,high school,free/reduced,none,73,75,72
female,group C,bachelor's degree,free/reduced,none,87,63,91
female,group D,some high school,free/reduced,completed,67,30,66
male,group B,bachelor's degree,free/reduced,completed,49,94,70
female,group A,associate's degree,free/reduced,completed,79,87,66
female,group C,some college,standard,none,82,38,81
female,group A,associate's degree,free/reduced,completed,42,76,72
male,group D,associate's degree,free/reduced,completed,65,83,61
female,group B,some college,free/reduced,completed,54,88,63
male,group E,master's degree,standard,none,68,66,73
male,group C,bachelor's degree,free/reduced,none,69,85,106
female,group D,associate's degree,standard,none,40,81,91
male,group E,bachelor's degree,free/reduced,completed,73,57,51
male,group E,bachelor's degree,standard,none,70,41,97
male,group D,bachelor's degree,standard,none,69,72,104
female,group C,bachelor's degree,free/reduced,completed,60,59,71
female,group E,master's degree,free/reduced,none,68,87,80
female,group D,some college,free/reduced,completed,58,60,108
male,group B,associate's degree,free/reduced,none,58,57,54
male,group C,some high school,standard,completed,76,46,64
female,group C,bachelor's degree,free/reduced,completed,67,56,61
female,group B,bachelor's degree,standard,none,68,101,88
male,group C,high school,free/reduced,completed,76,72,91
female,group D,some high school,standard,none,49,89,91
female,group B,some college,standard,completed,107,90,60
male,group C,some college,free/reduced,none,76,74,80
female,group A,master's degree,standard,none,80,64,62
male,group B,some college,standard,completed,39,64,67
female,group E,high school,free/reduced,none,98,78,46
male,group D,some high school,free/reduced,completed,16,93,85
male,group E,high school,standard,completed,88,74,67
female,group C,associate's degree,standard,none,56,87,54
male,group C,master's degree,standard,completed,84,96,42
female,group D,some high school,free/reduced,none,58,66,66
male,group B,associate's degree,standard,none,99,32,40
male,group E,some college,standard,completed,60,60,93
male,group B,associate's degree,standard,none,75,109,80
male,group D,associate's degree,standard,none,87,87,91
female,group E,associate's degree,free/reduced,completed,75,84,93
male,group C,associate's degree,standard,completed,92,42,67
male,group E,high school,standard,none,69,68,68
male,group B,high school,standard,none,59,75,90
female,group D,high school,free/reduced,completed,74,70,92
female,group D,high school,standard,none,52,81,47
male,group B,master's degree,standard,none,41,60,98
female,group C,some high school,standard,completed,76,111,85
male,group D,some college,free/reduced,completed,66,94,71
male,group D,some college,standard,none,70,102,81
female,group C,master's degree,standard,none,84,80,78
male,group B,associate's degree,standard,none,67,56,80
male,group D,associate's degree,standard,completed,72,70,84
male,group C,some high school,standard,none,47,72,44
female,group C,some college,free/reduced,none,86,68,77
male,group D,bachelor's degree,free/reduced,completed,66,71,96
male,group D,some college,free/reduced,completed,83,103,57
male,group E,bachelor's degree,standard,completed,63,63,96
female,group C,associate's degree,standard,none,86,112,86
male,group B,associate's degree,standard,none,64,52,63
female,group B,associate's degree,free/reduced,none,44,72,67
female,group D,associate's degree,standard,none,60,60,77
female,group B,bachelor's degree,free/reduced,none,74,106,55
male,group B,some college,free/reduced,none,69,94,69
male,group B,some college,free/reduced,completed,87,56,81
female,group D,master's degree,free/reduced,completed,33,61,85
male,group C,some high school,free/reduced,none,67,40,64
male,group D,associate's degree,free/reduced,completed,66,57,69
female,group B,some high school,standard,none,67,93,91
male,group E,associate's degree,standard,completed,80,88,108
female,group C,master's degree,free/reduced,completed,68,56,96
female,group D,master's degree,free/reduced,none,71,67,53
male,group B,master's degree,standard,none,69,75,105
male,group B,associate's degree,free/reduced,completed,68,105,59
male,group C,master's degree,standard,none,79,84,96
female,group B,some college,standard,completed,39,73,69
male,group B,some high school,free/reduced,none,60,109,100
male,group C,some college,standard,none,34,86,86
female,group C,associate's degree,standard,none,80,73,57
male,group E,high school,standard,none,57,52,78
male,group A,some college,standard,completed,58,80,48
male,group A,some college,free/reduced,none,72,59,102
female,group D,associate's degree,free/reduced,completed,50,89,100
male,group B,bachelor's degree,free/reduced,completed,67,82,84
female,group E,associate's degree,standard,none,72,100,70
male,group B,some college,free/reduced,completed,32,70,62
female,group E,high school,free/reduced,completed,44,86,99
male,group A,associate's degree,free/reduced,completed,78,45,108
female,group B,associate's degree,standard,completed,96,75,83
male,group D,master's degree,free/reduced,none,83,103,40
female,group C,some high school,standard,none,61,24,55
female,group C,associate's degree,standard,none,79,69,108
female,group B,some college,standard,completed,86,94,98
female,group E,some college,standard,none,73,37,64
female,group C,some high school,standard,completed,50,39,84
female,group D,associate's degree,free/reduced,none,32,65,49
male,group D,bachelor's degree,free/reduced,none,51,68,82
female,group D,some high school,free/reduced,completed,65,83,106
male,group C,bachelor's degree,standard,completed,68,78,76
male,group D,associate's degree,standard,completed,95,92,92
female,group A,associate's degree,standard,completed,37,81,84
female,group C,some high school,standard,none,89,50,60
female,group B,associate's degree,standard,none,56,96,79
female,group D,associate's degree,standard,none,86,79,80
male,group C,high school,free/reduced,none,72,98,83
male,group B,high school,free/reduced,none,40,53,62
female,group C,associate's degree,standard,none,53,119,78
female,group A,bachelor's degree,free/reduced,completed,62,52,77
female,group C,some high school,free/reduced,none,25,47,66
male,group C,some high school,free/reduced,none,107,84,97
male,group C,bachelor's degree,standard,none,37,64,63
female,group C,some high school,standard,none,55,48,92
female,group E,some high school,standard,none,86,90,91
female,group C,high school,free/reduced,completed,98,87,90
female,group C,master's degree,standard,none,57,74,44
female,group D,some high school,standard,completed,74,94,77
male,group B,associate's degree,standard,none,48,90,87
male,group C,associate's degree,standard,none,56,65,81
female,group E,high school,standard,completed,61,56,75
female,group C,master's degree,free/reduced,completed,77,71,65
male,group E,bachelor's degree,free/reduced,completed,56,91,58
female,group D,bachelor's degree,free/reduced,none,75,87,76
female,group D,some high school,standard,none,84,106,77
female,group E,some college,standard,none,58,62,73
male,group E,bachelor's degree,standard,completed,79,93,55
male,group A,master's degree,free/reduced,none,75,66,82
female,group E,high school,standard,none,67,79,99
male,group C,some college,standard,completed,74,45,73
female,group D,master's degree,standard,none,61,97,68
male,group D,associate's degree,standard,none,71,92,112
female,group B,associate's degree,free/reduced,completed,61,92,80
female,group E,associate's degree,standard,none,98,66,74
male,group D,associate's degree,standard,completed,49,95,54
female,group E,master's degree,free/reduced,none,73,103,80
male,group D,associate's degree,standard,none,80,79,47
female,group D,some college,standard,completed,37,94,117
female,group E,some college,standard,none,50,108,89
male,group E,bachelor's degree,standard,completed,52,57,73
male,group C,some college,free/reduced,none,71,50,82
male,group B,some high school,free/reduced,none,54,53,61
male,group E,bachelor's degree,free/reduced,none,77,100,84
female,group C,bachelor's degree,standard,none,60,76,77
male,group A,some high school,standard,completed,47,98,101
female,group D,master's degree,standard,none,41,90,70
female,group C,high school,free/reduced,completed,41,86,93
female,group E,some college,free/reduced,none,53,115,95
male,group B,high school,free/reduced,none,53,92,76
male,group D,associate's degree,standard,completed,32,93,46
female,group E,some college,standard,none,45,53,86
female,group D,associate's degree,standard,none,76,67,75
female,group C,high school,standard,completed,56,91,75
male,group B,associate's degree,standard,completed,60,86,91
female,group D,some college,free/reduced,completed,70,82,67
male,group D,some high school,standard,none,74,82,78
female,group C,some college,free/reduced,none,36,50,29
male,group C,master's degree,free/reduced,none,76,87,89
female,group C,associate's degree,free/reduced,none,60,68,88
male,group B,some college,standard,none,59,95,104
female,group E,associate's degree,standard,none,76,77,108
female,group D,some college,standard,none,70,96,85
female,group B,bachelor's degree,standard,none,60,96,79
female,group D,some college,standard,none,95,107,79
male,group D,associate's degree,free/reduced,none,33,68,74
male,group A,some high school,free/reduced,completed,59,68,52
male,group B,bachelor's degree,standard,completed,66,74,85
female,group B,associate's degree,free/reduced,none,40,86,67
male,group D,some college,standard,none,59,55,77
female,group B,bachelor's degree,standard,none,79,37,79
male,group B,associate's degree,free/reduced,none,43,54,60
male,group D,bachelor's degree,standard,completed,96,71,75
male,group D,associate's degree,standard,completed,63,101,53
male,group A,some college,free/reduced,completed,63,70,78
female,group A,bachelor's degree,free/reduced,none,81,85,90
female,group B,some college,standard,none,51,51,68
female,group C,associate's degree,free/reduced,none,49,96,63
female,group E,some high school,standard,none,72,84,70
male,group D,some college,standard,none,80,89,58
female,group B,master's degree,standard,none,64,93,56
male,group A,associate's degree,standard,completed,64,72,83
male,group B,some high school,standard,none,83,85,77
female,group B,some college,standard,none,42,102,84
female,group E,associate's degree,standard,none,44,80,94
female,group B,some college,free/reduced,none,73,42,55
female,group C,high school,free/reduced,none,70,63,69
male,group D,master's degree,free/reduced,none,87,65,54
male,group C,master's degree,free/reduced,none,34,75,69
male,group C,some college,standard,none,68,82,68
female,group E,associate's degree,standard,completed,73,93,64
male,group D,bachelor's degree,free/reduced,none,62,71,61
male,group D,associate's degree,standard,none,89,96,114
male,group D,some high school,standard,completed,66,23,64
male,group C,associate's degree,free/reduced,completed,63,109,48
male,group D,high school,free/reduced,completed,71,85,81
female,group D,master's degree,standard,completed,62,98,102
male,group C,some college,free/reduced,none,51,83,54
female,group C,some college,standard,none,66,69,113
male,group B,some college,standard,completed,84,90,46
female,group A,associate's degree,standard,none,70,78,71
female,group A,some college,free/reduced,completed,86,60,85
female,group D,some high school,standard,completed,30,57,83
female,group D,some college,free/reduced,none,84,79,105
female,group B,bachelor's degree,free/reduced,completed,66,96,47
female,group B,some high school,standard,none,59,106,63
male,group E,some high school,free/reduced,completed,84,80,58
female,group B,bachelor's degree,standard,none,68,98,68
female,group E,some high school,standard,none,34,83,100
female,group C,associate's degree,free/reduced,completed,105,96,95
male,group D,associate's degree,free/reduced,completed,76,69,96
male,group E,master's degree,standard,none,74,63,87
female,group D,master's degree,free/reduced,completed,75,94,62
male,group E,associate's degree,standard,completed,94,87,96
female,group D,master's degree,standard,none,61,81,24
female,group E,master's degree,free/reduced,completed,65,93,93
female,group C,associate's degree,standard,completed,96,92,110
female,group A,some college,free/reduced,none,39,85,83
female,group C,some college,standard,none,88,80,81
male,group C,associate's degree,free/reduced,completed,63,82,84
female,group B,some college,standard,none,49,103,66
female,group C,some college,standard,completed,57,105,64
female,group B,high school,standard,completed,94,113,52
male,group B,associate's degree,standard,none,71,92,63
female,group C,high school,free/reduced,none,85,71,67
female,group E,some college,free/reduced,none,83,77,95
male,group B,bachelor's degree,standard,none,72,57,72
female,group E,high school,standard,completed,54,92,90
female,group C,master's degree,standard,none,65,46,74
male,group C,bachelor's degree,standard,none,76,92,78
male,group A,associate's degree,free/reduced,none,49,73,88
male,group D,associate's degree,free/reduced,none,84,97,78
male,group C,bachelor's degree,free/reduced,none,42,73,60
male,group D,some college,free/reduced,completed,55,80,92
male,group C,bachelor's degree,standard,completed,72,96,88
female,group B,some high school,free/reduced,none,48,73,80
female,group C,associate's degree,standard,completed,43,100,91
male,group C,high school,standard,none,100,90,54
female,group D,some college,standard,none,71,108,71
female,group D,some high school,standard,none,56,69,95
female,group E,some high school,free/reduced,none,52,81,91
female,group C,bachelor's degree,standard,none,98,55,57
male,group A,master's degree,standard,completed,88,61,101
male,group E,bachelor's degree,free/reduced,none,58,74,89
male,group E,master's degree,standard,none,72,112,82
male,group A,bachelor's degree,free/reduced,completed,72,61,99
female,group E,associate's degree,free/reduced,none,70,69,86
female,group E,some high school,standard,completed,88,60,99
